players_ID,team_ID,name,position,field_position,age,nat,height,foot,dt_joined,prev_team,contract_expires,market_value,player_page
1,1,Diego Alves,Goalkeeper,GLK,34,Brazil,1.87,left,7/16/2017,Valencia CF,12/31/2020,3.16,https://www.transfermarkt.com/diego-alves/profil/spieler/42373
2,1,Hugo Souza,Goalkeeper,GLK,21,Brazil,1.96,both,8/31/2019,Clube de Regatas do Flamengo U20,9/30/2023,0.51,https://www.transfermarkt.com/hugo-souza/profil/spieler/574901
3,1,Cesar,Goalkeeper,GLK,28,Brazil,1.94,right,1/1/2013,Clube de Regatas do Flamengo U20,4/30/2022,0.45,https://www.transfermarkt.com/cesar/profil/spieler/177776
4,1,Gabriel Batista,Goalkeeper,GLK,22,Brazil,1.88,right,1/1/2017,Clube de Regatas do Flamengo U20,12/31/2022,0.06,https://www.transfermarkt.com/gabriel-batista/profil/spieler/401535
5,1,Rodrigo Caio,Centre-Back,DEF,26,Brazil,1.83,right,1/1/2019,Sao Paulo Futebol Clube,12/31/2023,5.42,https://www.transfermarkt.com/rodrigo-caio/profil/spieler/172054
6,1,Leo Pereira,Centre-Back,DEF,24,Brazil,1.89,left,1/28/2020,Club Athletico Paranaense,12/31/2024,4.52,https://www.transfermarkt.com/leo-pereira/profil/spieler/288431
7,1,Gustavo Henrique,Centre-Back,DEF,27,Brazil,1.96,right,1/13/2020,Santos FC,12/31/2023,2.71,https://www.transfermarkt.com/gustavo-henrique/profil/spieler/208681
8,1,Thuler,Centre-Back,DEF,21,Brazil,1.85,right,1/1/2018,Clube de Regatas do Flamengo B,7/14/2023,0.51,https://www.transfermarkt.com/thuler/profil/spieler/549815
9,1,Matheus Dantas,Centre-Back,DEF,21,Brazil,1.86,right,,N.A.,12/31/2020,0.06,https://www.transfermarkt.com/matheus-dantas/profil/spieler/587349
10,1,Rafael Santos,Centre-Back,DEF,22,Brazil,1.9,left,,N.A.,12/31/2022,0.06,https://www.transfermarkt.com/rafael-santos/profil/spieler/603137
11,1,Filipe Luis,Left-Back,DEF,34,Brazil,1.82,left,7/23/2019,Atletico Madrid,12/31/2021,2.26,https://www.transfermarkt.com/filipe-luis/profil/spieler/21725
12,1,Rene,Left-Back,DEF,27,Brazil,1.74,left,2/6/2017,Sport Club do Recife,12/31/2022,1.81,https://www.transfermarkt.com/rene/profil/spieler/212209
13,1,Rafinha,Right-Back,DEF,34,Brazil,1.72,right,7/1/2019,Bayern Munich,12/31/2021,2.71,https://www.transfermarkt.com/rafinha/profil/spieler/33947
14,1,Joao Lucas,Right-Back,DEF,22,Brazil,1.81,right,5/9/2019,Bangu Atletico Clube (RJ),12/31/2021,0.11,https://www.transfermarkt.com/joao-lucas/profil/spieler/672292
15,1,Thiago Maia,Defensive Midfield,MID,23,Brazil,1.79,left,1/22/2020,LOSC Lille,6/30/2021,3.62,https://www.transfermarkt.com/thiago-maia/profil/spieler/294873
16,1,Piris da Motta,Defensive Midfield,MID,25,Paraguay,1.8,right,8/1/2018,Club Atletico San Lorenzo de Almagro,12/31/2022,1.81,https://www.transfermarkt.com/piris-da-motta/profil/spieler/273033
17,1,Vinicius Souza,Defensive Midfield,MID,20,Brazil,1.87,right,8/31/2019,Clube de Regatas do Flamengo U20,12/31/2021,0.06,https://www.transfermarkt.com/vinicius-souza/profil/spieler/663581
18,1,Gerson,Central Midfield,MID,23,Brazil,1.84,left,7/12/2019,AS Roma,12/31/2023,12.43,https://www.transfermarkt.com/gerson/profil/spieler/341705
19,1,Willian Arao,Central Midfield,MID,27,Brazil,1.81,right,1/1/2016,Botafogo Rio de Janeiro,12/31/2023,4.52,https://www.transfermarkt.com/willian-arao/profil/spieler/210747
20,1,Hugo Moura,Central Midfield,MID,22,Brazil,1.77,right,,N.A.,12/31/2023,0.06,https://www.transfermarkt.com/hugo-moura/profil/spieler/644157
21,1,Everton Ribeiro,Right Midfield,MID,31,Brazil,1.74,left,6/20/2017,Al-Ahli Dubai Club,12/31/2023,7.34,https://www.transfermarkt.com/everton-ribeiro/profil/spieler/52896
22,1,Giorgian de Arrascaeta,Attacking Midfield,MID,26,Uruguay,1.74,right,1/12/2019,Cruzeiro Esporte Clube,12/31/2023,16.95,https://www.transfermarkt.com/giorgian-de-arrascaeta/profil/spieler/248410
23,1,Diego,Attacking Midfield,MID,35,Brazil,1.73,right,7/19/2016,Fenerbahce SK,12/31/2020,3.16,https://www.transfermarkt.com/diego/profil/spieler/4248
24,1,Lazaro,Attacking Midfield,MID,18,Brazil,1.81,right,1/27/2020,Clube de Regatas do Flamengo U20,12/31/2025,2.03,https://www.transfermarkt.com/lazaro/profil/spieler/574772
25,1,Bruno Henrique,Left Winger,ATT,29,Brazil,1.84,right,1/23/2019,Santos FC,12/31/2023,5.88,https://www.transfermarkt.com/bruno-henrique/profil/spieler/353108
26,1,Vitinho,Left Winger,ATT,26,Brazil,1.8,both,7/30/2018,CSKA Moscow,12/31/2022,5.42,https://www.transfermarkt.com/vitinho/profil/spieler/213605
27,1,Michael,Left Winger,ATT,24,Brazil,1.66,right,1/20/2020,Goias Esporte Clube,12/31/2024,4.52,https://www.transfermarkt.com/michael/profil/spieler/520392
28,1,Pedro Rocha,Left Winger,ATT,25,Brazil,1.75,right,1/1/2020,Spartak Moscow,12/31/2020,2.71,https://www.transfermarkt.com/pedro-rocha/profil/spieler/362844
29,1,Lucas Silva,Left Winger,ATT,22,Brazil,1.76,right,,N.A.,12/31/2020,0.37,https://www.transfermarkt.com/lucas-silva/profil/spieler/644158
30,1,Orlando Berrio,Right Winger,ATT,29,Colombia,1.82,right,1/27/2017,Atletico Nacional,12/31/2020,1.81,https://www.transfermarkt.com/orlando-berrio/profil/spieler/119197
31,1,Gabriel Barbosa,Centre-Forward,ATT,23,Brazil,1.78,left,1/28/2020,Inter Milan,12/31/2024,20.9,https://www.transfermarkt.com/gabriel-barbosa/profil/spieler/244275
32,1,Pedro,Centre-Forward,ATT,22,Brazil,1.85,right,1/23/2020,ACF Fiorentina,12/31/2020,13.56,https://www.transfermarkt.com/pedro/profil/spieler/432895
33,1,Lincoln,Centre-Forward,ATT,19,Brazil,1.78,right,1/1/2018,Clube de Regatas do Flamengo U20,12/31/2023,6.1,https://www.transfermarkt.com/lincoln/profil/spieler/372046
34,2,Weverton,Goalkeeper,GLK,32,Brazil,1.89,right,1/1/2018,Atletico Paranaense,12/31/2024,3.95,https://www.transfermarkt.com/weverton/profil/spieler/69400
35,2,Jailson,Goalkeeper,GLK,38,Brazil,1.86,right,10/2/2014,Ceara Sporting Club,12/31/2020,0.28,https://www.transfermarkt.com/jailson/profil/spieler/112940
36,2,Vinicius Silvestre,Goalkeeper,GLK,26,Brazil,1.95,right,7/1/2013,SE Palmeiras B,12/31/2021,0.11,https://www.transfermarkt.com/vinicius-silvestre/profil/spieler/286772
37,2,Vitor Hugo,Centre-Back,DEF,29,Brazil,1.87,left,7/29/2019,ACF Fiorentina,6/30/2024,5.42,https://www.transfermarkt.com/vitor-hugo/profil/spieler/149752
38,2,Gustavo Gomez,Centre-Back,DEF,27,Paraguay,1.85,right,1/1/2020,AC Milan,6/30/2020,3.95,https://www.transfermarkt.com/gustavo-gomez/profil/spieler/215390
39,2,Luan,Centre-Back,DEF,27,Brazil,1.86,right,4/5/2017,Club de Regatas Vasco da Gama,3/31/2023,1.81,https://www.transfermarkt.com/luan/profil/spieler/178984
40,2,Emerson Santos,Centre-Back,DEF,25,Brazil,1.84,right,1/1/2018,Botafogo Rio de Janeiro,12/31/2022,0.9,https://www.transfermarkt.com/emerson-santos/profil/spieler/382171
41,2,Diogo Barbosa,Left-Back,DEF,27,Brazil,1.79,left,1/1/2018,Coimbra Esporte Clube Ltda (MG),12/25/2022,3.95,https://www.transfermarkt.com/diogo-barbosa/profil/spieler/167724
42,2,Matias Vina,Left-Back,DEF,22,Uruguay,1.8,left,1/31/2020,Club Nacional,12/31/2024,2.26,https://www.transfermarkt.com/matias-vina/profil/spieler/439072
43,2,Victor Luis,Left-Back,DEF,26,Brazil,1.8,left,7/1/2013,SE Palmeiras B,12/31/2022,1.47,https://www.transfermarkt.com/victor-luis/profil/spieler/234538
44,2,Lucas Esteves,Left-Back,DEF,19,Brazil,1.71,left,1/1/2020,SE Palmeiras B,12/31/2024,0.06,https://www.transfermarkt.com/lucas-esteves/profil/spieler/688668
45,2,Marcos Rocha,Right-Back,DEF,31,Brazil,1.76,right,1/10/2019,Clube Atletico Mineiro,12/31/2022,2.26,https://www.transfermarkt.com/marcos-rocha/profil/spieler/75435
46,2,Mayke,Right-Back,DEF,27,Brazil,1.78,right,1/1/2019,Cruzeiro Esporte Clube,12/31/2023,1.47,https://www.transfermarkt.com/mayke/profil/spieler/147361
47,2,Gabriel Menino,Defensive Midfield,MID,19,Brazil,1.76,right,1/1/2020,SE Palmeiras B,12/31/2024,4.07,https://www.transfermarkt.com/gabriel-menino/profil/spieler/608216
48,2,Felipe Melo,Defensive Midfield,MID,36,Brazil,1.83,right,7/1/2017,Inter Milan,12/30/2021,0.9,https://www.transfermarkt.com/felipe-melo/profil/spieler/35537
49,2,Patrick de Paula,Defensive Midfield,MID,20,Brazil,1.8,left,1/1/2020,SE Palmeiras B,6/30/2024,0.28,https://www.transfermarkt.com/patrick-de-paula/profil/spieler/737821
50,2,Ramires,Central Midfield,MID,33,Brazil,1.79,right,7/1/2019,Without Club,6/30/2023,5.42,https://www.transfermarkt.com/ramires/profil/spieler/54170
51,2,Bruno Henrique,Central Midfield,MID,30,Brazil,1.8,right,6/21/2017,US Palermo,12/31/2023,3.95,https://www.transfermarkt.com/bruno-henrique/profil/spieler/277335
52,2,Ze Rafael,Left Midfield,MID,26,Brazil,1.75,right,1/1/2019,Esporte Clube Bahia,12/31/2023,3.95,https://www.transfermarkt.com/ze-rafael/profil/spieler/225432
