players_ID,team_ID,name,position,Age,Nat,Height,foot,dt_joined,prev_team,contract_expires,market_value,player_page
1,1,Diego Alves,Goalkeeper,34,Brazil,1.87,left,2017-07-16,Valencia CF,,3.05,https://www.transfermarkt.com/diego-alves/profil/spieler/42373
2,1,Hugo Souza,Goalkeeper,21,Brazil,1.96,both,2019-08-31,Clube de Regatas do Flamengo U20,,0.49,https://www.transfermarkt.com/hugo-souza/profil/spieler/574901
3,1,César,Goalkeeper,28,Brazil,1.94,right,2013-01-01,Clube de Regatas do Flamengo U20,,0.44,https://www.transfermarkt.com/cesar/profil/spieler/177776
4,1,Gabriel Batista,Goalkeeper,21,Brazil,1.88,right,2017-01-01,Clube de Regatas do Flamengo U20,,0.05,https://www.transfermarkt.com/gabriel-batista/profil/spieler/401535
5,1,Rodrigo Caio,Centre-Back,26,Brazil,1.83,right,2019-01-01,São Paulo Futebol Clube,,5.23,https://www.transfermarkt.com/rodrigo-caio/profil/spieler/172054
6,1,Léo Pereira,Centre-Back,24,Brazil,1.89,left,2020-01-28,Club Athletico Paranaense,,4.36,https://www.transfermarkt.com/leo-pereira/profil/spieler/288431
7,1,Gustavo Henrique,Centre-Back,27,Brazil,1.96,right,2020-01-13,Santos FC,,2.62,https://www.transfermarkt.com/gustavo-henrique/profil/spieler/208681
8,1,Thuler,Centre-Back,21,Brazil,1.85,right,2018-01-01,Clube de Regatas do Flamengo B,,0.49,https://www.transfermarkt.com/thuler/profil/spieler/549815
9,1,Matheus Dantas,Centre-Back,21,Brazil,1.86,right,,N.A.,,0.05,https://www.transfermarkt.com/matheus-dantas/profil/spieler/587349
10,1,Rafael Santos,Centre-Back,22,Brazil,1.9,left,,N.A.,,0.05,https://www.transfermarkt.com/rafael-santos/profil/spieler/603137
11,1,Filipe Luís,Left-Back,34,Brazil,1.82,left,2019-07-23,Atlético Madrid,,2.18,https://www.transfermarkt.com/filipe-luis/profil/spieler/21725
12,1,Renê,Left-Back,27,Brazil,1.74,left,2017-02-06,Sport Club do Recife,,1.74,https://www.transfermarkt.com/rene/profil/spieler/212209
13,1,Rafinha,Right-Back,34,Brazil,1.72,right,2019-07-01,Bayern Munich,,2.62,https://www.transfermarkt.com/rafinha/profil/spieler/33947
14,1,João Lucas,Right-Back,22,Brazil,1.81,right,2019-05-09,Bangu Atlético Clube (RJ),,0.11,https://www.transfermarkt.com/joao-lucas/profil/spieler/672292
15,1,Thiago Maia,Defensive Midfield,23,Brazil,1.79,left,2020-01-22,LOSC Lille,,3.49,https://www.transfermarkt.com/thiago-maia/profil/spieler/294873
16,1,Piris da Motta,Defensive Midfield,25,Paraguay,1.8,right,2018-08-01,Club Atlético San Lorenzo de Almagro,,1.74,https://www.transfermarkt.com/piris-da-motta/profil/spieler/273033
17,1,Vinicius Souza,Defensive Midfield,20,Brazil,1.87,right,2019-08-31,Clube de Regatas do Flamengo U20,,0.05,https://www.transfermarkt.com/vinicius-souza/profil/spieler/663581
