players_ID,team_ID,name,position,Age,Nat,Height,foot,dt_joined,prev_team,contract_expires,market_value,player_page
806,25,Ivan,Goalkeeper,22,Brazil,1.94,-,2015-01-01,AA Ponte Preta U17,31.12.2023,2.16,https://www.transfermarkt.com/ivan/profil/spieler/364257
807,25,Guilherme,Goalkeeper,20,Brazil,1.9,-,2019-07-01,AA Ponte Preta U17,31.12.2020,0.0,https://www.transfermarkt.com/guilherme/profil/spieler/411865
808,25,Ygor,Goalkeeper,26,Brazil,1.92,right,2018-06-28,Mirassol Futebol Clube (SP),31.12.2021,0.0,https://www.transfermarkt.com/ygor/profil/spieler/555201
809,25,Luan,Goalkeeper,22,Brazil,m,-,2019-05-10,Clube Atlético Bragantino (SP),31.12.2020,0.0,https://www.transfermarkt.com/luan/profil/spieler/643832
810,25,Cléber Reis,Centre-Back,29,Brazil,1.86,right,2020-01-14,Santos FC,10.12.2020,1.08,https://www.transfermarkt.com/cleber-reis/profil/spieler/226009
811,25,Wellington Carvalho,Centre-Back,27,Brazil,1.85,right,2020-01-10,Tombense Futebol Clube (MG),31.12.2020,0.11,https://www.transfermarkt.com/wellington-carvalho/profil/spieler/225639
812,25,Henrique Trevisan,Centre-Back,23,Brazil,1.85,left,2019-01-09,Estoril Praia,31.12.2020,0.11,https://www.transfermarkt.com/henrique-trevisan/profil/spieler/374090
813,25,Alisson,Centre-Back,26,Brazil,1.86,right,2020-01-10,Operário Ferroviário Esporte Clube (PR),10.12.2020,0.0,https://www.transfermarkt.com/alisson/profil/spieler/538256
814,25,Léo,Centre-Back,20,Brazil,1.83,right,2019-07-01,AA Ponte Preta U20,30.06.2020,0.0,https://www.transfermarkt.com/leotm/profil/spieler/688685
815,25,Yuri,Left-Back,24,Brazil,1.73,left,2020-01-10,Botafogo Rio de Janeiro,10.12.2020,0.22,https://www.transfermarkt.com/yuri/profil/spieler/476337
816,25,Guilherme Lazaroni,Left-Back,27,Brazil,1.82,right,2020-01-01,Portimonense SC,10.12.2020,0.11,https://www.transfermarkt.com/guilherme-lazaroni/profil/spieler/214699
817,25,Jeferson,Right-Back,23,Brazil,1.7,right,2015-01-01,AA Ponte Preta U20,31.12.2021,1.08,https://www.transfermarkt.com/jeferson/profil/spieler/294789
818,25,Apodi,Right-Back,33,Brazil,1.72,right,2020-01-13,Centro Sportivo Alagoano (AL),31.12.2020,0.78,https://www.transfermarkt.com/apodi/profil/spieler/59930
819,25,Matheus Alexandre,Right-Back,21,Brazil,1.88,right,2019-04-18,Sport Club Corinthians Paulista,31.12.2020,0.0,https://www.transfermarkt.com/matheus-alexandre/profil/spieler/617687
820,25,Dawhan,Defensive Midfield,23,Brazil,1.77,right,2020-01-14,Associação Atlética Santa Rita (AL),10.12.2021,0.7,https://www.transfermarkt.com/dawhan/profil/spieler/539224
821,25,Vander,Defensive Midfield,21,Brazil,m,-,2020-01-10,Tombense Futebol Clube (MG),10.12.2020,0.0,https://www.transfermarkt.com/vander/profil/spieler/468254
822,25,Índio,Defensive Midfield,27,Brazil,1.85,left,2020-01-10,Operário Ferroviário Esporte Clube (PR),10.12.2021,0.0,https://www.transfermarkt.com/indio/profil/spieler/538257
823,25,Vinicius Zanocelo,Defensive Midfield,19,Brazil,m,-,2019-07-01,AA Ponte Preta U17,31.12.2021,0.0,https://www.transfermarkt.com/vinicius-zanocelo/profil/spieler/646404
824,25,Danrley,Defensive Midfield,19,Brazil,1.82,right,2020-01-01,AA Ponte Preta U20,30.07.2021,0.0,https://www.transfermarkt.com/danrley/profil/spieler/728540
825,25,João Paulo,Attacking Midfield,30,Brazil,1.69,right,2020-01-10,Tombense Futebol Clube (MG),31.12.2020,0.7,https://www.transfermarkt.com/joao-paulo/profil/spieler/519854
826,25,Felipe Saraiva,Attacking Midfield,22,Brazil,1.72,-,-,-,27.06.2020,0.32,https://www.transfermarkt.com/felipe-saraiva/profil/spieler/523792
827,25,Mateus Anderson,Right Winger,26,Brazil,1.7,right,2020-01-13,Vila Nova Futebol Clube (GO),31.12.2021,0.22,https://www.transfermarkt.com/mateus-anderson/profil/spieler/347824
828,25,Bruno Rodrigues,Right Winger,23,Brazil,1.77,right,2020-01-10,Tombense Futebol Clube (MG),10.12.2020,0.05,https://www.transfermarkt.com/bruno-rodrigues/profil/spieler/406766
829,25,Roger,Centre-Forward,35,Brazil,1.84,right,2019-05-22,Ceará Sporting Club,31.12.2020,0.78,https://www.transfermarkt.com/roger/profil/spieler/70342
830,25,Alisson Safira,Centre-Forward,25,Brazil,m,right,2020-01-22,Londrina Esporte Clube (PR),31.12.2020,0.32,https://www.transfermarkt.com/alisson-safira/profil/spieler/443338
