players_ID,team_ID,name,position,Age,Nat,Height,foot,dt_joined,prev_team,contract_expires,market_value,player_page
1248,39,Rafael Santos,Goalkeeper,31,Brazil,1.91,right,2020-01-08,Vila Nova Futebol Clube (GO),-,0.11,https://www.transfermarkt.com/rafael-santos/profil/spieler/93243
1249,39,Jean Carlos,Goalkeeper,26,Brazil,m,-,-,-,-,0.0,https://www.transfermarkt.com/jean-carlos/profil/spieler/639135
1250,39,Ismael,Goalkeeper,21,Brazil,m,-,-,-,-,0.0,https://www.transfermarkt.com/ismael/profil/spieler/639136
1251,39,Careca,Goalkeeper,23,Brazil,m,-,2020-03-10,Treze Futebol Clube (PB),-,0.0,https://www.transfermarkt.com/careca/profil/spieler/640411
1252,39,Nirley,Centre-Back,32,Brazil,1.88,right,2019-12-17,Grêmio Esportivo Brasil (RS),-,0.35,https://www.transfermarkt.com/nirley/profil/spieler/178937
1253,39,Vinícius Simon,Centre-Back,33,Brazil,1.84,right,2018-12-06,Without Club,-,0.22,https://www.transfermarkt.com/vinicius-simon/profil/spieler/78551
1254,39,Luan,Centre-Back,32,Brazil,1.85,right,2019-06-27,Joinville Esporte Clube (SC),-,0.08,https://www.transfermarkt.com/luan/profil/spieler/346932
1255,39,Matheus Mancini,Centre-Back,25,Brazil,1.88,right,2020-01-16,Clube Atlético Mineiro,-,0.05,https://www.transfermarkt.com/matheus-mancini/profil/spieler/371522
1256,39,Adryan,Centre-Back,19,Brazil,m,-,-,-,-,0.0,https://www.transfermarkt.com/adryan/profil/spieler/681495
1257,39,Altemar,Left-Back,31,Brazil,1.76,left,2018-12-06,Sociedade Desportiva Juazeirense (BA),-,0.0,https://www.transfermarkt.com/altemar/profil/spieler/141689
1258,39,Silva,Left-Back,25,Brazil,m,left,2019-12-11,Atlético Pernambucano,-,0.0,https://www.transfermarkt.com/silva/profil/spieler/555672
1259,39,Thiago Ennes,Right-Back,24,Brazil,1.78,right,2019-04-16,São Bernardo Futebol Clube (SP),-,0.05,https://www.transfermarkt.com/thiago-ennes/profil/spieler/451933
1260,39,Marcelinho,Right-Back,21,Brazil,m,-,-,-,-,0.0,https://www.transfermarkt.com/marcelinho/profil/spieler/681494
1261,39,Amaral,Defensive Midfield,30,Brazil,1.77,right,2019-04-23,Esporte Clube Novo Hamburgo (RS),-,0.22,https://www.transfermarkt.com/amaral/profil/spieler/519873
1262,39,Jeferson,Defensive Midfield,23,Brazil,1.84,-,2020-01-08,Sport Club Internacional B,-,0.08,https://www.transfermarkt.com/jeferson/profil/spieler/544257
1263,39,Rafael Vila,Central Midfield,32,Brazil,1.7,-,2016-11-04,Club Sportivo Sergipe (SE),-,0.0,https://www.transfermarkt.com/rafael-vila/profil/spieler/539184
1264,39,Danilo Pires,Left Midfield,28,Brazil,1.8,left,2019-12-11,Clube Náutico Capibaribe,-,0.22,https://www.transfermarkt.com/danilo-pires/profil/spieler/196040
1265,39,Alyson,Left Midfield,24,Brazil,1.74,left,2020-01-06,KSV Roeselare,31.12.2020,0.16,https://www.transfermarkt.com/alyson/profil/spieler/520475
1266,39,Morais,Attacking Midfield,35,Brazil,1.7,right,2020-01-03,Without Club,-,0.27,https://www.transfermarkt.com/morais/profil/spieler/16877
1267,39,Reis,Attacking Midfield,27,Brazil,1.72,right,2020-01-08,Criciúma Esporte Clube,-,0.22,https://www.transfermarkt.com/reis/profil/spieler/243654
1268,39,Ítalo Melo,Attacking Midfield,27,Brazil,1.76,right,2018-02-07,Without Club,-,0.22,https://www.transfermarkt.com/italo-melo/profil/spieler/258622
1269,39,Everton Santos,Attacking Midfield,33,Brazil,1.73,right,2019-05-09,Esporte Clube Água Santa (SP),-,0.0,https://www.transfermarkt.com/everton-santos/profil/spieler/101206
1270,39,Iago,Right Winger,24,Brazil,1.77,right,2018-01-16,Clube Náutico Capibaribe,-,0.35,https://www.transfermarkt.com/iago/profil/spieler/519874
1271,39,Renan Gorne,Centre-Forward,24,Brazil,1.82,right,2020-01-09,Botafogo Rio de Janeiro,-,0.16,https://www.transfermarkt.com/renan-gorne/profil/spieler/439021
1272,39,Leandro Kivel,Centre-Forward,36,Brazil,m,-,2018-12-07,Without Club,-,0.0,https://www.transfermarkt.com/leandro-kivel/profil/spieler/550471
1273,39,Mikael,Centre-Forward,20,Brazil,m,-,2020-01-08,Sport Club do Recife U20,-,0.0,https://www.transfermarkt.com/mikael/profil/spieler/642689
