players_ID,team_ID,name,position,Age,Nat,Height,foot,dt_joined,prev_team,contract_expires,market_value,player_page
2748,101,Ben Lundgaard,Goalkeeper,24,United States,1.95,-,2020-01-27,Columbus Crew SC,30.11.2020,0.08,https://www.transfermarkt.com/ben-lundgaard/profil/spieler/562559
2749,101,Gabriel Rosario,Goalkeeper,20,United States,1.88,right,2020-02-07,Without Club,30.11.2020,0.0,https://www.transfermarkt.com/gabriel-rosario/profil/spieler/530951
2750,101,Jack Gurr,Defender,24,England,1.73,-,2019-12-05,Without Club,30.11.2020,0.0,https://www.transfermarkt.com/jack-gurr/profil/spieler/728500
2751,101,Modou Jadama,Centre-Back,26,United States,1.85,right,2020-01-22,Portland Timbers,30.11.2020,0.22,https://www.transfermarkt.com/modou-jadama/profil/spieler/373927
2752,101,Bradley Kamdem,Left-Back,25,France,1.84,-,2020-01-24,Saint Louis FC,30.11.2020,0.16,https://www.transfermarkt.com/bradley-kamdem/profil/spieler/438136
2753,101,Abdoulaye Diop,Midfielder,20,Senegal,1.83,-,2020-02-26,Eastern Florida State College Titans,30.11.2020,0.0,https://www.transfermarkt.com/abdoulaye-diop/profil/spieler/747581
2754,101,Baboucarr Njie,Midfielder,24,The Gambia,1.85,-,2020-01-14,North Carolina Wesleyan College,30.11.2020,0.0,https://www.transfermarkt.com/baboucarr-njie/profil/spieler/736971
2755,101,Daniel Steedman,Left Midfield,20,United States,1.78,-,2020-01-13,Virginia Cavaliers (University of Virginia),30.11.2020,0.05,https://www.transfermarkt.com/daniel-steedman/profil/spieler/567253
2756,101,Lamin Jawneh,Forward,24,The Gambia,1.73,-,2020-01-23,Without Club,30.11.2020,0.0,https://www.transfermarkt.com/lamin-jawneh/profil/spieler/739290
2757,101,Amir Bashti,Right Winger,23,United States,1.75,right,2019-08-22,San Francisco Glens,30.11.2020,0.14,https://www.transfermarkt.com/amir-bashti/profil/spieler/349704
2758,101,Phillip Goodrum,Right Winger,22,United States,1.7,left,2020-01-14,Atlanta United FC,30.11.2020,0.0,https://www.transfermarkt.com/phillip-goodrum/profil/spieler/636995
2759,101,Tyler Wolff,Right Winger,17,United States,1.74,-,2020-03-07,Atlanta United Academy,-,0.0,https://www.transfermarkt.com/tyler-wolff/profil/spieler/763648
2760,101,Coleman Gannon,Right Winger,17,United States,1.68,-,2020-03-07,Atlanta United Academy,-,0.0,https://www.transfermarkt.com/coleman-gannon/profil/spieler/763647
2761,101,Jackson Conway,Centre-Forward,18,United States,1.88,-,2018-12-20,Atlanta United Academy,30.11.2020,0.16,https://www.transfermarkt.com/jackson-conway/profil/spieler/469862
2762,101,Amadou Macky Diop,Centre-Forward,24,Senegal,1.9,right,2019-11-19,Radford Highlanders (Radford University),30.11.2020,0.0,https://www.transfermarkt.com/amadou-macky-diop/profil/spieler/388133
