players_ID,team_ID,name,position,Age,Nat,Height,foot,dt_joined,prev_team,contract_expires,market_value,player_page
1329,42,Brad Guzan,Goalkeeper,35,United States,1.93,left,2017-07-10,Middlesbrough FC,31.12.2023,0.51,https://www.transfermarkt.com/brad-guzan/profil/spieler/39471
1330,42,Alec Kann,Goalkeeper,29,United States,1.93,-,2016-12-13,Sporting Kansas City,31.12.2020,0.32,https://www.transfermarkt.com/alec-kann/profil/spieler/216686
1331,42,Brendan Moore,Goalkeeper,28,United States,1.88,-,2019-01-09,Rochdale AFC,-,0.14,https://www.transfermarkt.com/brendan-moore/profil/spieler/325389
1332,42,Miles Robinson,Centre-Back,23,United States,1.88,-,2017-01-13,Syracuse Orange (Syracuse University),-,2.59,https://www.transfermarkt.com/miles-robinson/profil/spieler/468022
1333,42,Fernando Meza,Centre-Back,30,Argentina,1.76,right,2020-01-10,Club Necaxa,-,1.73,https://www.transfermarkt.com/fernando-meza/profil/spieler/76837
1334,42,Laurence Wyke,Centre-Back,23,England,1.85,-,2020-03-05,Atlanta United 2,31.12.2020,0.16,https://www.transfermarkt.com/laurence-wyke/profil/spieler/635633
1335,42,George Campbell,Centre-Back,18,United States,1.88,-,2020-01-01,Atlanta United Academy,-,0.16,https://www.transfermarkt.com/george-campbell/profil/spieler/585769
1336,42,Edgar Castillo,Left-Back,33,United States,1.75,left,2020-01-17,New England Revolution,-,0.59,https://www.transfermarkt.com/edgar-castillo/profil/spieler/53542
1337,42,George Bello,Left-Back,18,United States,1.7,left,2018-01-01,Atlanta United Academy,-,0.38,https://www.transfermarkt.com/george-bello/profil/spieler/504147
1338,42,Franco Escobar,Right-Back,25,Argentina,1.8,right,2018-01-01,Club Atlético Newell's Old Boys,31.12.2020,0.73,https://www.transfermarkt.com/franco-escobar/profil/spieler/338169
1339,42,Brooks Lennon,Right-Back,22,United States,1.77,right,2019-12-02,Real Salt Lake City,31.12.2023,0.65,https://www.transfermarkt.com/brooks-lennon/profil/spieler/345627
1340,42,Anton Walkes,Right-Back,23,England,1.87,right,2020-01-09,Portsmouth FC,-,0.43,https://www.transfermarkt.com/anton-walkes/profil/spieler/307763
1341,42,Eric Remedi,Defensive Midfield,24,Argentina,1.69,right,2018-07-10,Club Atlético Banfield,30.06.2021,2.16,https://www.transfermarkt.com/eric-remedi/profil/spieler/362364
1342,42,Jeff Larentowicz,Defensive Midfield,36,United States,1.86,right,2017-01-01,Los Angeles Galaxy,31.12.2020,0.22,https://www.transfermarkt.com/jeff-larentowicz/profil/spieler/24902
1343,42,Emerson Hyndman,Central Midfield,24,United States,1.7,right,2020-01-01,AFC Bournemouth,31.12.2022,1.3,https://www.transfermarkt.com/emerson-hyndman/profil/spieler/223047
1344,42,Matheus Rossetto,Central Midfield,23,Brazil,1.8,right,2020-02-03,Club Athletico Paranaense,-,0.78,https://www.transfermarkt.com/matheus-rossetto/profil/spieler/445000
1345,42,Mo Adams,Central Midfield,23,England,1.67,-,2019-07-17,Chicago Fire FC,31.12.2020,0.35,https://www.transfermarkt.com/mo-adams/profil/spieler/349781
1346,42,Manuel Castro,Right Midfield,24,Uruguay,1.71,right,2020-02-12,Club Estudiantes de La Plata,30.06.2020,0.7,https://www.transfermarkt.com/manuel-castro/profil/spieler/335984
1347,42,Jake Mulraney,Left Midfield,24,Ireland,m,left,2020-02-12,Heart of Midlothian FC,-,0.35,https://www.transfermarkt.com/jake-mulraney/profil/spieler/264206
1348,42,Gonzalo Martínez,Left Winger,26,Argentina,1.7,left,2019-01-24,Club Atlético River Plate,-,12.96,https://www.transfermarkt.com/gonzalo-martinez/profil/spieler/281405
1349,42,Ezequiel Barco,Left Winger,21,Argentina,1.67,right,2018-01-19,Club Atlético Independiente,31.12.2022,9.72,https://www.transfermarkt.com/ezequiel-barco/profil/spieler/456623
1350,42,Luiz Fernando Nascimento,Left Winger,22,Brazil,1.91,-,2019-08-21,Atlanta United 2,31.12.2020,0.22,https://www.transfermarkt.com/luiz-fernando-nascimento/profil/spieler/424205
1351,42,Josef Martínez,Centre-Forward,26,Venezuela,1.72,right,2017-03-21,Torino FC,31.12.2023,15.12,https://www.transfermarkt.com/josef-martinez/profil/spieler/162569
1352,42,Adam Jahn,Centre-Forward,29,United States,1.9,-,2020-01-21,Phoenix Rising FC,31.12.2020,0.38,https://www.transfermarkt.com/adam-jahn/profil/spieler/260858
1353,42,JJ Williams,Centre-Forward,22,United States,1.93,-,2020-03-05,Columbus Crew SC,-,0.22,https://www.transfermarkt.com/jj-williams/profil/spieler/644786
