players_ID,team_ID,name,position,Age,Nat,Height,foot,dt_joined,prev_team,contract_expires,market_value,player_page
649,20,Jean,Goalkeeper,24,Brazil,1.88,left,2020-01-13,São Paulo Futebol Clube,15.01.2021,0.86,https://www.transfermarkt.com/jean/profil/spieler/371231
650,20,Mauricio Kozlinski,Goalkeeper,28,Brazil,1.91,right,2019-01-01,Avaí Futebol Clube (SC),15.12.2022,0.51,https://www.transfermarkt.com/mauricio-kozlinski/profil/spieler/438431
651,20,Lucas,Goalkeeper,21,Brazil,1.91,-,2018-05-07,AC Goianiense (GO) U20,02.05.2023,0.11,https://www.transfermarkt.com/lucas/profil/spieler/537866
652,20,Gustavo,Goalkeeper,27,Brazil,1.86,-,2019-04-17,Esporte Clube Novo Hamburgo (RS),-,0.0,https://www.transfermarkt.com/gustavo/profil/spieler/667411
653,20,Oliveira,Centre-Back,24,Brazil,1.87,right,2018-08-09,Bangu Atlético Clube (RJ),09.12.2020,0.59,https://www.transfermarkt.com/oliveira/profil/spieler/592373
654,20,Gilvan,Centre-Back,30,Brazil,1.88,right,2018-07-02,CFR Cluj,10.12.2020,0.51,https://www.transfermarkt.com/gilvan/profil/spieler/347079
655,20,Éder,Centre-Back,25,Brazil,1.84,-,2020-02-12,Club Athletico Paranaense B,05.02.2022,0.11,https://www.transfermarkt.com/eder/profil/spieler/375690
656,20,Nicolas,Left-Back,23,Brazil,1.8,left,2019-02-28,Club Athletico Paranaense,31.12.2020,0.78,https://www.transfermarkt.com/nicolas/profil/spieler/442258
657,20,Moraes,Left-Back,22,Brazil,1.7,left,2019-01-01,Clube de Regatas do Flamengo B,31.12.2021,0.32,https://www.transfermarkt.com/moraes/profil/spieler/596586
658,20,Reginaldo,Right-Back,27,Brazil,1.74,right,2019-02-28,Club Athletico Paranaense,31.12.2020,0.35,https://www.transfermarkt.com/reginaldo/profil/spieler/329738
659,20,Dudu,Right-Back,22,Brazil,1.75,right,2020-01-01,Sport Club Internacional,31.12.2020,0.11,https://www.transfermarkt.com/dudu/profil/spieler/476362
660,20,Édson,Defensive Midfield,28,Brazil,1.83,right,2020-01-01,Associação Atlética Ponte Preta,10.12.2020,1.08,https://www.transfermarkt.com/edson/profil/spieler/103146
661,20,Moacir,Defensive Midfield,34,Brazil,1.85,right,2018-12-13,Associação Ferroviária de Esportes (SP),14.12.2020,0.27,https://www.transfermarkt.com/moacir/profil/spieler/77624
662,20,Marlon Freitas,Central Midfield,25,Brazil,1.85,right,2020-01-03,Botafogo Futebol Clube (SP),31.12.2021,0.51,https://www.transfermarkt.com/marlon-freitas/profil/spieler/364972
663,20,Jorginho,Attacking Midfield,29,Brazil,1.8,right,2019-01-01,Al Qadisiyah FC,31.12.2021,0.86,https://www.transfermarkt.com/jorginho/profil/spieler/155470
664,20,Matheuzinho,Attacking Midfield,27,Brazil,1.71,left,2019-01-02,FC Juárez,30.04.2021,0.78,https://www.transfermarkt.com/matheuzinho/profil/spieler/213539
665,20,Matheus Vargas,Attacking Midfield,23,Brazil,1.81,right,2020-01-01,Fortaleza Esporte Clube,31.12.2020,0.22,https://www.transfermarkt.com/matheus-vargas/profil/spieler/379198
666,20,Henry Vaca,Attacking Midfield,22,Bolivia,1.65,left,2020-03-25,The Strongest La Paz,31.12.2020,0.0,https://www.transfermarkt.com/henry-vaca/profil/spieler/481211
667,20,Júlio César,Left Winger,25,Brazil,1.72,right,2020-01-03,Associação Chapecoense de Futebol,31.12.2020,0.43,https://www.transfermarkt.com/julio-cesar/profil/spieler/249062
668,20,Gustavo Ferrareis,Right Winger,24,Brazil,1.77,right,2020-01-03,Sport Club Internacional,31.12.2020,0.59,https://www.transfermarkt.com/gustavo-ferrareis/profil/spieler/348264
669,20,Hyuri,Right Winger,28,Brazil,1.86,right,2020-03-03,Clube Atlético Mineiro B,31.12.2020,0.43,https://www.transfermarkt.com/hyuri/profil/spieler/285319
670,20,Renato Kayzer,Right Winger,24,Brazil,1.78,right,2020-01-01,Cruzeiro Esporte Clube,31.12.2020,0.32,https://www.transfermarkt.com/renato-kayzer/profil/spieler/404321
671,20,Junior Brandão,Centre-Forward,25,Brazil,1.87,right,2020-02-20,PFK Ludogorets Razgrad,15.12.2020,0.78,https://www.transfermarkt.com/junior-brandao/profil/spieler/592351
672,20,Edson Júnior,Centre-Forward,25,Brazil,1.78,-,2019-07-01,AC Goianiense (GO) B,30.06.2020,0.11,https://www.transfermarkt.com/edson-junior/profil/spieler/468364
