players_ID,team_ID,name,position,Age,Nat,Height,foot,dt_joined,prev_team,contract_expires,market_value,player_page
246,8,Victor,Goalkeeper,37,Brazil,1.93,left,2012-07-01,Grêmio Foot-Ball Porto Alegrense,31.12.2020,1.03,https://www.transfermarkt.com/victor/profil/spieler/67867
247,8,Michael,Goalkeeper,25,Brazil,1.94,left,2018-01-01,Clube Atlético Mineiro B,31.12.2021,0.43,https://www.transfermarkt.com/michael/profil/spieler/579207
248,8,Rafael,Goalkeeper,30,Brazil,1.92,left,2020-03-04,Cruzeiro Esporte Clube,31.12.2022,0.43,https://www.transfermarkt.com/rafael/profil/spieler/68097
249,8,Igor Rabello,Centre-Back,25,Brazil,1.9,right,2019-01-04,Botafogo Rio de Janeiro,31.12.2022,2.16,https://www.transfermarkt.com/igor-rabello/profil/spieler/341701
250,8,Gabriel,Centre-Back,25,Brazil,1.81,right,2016-01-01,Clube Atlético Mineiro B,31.12.2021,1.4,https://www.transfermarkt.com/gabriel/profil/spieler/330114
251,8,Réver,Centre-Back,35,Brazil,1.92,right,2019-01-01,Sport Club Internacional,31.12.2021,1.08,https://www.transfermarkt.com/rever/profil/spieler/72489
252,8,Guilherme Arana,Left-Back,23,Brazil,1.76,left,2020-01-29,Sevilla FC,30.06.2021,2.38,https://www.transfermarkt.com/guilherme-arana/profil/spieler/346766
253,8,Lucas Hernández,Left-Back,27,Uruguay,1.75,left,2019-07-01,CA Peñarol,31.12.2022,1.73,https://www.transfermarkt.com/lucas-hernandez/profil/spieler/250144
254,8,Fábio Santos,Left-Back,34,Brazil,1.79,left,2016-06-20,CD Cruz Azul,31.12.2020,1.08,https://www.transfermarkt.com/fabio-santos/profil/spieler/13835
255,8,Guga,Right-Back,21,Brazil,1.74,right,2019-01-01,Avaí Futebol Clube (SC),31.12.2023,1.73,https://www.transfermarkt.com/guga/profil/spieler/592344
256,8,Maílton,Right-Back,21,Brazil,1.69,right,2020-01-01,Mirassol Futebol Clube (SP),31.12.2022,1.4,https://www.transfermarkt.com/mailton/profil/spieler/607210
257,8,Alex Silva,Right-Back,25,Brazil,1.84,right,-,-,31.12.2022,0.51,https://www.transfermarkt.com/alex-silva/profil/spieler/277713
258,8,Jair,Defensive Midfield,25,Brazil,1.78,right,2019-01-01,Sport Club do Recife,31.12.2022,1.3,https://www.transfermarkt.com/jair/profil/spieler/239294
259,8,Ramón Martínez,Defensive Midfield,24,Paraguay,1.86,-,2019-07-01,Club Guaraní,31.12.2022,0.86,https://www.transfermarkt.com/ramon-martinez/profil/spieler/312520
260,8,José Welison,Defensive Midfield,25,Brazil,1.77,right,2019-01-01,Esporte Clube Vitória,30.12.2023,0.7,https://www.transfermarkt.com/jose-welison/profil/spieler/323452
261,8,Allan,Central Midfield,23,Brazil,1.72,left,2020-01-08,Liverpool FC U23,31.12.2023,1.73,https://www.transfermarkt.com/allan/profil/spieler/385271
262,8,Gustavo Blanco,Central Midfield,25,Brazil,1.74,right,2018-05-21,Esporte Clube Bahia,31.12.2022,1.3,https://www.transfermarkt.com/gustavo-blanco/profil/spieler/374855
263,8,Marquinhos,Left Midfield,20,Brazil,1.7,-,2018-03-02,Clube Atlético Mineiro U20,31.12.2023,5.83,https://www.transfermarkt.com/marquinhos/profil/spieler/516722
264,8,Juan Cazares,Attacking Midfield,28,Ecuador,1.71,right,2016-01-28,Independiente del Valle,31.12.2020,3.78,https://www.transfermarkt.com/juan-cazares/profil/spieler/146367
265,8,Hyoran,Attacking Midfield,26,Brazil,1.74,right,2020-01-14,Sociedade Esportiva Palmeiras,31.12.2020,0.86,https://www.transfermarkt.com/hyoran/profil/spieler/338861
266,8,Edinho,Attacking Midfield,25,Brazil,1.58,right,2018-06-28,Fortaleza Esporte Clube,30.06.2023,0.65,https://www.transfermarkt.com/edinho/profil/spieler/353279
