players_ID,team_ID,name,position,Age,Nat,Height,foot,dt_joined,prev_team,contract_expires,market_value,player_page
2136,72,Diego Restrepo,Goalkeeper,32,United States,1.84,right,2019-01-17,San Antonio FC,30.11.2020,0.22,https://www.transfermarkt.com/diego-restrepo/profil/spieler/208726
2137,72,Ryan Thompson,Goalkeeper,35,Jamaica,1.85,right,2018-12-01,Career break,30.11.2020,0.11,https://www.transfermarkt.com/ryan-thompson/profil/spieler/179565
2138,72,Fabien Garcia,Centre-Back,25,France,1.81,right,2019-01-22,Without Club,30.11.2020,0.32,https://www.transfermarkt.com/fabien-garcia/profil/spieler/345172
2139,72,Jermaine Taylor,Centre-Back,35,Jamaica,1.81,-,2018-01-23,Minnesota United FC,30.11.2020,0.22,https://www.transfermarkt.com/jermaine-taylor/profil/spieler/77839
2140,72,Brecc Evans,Centre-Back,20,United States,1.93,-,2020-01-30,North Texas Soccer Club,30.11.2020,0.22,https://www.transfermarkt.com/brecc-evans/profil/spieler/644926
2141,72,Amobi Okugo,Centre-Back,29,United States,1.83,right,2019-02-11,Without Club,30.11.2020,0.22,https://www.transfermarkt.com/amobi-okugo/profil/spieler/145501
2142,72,Gustavo Rissi,Centre-Back,22,Brazil,1.84,right,2020-03-24,Cruzeiro Esporte Clube B,30.11.2020,0.08,https://www.transfermarkt.com/gustavo-rissi/profil/spieler/625618
2143,72,Ismaila Jome,Left-Back,25,The Gambia,1.85,-,2020-01-28,Colorado Springs Switchbacks FC,30.11.2020,0.22,https://www.transfermarkt.com/ismaila-jome/profil/spieler/431216
2144,72,Josué Soto,Left-Back,24,United States,1.75,-,2020-02-07,Querétaro FC,30.11.2020,0.22,https://www.transfermarkt.com/josue-soto/profil/spieler/476866
2145,72,Edson Braafheid,Left-Back,37,Netherlands,1.76,left,2018-12-01,Career break,30.11.2020,0.11,https://www.transfermarkt.com/edson-braafheid/profil/spieler/16731
2146,72,Thomas de Villardi,Left-Back,26,France,1.85,-,2018-12-01,Without Club,30.11.2020,0.11,https://www.transfermarkt.com/thomas-de-villardi/profil/spieler/482664
2147,72,Sean McFarlane,Right-Back,27,Jamaica,1.83,-,2019-01-01,Without Club,30.11.2020,0.19,https://www.transfermarkt.com/sean-mcfarlane/profil/spieler/377288
2148,72,Omar Ciss,Midfielder,18,Senegal,1.75,-,2020-04-21,Montverde Academy,30.11.2020,0.0,https://www.transfermarkt.com/omar-ciss/profil/spieler/768726
2149,72,Xavier Báez,Defensive Midfield,32,Mexico,1.72,right,2019-01-01,Without Club,30.11.2020,0.43,https://www.transfermarkt.com/xavier-baez/profil/spieler/50945
2150,72,Valeri Saramutin,Defensive Midfield,24,Russia,1.77,right,2018-12-01,Veles Moskau,30.11.2020,0.16,https://www.transfermarkt.com/valeri-saramutin/profil/spieler/214262
2151,72,Sonny Guadarrama,Attacking Midfield,33,United States,1.69,right,2018-12-01,San Antonio FC,30.11.2020,0.22,https://www.transfermarkt.com/sonny-guadarrama/profil/spieler/53549
2152,72,Ates Diouf,Attacking Midfield,20,Senegal,1.88,-,2020-04-21,Montverde Academy,30.11.2020,0.14,https://www.transfermarkt.com/ates-diouf/profil/spieler/654134
2153,72,Roberto Avila,Forward,19,United States,1.7,-,2019-04-22,Lonestar SC,30.11.2020,0.03,https://www.transfermarkt.com/roberto-avila/profil/spieler/676099
2154,72,Billy Forbes,Left Winger,29,Turks- and Caicosinseln,1.75,-,2020-01-02,Without Club,30.11.2020,0.22,https://www.transfermarkt.com/billy-forbes/profil/spieler/78283
2155,72,Ema Twumasi,Left Winger,22,Ghana,1.72,-,2020-03-06,FC Dallas,30.11.2020,0.11,https://www.transfermarkt.com/ema-twumasi/profil/spieler/562391
2156,72,Kristopher Tyrpak,Right Winger,28,United States,1.81,-,2018-12-01,Nashville SC,30.11.2020,0.19,https://www.transfermarkt.com/kristopher-tyrpak/profil/spieler/232098
2157,72,Jorge Troncoso,Right Winger,27,Chile,1.73,right,2019-01-22,Deportes Melipilla,30.11.2020,0.16,https://www.transfermarkt.com/jorge-troncoso/profil/spieler/182192
2158,72,Kléber,Centre-Forward,36,Brazil,1.73,right,2018-12-01,Coritiba Foot Ball Club,30.11.2020,0.32,https://www.transfermarkt.com/kleber/profil/spieler/15880
2159,72,André Lima,Centre-Forward,35,Brazil,1.85,right,2019-01-24,Without Club,30.11.2020,0.32,https://www.transfermarkt.com/andre-lima/profil/spieler/52692
