players_ID,team_ID,name,position,Age,Nat,Height,foot,dt_joined,prev_team,contract_expires,market_value,player_page
707,22,Lucas Frigeri,Goalkeeper,30,Brazil,1.94,right,2019-09-26,AD São Caetano (SP),31.12.2021,0.22,https://www.transfermarkt.com/lucas-frigeri/profil/spieler/532752
708,22,Glédson,Goalkeeper,37,Brazil,1.92,right,2019-01-22,América Futebol Clube (RN),31.12.2020,0.05,https://www.transfermarkt.com/gledson/profil/spieler/85965
709,22,Betão,Centre-Back,36,Brazil,1.8,right,2016-08-16,Thonon Évian Savoie FC,-,0.51,https://www.transfermarkt.com/betao/profil/spieler/18445
710,22,Rafael Pereira,Centre-Back,35,Brazil,1.83,right,2020-01-09,Associação Chapecoense de Futebol,31.12.2020,0.32,https://www.transfermarkt.com/rafael-pereira/profil/spieler/58362
711,22,Eduardo Kunde,Centre-Back,22,Brazil,1.87,right,2018-08-10,Avaí Futebol Clube (SC) B,-,0.22,https://www.transfermarkt.com/eduardo-kunde/profil/spieler/606281
712,22,Airton,Centre-Back,29,Brazil,1.91,right,2017-05-22,Paraná Clube,-,0.22,https://www.transfermarkt.com/airton/profil/spieler/179321
713,22,Zé Marcos,Centre-Back,22,Brazil,1.88,left,2019-07-07,Red Star Belgrade II,31.12.2021,0.16,https://www.transfermarkt.com/ze-marcos/profil/spieler/323850
714,22,Matheus Cabral,Centre-Back,21,Brazil,m,-,-,-,-,0.0,https://www.transfermarkt.com/matheus-cabral/profil/spieler/688873
715,22,Capa,Left-Back,27,Brazil,1.71,left,2017-01-19,SERC Guarani (SC),31.12.2020,0.7,https://www.transfermarkt.com/capa/profil/spieler/443611
716,22,Igor Fernandes,Left-Back,27,Brazil,1.83,left,2018-08-30,ABC Futebol Clube (RN),-,0.51,https://www.transfermarkt.com/igor-fernandes/profil/spieler/250841
717,22,Leonan,Left-Back,24,Brazil,1.74,both,2020-01-31,Clube Atlético Mineiro,-,0.05,https://www.transfermarkt.com/leonan/profil/spieler/435252
718,22,Ramon Pereira,Left-Back,20,Brazil,m,left,-,-,-,0.05,https://www.transfermarkt.com/ramon-pereira/profil/spieler/724765
719,22,Arnaldo,Right-Back,28,Brazil,1.73,right,2020-01-01,Botafogo Rio de Janeiro,31.12.2020,0.7,https://www.transfermarkt.com/arnaldo/profil/spieler/268522
720,22,Marcinho,Defensive Midfield,20,Brazil,1.87,right,2019-01-03,Avaí Futebol Clube (SC) U20,-,0.05,https://www.transfermarkt.com/marcinho/profil/spieler/653343
721,22,Jean,Defensive Midfield,21,Brazil,1.69,-,2019-09-27,Figueirense Futebol Clube,-,0.05,https://www.transfermarkt.com/jean/profil/spieler/653629
722,22,Bruno Silva,Central Midfield,33,Brazil,1.79,right,2020-01-09,Sport Club Internacional,-,0.86,https://www.transfermarkt.com/bruno-silva/profil/spieler/75131
723,22,Wesley,Central Midfield,32,Brazil,1.79,right,2020-01-09,Criciúma Esporte Clube,-,0.78,https://www.transfermarkt.com/wesley/profil/spieler/52929
724,22,Wesley Soares,Central Midfield,22,Brazil,1.83,right,2019-07-01,Avaí Futebol Clube (SC) B,-,0.11,https://www.transfermarkt.com/wesley-soares/profil/spieler/653346
725,22,Renato,Central Midfield,21,Brazil,m,-,-,-,-,0.0,https://www.transfermarkt.com/renato/profil/spieler/740373
726,22,Adryan,Attacking Midfield,25,Brazil,1.75,right,2020-02-12,FC Sion,-,1.94,https://www.transfermarkt.com/adryan/profil/spieler/174835
727,22,Valdívia,Attacking Midfield,25,Brazil,1.74,right,2020-01-01,Sport Club Internacional,31.12.2020,0.86,https://www.transfermarkt.com/valdivia/profil/spieler/255685
728,22,Pedro Castro,Attacking Midfield,27,Brazil,1.8,right,2019-01-03,Tombense Futebol Clube (MG),-,0.7,https://www.transfermarkt.com/pedro-castro/profil/spieler/214312
729,22,Gustavo Poffo,Attacking Midfield,22,Brazil,m,-,2020-01-10,Figueirense Futebol Clube,-,0.0,https://www.transfermarkt.com/gustavo-poffo/profil/spieler/633052
730,22,Da Silva,Attacking Midfield,20,Brazil,m,-,2020-01-01,Sport Club Internacional B,-,0.0,https://www.transfermarkt.com/da-silva/profil/spieler/739402
731,22,Rildo,Left Winger,31,Brazil,1.8,right,2020-01-03,Daegu FC,31.12.2020,0.7,https://www.transfermarkt.com/rildo/profil/spieler/175230
732,22,Kelvin,Right Winger,26,Brazil,1.75,left,2020-02-06,Coritiba Foot Ball Club,-,0.86,https://www.transfermarkt.com/kelvin/profil/spieler/165383
733,22,Lourenço,Right Winger,22,Brazil,1.69,right,2017-01-01,Avaí Futebol Clube (SC) B,31.12.2020,0.65,https://www.transfermarkt.com/lourenco/profil/spieler/515068
734,22,Alexandre Alemão,Right Winger,22,Brazil,1.82,right,-,-,-,0.0,https://www.transfermarkt.com/alexandre-alemao/profil/spieler/560417
735,22,Jonathan,Centre-Forward,21,Brazil,1.73,right,2019-09-01,Avaí Futebol Clube (SC) U20,-,0.86,https://www.transfermarkt.com/jonathan/profil/spieler/599259
736,22,Getulio,Centre-Forward,22,Brazil,1.87,right,2020-01-17,Tombense Futebol Clube (MG),-,0.7,https://www.transfermarkt.com/getulio/profil/spieler/592345
737,22,Gastón Rodríguez,Centre-Forward,28,Uruguay,1.87,left,2020-02-08,Racing Club,31.12.2020,0.51,https://www.transfermarkt.com/gaston-rodriguez/profil/spieler/199877
738,22,Matheus Lucas,Centre-Forward,21,Brazil,1.8,-,2019-09-19,Figueirense Futebol Clube,-,0.22,https://www.transfermarkt.com/matheus-lucas/profil/spieler/642989
739,22,Vinícius Jaú,Centre-Forward,22,Brazil,1.75,-,2020-01-31,SL Benfica B,-,0.11,https://www.transfermarkt.com/vinicius-jau/profil/spieler/323879
