players_ID,team_ID,name,position,Age,Nat,Height,foot,dt_joined,prev_team,contract_expires,market_value,player_page
2710,98,Todd Morton,Goalkeeper,24,United States,1.93,-,2019-08-01,Real Monarchs SLC,30.11.2020,0.11,https://www.transfermarkt.com/todd-morton/profil/spieler/652623
2711,98,Benjamin Ofeimu,Centre-Back,19,United States,1.91,right,2019-01-23,Philadelphia Union Academy,30.11.2020,0.19,https://www.transfermarkt.com/benjamin-ofeimu/profil/spieler/588933
2712,98,Jamoi Topey,Centre-Back,20,Jamaica,1.98,-,2020-01-01,Cavalier SC,30.11.2020,0.11,https://www.transfermarkt.com/jamoi-topey/profil/spieler/602904
2713,98,Steve Kingue,Centre-Back,20,Cameroon,1.85,right,2020-01-01,Nkufo Academy Sports,30.11.2020,0.08,https://www.transfermarkt.com/steve-kingue/profil/spieler/604293
2714,98,Cole Turner,Defensive Midfield,18,United States,1.88,-,2020-01-02,Philadelphia Union,30.11.2020,0.19,https://www.transfermarkt.com/cole-turner/profil/spieler/659780
2715,98,Jack McGlynn,Central Midfield,16,United States,1.8,-,2020-03-06,Philadelphia Union Academy,30.11.2020,0.0,https://www.transfermarkt.com/jack-mcglynn/profil/spieler/724547
2716,98,Issa Rayyan,Right Midfield,19,United States,1.75,-,2019-02-26,Duke Blue Devils (Duke University),30.11.2020,0.16,https://www.transfermarkt.com/issa-rayyan/profil/spieler/469401
2717,98,Zach Zandi,Left Midfield,23,United States,1.67,-,2019-01-09,Villanova Wildcats,30.11.2020,0.19,https://www.transfermarkt.com/zach-zandi/profil/spieler/511768
2718,98,Selmir Miscic,Left Midfield,17,United States,1.7,-,2018-09-21,Philadelphia Union Academy,30.11.2020,0.05,https://www.transfermarkt.com/selmir-miscic/profil/spieler/628251
2719,98,Saed Díaz,Centre-Forward,20,Panama,1.84,right,2019-01-04,Tauro FC,30.11.2020,0.08,https://www.transfermarkt.com/saed-diaz/profil/spieler/629212
2720,98,Yomi Scintu,Centre-Forward,22,Italy,1.93,right,2019-03-08,VfB Eichstätt,30.11.2020,0.08,https://www.transfermarkt.com/yomi-scintu/profil/spieler/282156
2721,98,Shanyder Borgelin,Centre-Forward,18,Haiti,1.96,-,2019-04-05,Philadelphia Union Academy,30.11.2020,0.08,https://www.transfermarkt.com/shanyder-borgelin/profil/spieler/628838
