players_ID,team_ID,name,position,Age,Nat,Height,foot,dt_joined,prev_team,contract_expires,market_value,player_page
2531,89,Matt Van Oekel,Goalkeeper,33,United States,1.93,-,2018-12-12,Oklahoma City Energy FC,30.11.2020,0.19,https://www.transfermarkt.com/matt-van-oekel/profil/spieler/113514
2532,89,Trevor Spangenberg,Goalkeeper,29,United States,1.87,right,2019-02-21,Richmond Kickers,30.11.2020,0.16,https://www.transfermarkt.com/trevor-spangenberg/profil/spieler/316490
2533,89,Ford Parker,Goalkeeper,23,United States,1.88,-,2020-02-04,"UCI Anteaters (University of California, Irvine)",30.11.2020,0.0,https://www.transfermarkt.com/ford-parker/profil/spieler/742148
2534,89,Alex Crognale,Centre-Back,25,United States,1.96,right,2020-01-01,Columbus Crew SC,30.11.2021,0.38,https://www.transfermarkt.com/alex-crognale/profil/spieler/478530
2535,89,Mathieu Laurent,Centre-Back,24,Canada,1.83,-,2019-01-28,UAB Blazers (Univ. of Alabama at Birmingham),30.11.2020,0.19,https://www.transfermarkt.com/mathieu-laurent/profil/spieler/294715
2536,89,Johannes Bergmann,Centre-Back,25,Germany,1.85,left,2020-02-14,Maryland Terrapins (University of Maryland),30.11.2020,0.0,https://www.transfermarkt.com/johannes-bergmann/profil/spieler/94105
2537,89,Razak Cromwell,Left-Back,25,Ghana,1.76,left,2020-01-01,Dreams FC,30.11.2020,0.14,https://www.transfermarkt.com/razak-cromwell/profil/spieler/579634
2538,89,Bruno Lapa,Midfielder,22,Brazil,1.75,-,2020-02-14,Demon Deacons (Wake Forest University),30.11.2020,0.0,https://www.transfermarkt.com/bruno-lapa/profil/spieler/637448
2539,89,Jonathan Dean,Midfielder,22,United States,1.73,-,2020-02-28,Orlando City SC,30.11.2020,0.0,https://www.transfermarkt.com/jonathan-dean/profil/spieler/635864
2540,89,Mikey Lopez,Defensive Midfield,27,United States,1.74,-,2018-12-01,San Antonio FC,30.11.2020,0.27,https://www.transfermarkt.com/mikey-lopez/profil/spieler/236587
2541,89,Bolu Akinyode,Defensive Midfield,25,Nigeria,1.87,left,2019-12-17,Nashville SC,30.11.2020,0.22,https://www.transfermarkt.com/bolu-akinyode/profil/spieler/371100
2542,89,Anderson Asiedu,Defensive Midfield,23,Ghana,1.68,-,2019-07-15,Without Club,30.11.2020,0.16,https://www.transfermarkt.com/anderson-asiedu/profil/spieler/637272
2543,89,Daigo Kobayashi,Central Midfield,37,Japan,1.78,right,2019-01-21,Las Vegas Lights FC,30.11.2020,0.11,https://www.transfermarkt.com/daigo-kobayashi/profil/spieler/63754
2544,89,Marcos Ugarte,Central Midfield,27,United States,1.73,left,2019-01-01,Ringköbing IF,30.11.2020,0.08,https://www.transfermarkt.com/marcos-ugarte/profil/spieler/367419
2545,89,Rudolf Mensah,Forward,18,Ghana,1.73,-,2020-02-04,Liberty Professionals FC,30.11.2020,0.05,https://www.transfermarkt.com/rudolf-mensah/profil/spieler/742147
2546,89,Jaden Servania,Right Winger,18,Puerto Rico,1.7,right,2020-02-06,Brazos Valley Cavalry FC,30.11.2020,0.0,https://www.transfermarkt.com/jaden-servania/profil/spieler/627421
2547,89,Chandler Hoffman,Centre-Forward,29,United States,1.83,-,2018-12-01,Real Monarchs SLC,30.11.2020,0.35,https://www.transfermarkt.com/chandler-hoffman/profil/spieler/212985
2548,89,Neco Brett,Centre-Forward,28,Jamaica,1.72,-,2019-12-17,Pittsburgh Riverhounds SC,30.11.2020,0.35,https://www.transfermarkt.com/neco-brett/profil/spieler/372933
2549,89,Prosper Kasim,Centre-Forward,23,Ghana,1.76,left,2019-01-02,IFK Göteborg,30.11.2020,0.19,https://www.transfermarkt.com/prosper-kasim/profil/spieler/358755
2550,89,Brian Wright,Centre-Forward,25,Canada,1.84,-,2020-01-01,New England Revolution,30.11.2021,0.16,https://www.transfermarkt.com/brian-wright/profil/spieler/482623
