players_ID,team_ID,name,position,Age,Nat,Height,foot,dt_joined,prev_team,contract_expires,market_value,player_page
990,31,Darley,Goalkeeper,30,Brazil,1.88,right,2020-01-09,Tombense Futebol Clube (MG),13.12.2021,0.11,https://www.transfermarkt.com/darley/profil/spieler/67834
991,31,Igor,Goalkeeper,24,Brazil,1.93,-,2020-01-09,Sport Club Internacional B,14.12.2020,0.11,https://www.transfermarkt.com/igor/profil/spieler/530385
992,31,Leonardo Sulzbach,Goalkeeper,20,Brazil,1.86,-,2019-09-12,Avaí Futebol Clube (SC) U20,10.12.2020,0.0,https://www.transfermarkt.com/leonardo-sulzbach/profil/spieler/468326
993,31,Reginaldo,Centre-Back,27,Brazil,1.93,right,2020-01-15,Fluminense Football Club,31.12.2020,0.7,https://www.transfermarkt.com/reginaldo/profil/spieler/361597
994,31,Robson,Centre-Back,26,Brazil,1.85,right,2020-02-17,Khor Fakkan,31.07.2021,0.57,https://www.transfermarkt.com/robson/profil/spieler/280762
995,31,Jordan,Centre-Back,21,Brazil,1.9,right,2020-01-14,Cianorte Futebol Clube (PR),14.12.2020,0.0,https://www.transfermarkt.com/jordan/profil/spieler/546532
996,31,Andrion,Centre-Back,20,Brazil,m,-,-,-,14.12.2020,0.0,https://www.transfermarkt.com/andrion/profil/spieler/740290
997,31,Gilson,Left-Back,33,Brazil,1.77,left,2020-01-15,Botafogo Rio de Janeiro,06.12.2020,0.57,https://www.transfermarkt.com/gilson/profil/spieler/132568
998,31,Caique,Left-Back,21,Brazil,1.75,left,2020-01-06,São Paulo Futebol Clube,-,0.0,https://www.transfermarkt.com/caique/profil/spieler/323875
999,31,Guilherme Martineli,Left-Back,20,Brazil,m,left,-,-,10.12.2020,0.0,https://www.transfermarkt.com/guilherme-martineli/profil/spieler/734147
1000,31,Matheus Ribeiro,Left-Back,20,Brazil,m,-,-,-,10.12.2021,0.0,https://www.transfermarkt.com/matheus-ribeiro/profil/spieler/674154
1001,31,Caique Sá,Right-Back,27,Brazil,1.7,right,2020-01-10,Joinville Esporte Clube (SC),14.12.2020,0.38,https://www.transfermarkt.com/caique-sa/profil/spieler/254771
1002,31,Naldo,Defensive Midfield,29,Brazil,1.85,right,2020-02-06,Al-Feiha FC,06.12.2020,0.65,https://www.transfermarkt.com/naldo/profil/spieler/237621
1003,31,Willian,Defensive Midfield,26,Brazil,1.79,right,2019-01-02,Fluminense Football Club,12.12.2020,0.35,https://www.transfermarkt.com/willian/profil/spieler/252900
1004,31,Victor Bolt,Defensive Midfield,33,Brazil,1.8,right,2020-02-10,Heilongjiang Lava Spring,06.12.2020,0.27,https://www.transfermarkt.com/victor-bolt/profil/spieler/195343
1005,31,Ferreira,Defensive Midfield,27,Brazil,1.9,right,2020-01-15,Berço SC,08.12.2020,0.11,https://www.transfermarkt.com/ferreira/profil/spieler/546173
1006,31,Jonata Machado,Defensive Midfield,20,Brazil,m,-,-,-,31.12.2020,0.0,https://www.transfermarkt.com/jonata-machado/profil/spieler/669933
1007,31,Valdemir,Central Midfield,23,Brazil,m,-,2020-01-15,Sport Club Internacional B,12.12.2020,0.35,https://www.transfermarkt.com/valdemir/profil/spieler/520665
1008,31,Matheus Anjos,Central Midfield,21,Brazil,m,right,2020-02-27,Club Athletico Paranaense B,10.12.2020,0.11,https://www.transfermarkt.com/matheus-anjos/profil/spieler/520623
1009,31,Edson Silva,Central Midfield,21,Brazil,m,-,-,-,30.04.2021,0.0,https://www.transfermarkt.com/edson-silva/profil/spieler/740289
1010,31,Marcos Vinicius,Attacking Midfield,25,Brazil,1.77,right,2020-02-27,Botafogo Rio de Janeiro,30.06.2020,0.43,https://www.transfermarkt.com/marcos-vinicius/profil/spieler/189963
1011,31,Gabriel Calabres,Attacking Midfield,22,Brazil,1.85,right,2020-01-21,Cianorte Futebol Clube (PR),14.12.2020,0.05,https://www.transfermarkt.com/gabriel-calabres/profil/spieler/546294
1012,31,Marco Antônio,Forward,41,Brazil,1.75,-,2011-07-01,FBC Unione Venezia,-,0.0,https://www.transfermarkt.com/marco-antonio/profil/spieler/771326
1013,31,Luketa,Left Winger,21,Brazil,m,-,-,-,10.12.2020,0.0,https://www.transfermarkt.com/luketa/profil/spieler/670015
1014,31,Francis,Right Winger,30,Brazil,1.78,right,2020-01-27,Vitória Guimarães SC B,06.12.2020,0.38,https://www.transfermarkt.com/francis/profil/spieler/270648
1015,31,Rafinha,Right Winger,27,Brazil,1.75,right,2020-01-09,Goiás Esporte Clube,14.12.2020,0.35,https://www.transfermarkt.com/rafinha/profil/spieler/170385
1016,31,Ronald,Right Winger,23,Brazil,1.61,both,2019-07-01,Boavista FC B,30.05.2021,0.05,https://www.transfermarkt.com/ronald/profil/spieler/612706
1017,31,Gustavo Henrique,Right Winger,24,Brazil,m,-,2020-01-15,Sport Club Atibaia (SP),14.12.2020,0.0,https://www.transfermarkt.com/gustavo-henrique/profil/spieler/646004
1018,31,Dodô,Right Winger,20,Brazil,m,right,-,-,30.04.2021,0.0,https://www.transfermarkt.com/dodo/profil/spieler/670014
1019,31,Wellington,Centre-Forward,32,Brazil,1.88,right,2020-02-11,Vissel Kobe,10.12.2020,0.59,https://www.transfermarkt.com/wellington/profil/spieler/67207
1020,31,Diego Cardoso,Centre-Forward,26,Brazil,1.77,right,2020-01-10,Santos FC B,12.12.2020,0.27,https://www.transfermarkt.com/diego-cardoso/profil/spieler/181772
1021,31,Murilo,Centre-Forward,22,Brazil,1.77,-,2020-01-09,AC Goianiense (GO),14.12.2020,0.11,https://www.transfermarkt.com/murilo/profil/spieler/403805
