players_ID,team_ID,name,position,Age,Nat,Height,foot,dt_joined,prev_team,contract_expires,market_value,player_page
2435,85,Alexander Tambakis,Goalkeeper,27,Greece,1.91,right,2018-03-02,Without Club,30.11.2020,0.22,https://www.transfermarkt.com/alexander-tambakis/profil/spieler/68436
2436,85,Robert Alphin,Goalkeeper,17,United States,1.88,-,2020-01-17,North Carolina FC Academy,-,0.03,https://www.transfermarkt.com/robert-alphin/profil/spieler/677247
2437,85,Paulo Pita,Goalkeeper,25,Brazil,1.91,-,2020-02-17,Los Angeles FC,30.11.2020,0.0,https://www.transfermarkt.com/paulo-pita/profil/spieler/735808
2438,85,Malick Mbaye,Defender,23,Senegal,1.83,-,2020-02-28,Toronto FC,30.11.2020,0.0,https://www.transfermarkt.com/malick-mbaye/profil/spieler/735794
2439,85,Sam Brotherton,Centre-Back,23,New Zealand,1.87,-,2019-01-29,Sunderland AFC,30.11.2020,0.22,https://www.transfermarkt.com/sam-brotherton/profil/spieler/345364
2440,85,Conor Donovan,Centre-Back,24,United States,1.88,right,2019-12-20,Rio Grande Valley FC Toros,30.11.2020,0.22,https://www.transfermarkt.com/conor-donovan/profil/spieler/336166
2441,85,Alex Comsia,Centre-Back,23,Canada,1.83,-,2019-02-22,North Carolina Tar Heels (University of NC),30.11.2020,0.19,https://www.transfermarkt.com/alex-comsia/profil/spieler/294693
2442,85,Caleb Duvernay,Left-Back,23,United States,1.7,-,2019-03-15,North Carolina State Wolfpack (NC State Univ.),30.11.2020,0.16,https://www.transfermarkt.com/caleb-duvernay/profil/spieler/663342
2443,85,Adam Armour,Left-Back,17,United States,1.78,left,2020-01-17,North Carolina FC Academy,-,0.0,https://www.transfermarkt.com/adam-armour/profil/spieler/627199
2444,85,Steven Miller,Right-Back,30,United States,1.8,right,2015-12-07,Tulsa Roughnecks FC,30.11.2020,0.27,https://www.transfermarkt.com/steven-miller/profil/spieler/115566
2445,85,D.J. Taylor,Right-Back,22,United States,1.75,-,2017-07-27,CD Buñol,30.11.2020,0.22,https://www.transfermarkt.com/d-j-taylor/profil/spieler/524808
2446,85,Manny Perez,Right-Back,21,United States,1.84,-,2020-02-05,Celtic FC,30.11.2020,0.19,https://www.transfermarkt.com/manny-perez/profil/spieler/502442
2447,85,Akeem Ward,Right-Back,24,United States,1.7,right,2020-02-18,Birmingham Legion FC,30.11.2020,0.16,https://www.transfermarkt.com/akeem-ward/profil/spieler/644783
2448,85,Luke Hille,Midfielder,17,United States,m,-,2020-01-17,North Carolina FC Academy,-,0.0,https://www.transfermarkt.com/luke-hille/profil/spieler/737978
2449,85,Pecka,Defensive Midfield,31,Brazil,1.72,right,2019-12-24,San Antonio FC,30.11.2020,0.22,https://www.transfermarkt.com/pecka/profil/spieler/197498
2450,85,Graham Smith,Defensive Midfield,26,United States,1.73,-,2018-03-15,Without Club,30.11.2020,0.22,https://www.transfermarkt.com/graham-smith/profil/spieler/573440
2451,85,Ben Speas,Defensive Midfield,29,United States,1.73,right,2019-12-01,Indy Eleven,30.11.2020,0.22,https://www.transfermarkt.com/ben-speas/profil/spieler/212891
2452,85,Nazmi Albadawi,Attacking Midfield,28,Palästina,1.8,-,2020-01-01,FC Cincinnati,30.11.2020,0.27,https://www.transfermarkt.com/nazmi-albadawi/profil/spieler/308162
2453,85,Dre Fortune,Attacking Midfield,23,Trinidad and Tobago,1.6,-,2017-03-17,Rochester Rhinos,30.11.2020,0.19,https://www.transfermarkt.com/dre-fortune/profil/spieler/430376
2454,85,Hadji Barry,Centre-Forward,27,Guinea,1.8,-,2020-01-01,Ottawa Fury FC,30.11.2020,0.32,https://www.transfermarkt.com/hadji-barry/profil/spieler/417384
2455,85,Robert Kristo,Centre-Forward,26,United States,1.95,right,2019-01-23,Without Club,30.11.2020,0.14,https://www.transfermarkt.com/robert-kristo/profil/spieler/354895
2456,85,Daniele Proch,Centre-Forward,23,Italy,1.75,-,2020-02-06,Duke Blue Devils (Duke University),30.11.2020,0.05,https://www.transfermarkt.com/daniele-proch/profil/spieler/318892
