players_ID,team_ID,name,position,Age,Nat,Height,foot,dt_joined,prev_team,contract_expires,market_value,player_page
585,18,Richard,Goalkeeper,29,Brazil,1.86,right,2019-01-16,Paraná Clube,31.12.2021,0.51,https://www.transfermarkt.com/richard/profil/spieler/159893
586,18,Diogo Silva,Goalkeeper,33,Brazil,1.92,right,2018-08-14,Luverdense Esporte Clube (MT),10.12.2020,0.43,https://www.transfermarkt.com/diogo-silva/profil/spieler/186398
587,18,Fernando Prass,Goalkeeper,41,Brazil,1.91,right,2020-01-08,Sociedade Esportiva Palmeiras,10.12.2020,0.27,https://www.transfermarkt.com/fernando-prass/profil/spieler/31315
588,18,Lucas França,Goalkeeper,24,Brazil,1.94,-,2019-07-16,Cruzeiro Esporte Clube,31.05.2020,0.11,https://www.transfermarkt.com/lucas-franca/profil/spieler/418615
589,18,Matheus Cabral,Goalkeeper,21,Brazil,m,-,2019-07-01,Ceará Sporting Club (CE) B,31.12.2021,0.05,https://www.transfermarkt.com/matheus-cabral/profil/spieler/601210
590,18,Luiz Otávio,Centre-Back,31,Brazil,1.9,right,2019-01-01,Angra dos Reis Esporte Clube (RJ),10.12.2021,0.59,https://www.transfermarkt.com/luiz-otavio/profil/spieler/265693
591,18,Klaus,Centre-Back,26,Brazil,1.87,right,2020-01-07,Sport Club Internacional,10.12.2021,0.59,https://www.transfermarkt.com/klaus/profil/spieler/484599
592,18,Tiago Pagnussat,Centre-Back,29,Brazil,1.91,right,2020-01-01,Esporte Clube Bahia,31.12.2021,0.38,https://www.transfermarkt.com/tiago-pagnussat/profil/spieler/346729
593,18,Eduardo Brock,Centre-Back,28,Brazil,1.86,left,2019-01-01,Goiás Esporte Clube,10.12.2020,0.35,https://www.transfermarkt.com/eduardo-brock/profil/spieler/435232
594,18,Bruno Pacheco,Left-Back,28,Brazil,1.74,left,2020-01-01,Associação Chapecoense de Futebol,31.12.2021,0.78,https://www.transfermarkt.com/bruno-pacheco/profil/spieler/435163
595,18,Alyson,Left-Back,24,Brazil,1.82,left,2020-03-04,Oeste Futebol Clube (SP),10.12.2020,0.0,https://www.transfermarkt.com/alyson/profil/spieler/592364
596,18,Samuel Xavier,Right-Back,29,Brazil,1.66,right,2019-01-01,Sport Club do Recife,10.12.2020,0.86,https://www.transfermarkt.com/samuel-xavier/profil/spieler/198250
597,18,Eduardo,Right-Back,33,Brazil,1.73,right,2020-01-01,Associação Chapecoense de Futebol,10.12.2020,0.59,https://www.transfermarkt.com/eduardo/profil/spieler/53999
