players_ID,team_ID,name,position,Age,Nat,Height,foot,dt_joined,prev_team,contract_expires,market_value,player_page
740,23,Caíque,Goalkeeper,22,Brazil,1.98,right,2020-01-21,Esporte Clube Vitória,30.11.32767,0.7,https://www.transfermarkt.com/caique/profil/spieler/384159
741,23,Thiago Rodrigues,Goalkeeper,31,Brazil,1.89,right,2020-02-07,Paraná Clube,31.12.2020,0.43,https://www.transfermarkt.com/thiago-rodrigues/profil/spieler/76139
742,23,Alexandre Cajuru,Goalkeeper,27,Brazil,1.9,right,2017-05-01,Clube Atlético Paranaense B,-,0.16,https://www.transfermarkt.com/alexandre-cajuru/profil/spieler/375469
743,23,Bruno Grassi,Goalkeeper,33,Brazil,1.92,right,2020-01-01,Grêmio Foot-Ball Porto Alegrense,-,0.11,https://www.transfermarkt.com/bruno-grassi/profil/spieler/95747
744,23,Luciano Castan,Centre-Back,30,Brazil,1.87,left,2019-01-01,Without Club,-,0.7,https://www.transfermarkt.com/luciano-castan/profil/spieler/140541
745,23,Leandro Souza,Centre-Back,34,Brazil,1.87,right,2015-12-11,Agremiação Sportiva Arapiraquense (AL),-,0.59,https://www.transfermarkt.com/leandro-souza/profil/spieler/64577
746,23,Alan Costa,Centre-Back,29,Brazil,1.95,right,2019-07-04,Coritiba Foot Ball Club,-,0.57,https://www.transfermarkt.com/alan-costa/profil/spieler/271860
747,23,Willian Rocha,Centre-Back,31,Brazil,1.86,left,2020-01-17,Tombense Futebol Clube (MG),-,0.11,https://www.transfermarkt.com/willian-rocha/profil/spieler/177538
748,23,Lucas Dias,Centre-Back,24,Brazil,1.91,right,2019-04-23,Moto Club de São Luís (MA),-,0.05,https://www.transfermarkt.com/lucas-dias/profil/spieler/642014
749,23,Luan,Centre-Back,23,Brazil,1.92,right,2020-01-17,FC Alverca,-,0.0,https://www.transfermarkt.com/luan/profil/spieler/593945
750,23,Diego Renan,Left-Back,30,Brazil,1.72,both,2020-01-01,Associação Atlética Ponte Preta,31.12.2020,0.78,https://www.transfermarkt.com/diego-renan/profil/spieler/75059
751,23,Rafinha,Left-Back,33,Brazil,1.73,left,2016-01-20,Foz do Iguaçu FC,31.12.2020,0.38,https://www.transfermarkt.com/rafinha/profil/spieler/187099
752,23,Norberto,Right-Back,29,Brazil,1.75,right,2020-01-01,Sport Club do Recife,-,0.78,https://www.transfermarkt.com/norberto/profil/spieler/152538
753,23,Caio Felipe,Right-Back,21,Brazil,m,right,2020-02-05,FC São Paulo B,-,0.0,https://www.transfermarkt.com/caio-felipe/profil/spieler/729267
754,23,Yago,Defensive Midfield,24,Brazil,1.8,right,2020-01-01,Clube Atlético Mineiro,31.12.2020,0.97,https://www.transfermarkt.com/yago/profil/spieler/281438
755,23,Márcio Araújo,Defensive Midfield,35,Brazil,1.72,right,2020-02-17,Associação Chapecoense de Futebol,-,0.59,https://www.transfermarkt.com/marcio-araujo/profil/spieler/65162
756,23,Geovane,Defensive Midfield,31,Brazil,1.79,right,2020-01-08,Goiás Esporte Clube,-,0.51,https://www.transfermarkt.com/geovane/profil/spieler/100124
