players_ID,team_ID,name,position,Age,Nat,Height,foot,dt_joined,prev_team,contract_expires,market_value,player_page
2457,86,Philip Breno,Goalkeeper,24,United States,1.88,-,2019-03-08,William & Mary Tribe (College of William and Mary),30.11.2020,0.08,https://www.transfermarkt.com/philip-breno/profil/spieler/658569
2458,86,Paul Lewis,Goalkeeper,21,United States,1.96,-,2020-03-05,"CSUN Matadors (Cal State University, Northridge)",30.11.2020,0.0,https://www.transfermarkt.com/paul-lewis/profil/spieler/749771
2459,86,Darian McCauley,Goalkeeper,22,United States,1.91,-,2020-02-26,Millersville Marauders (Millersville Uni. of Penn),30.11.2020,0.0,https://www.transfermarkt.com/darian-mccauley/profil/spieler/747719
2460,86,Deshawon Nembhard,Defender,25,Belize,1.85,-,2020-02-10,FIU Panthers (Florida International University),30.11.2020,0.0,https://www.transfermarkt.com/deshawon-nembhard/profil/spieler/743566
2461,86,Temi Adesodun,Defender,22,Nigeria,1.83,-,2019-09-19,College of Charleston,30.11.2020,0.0,https://www.transfermarkt.com/temi-adesodun/profil/spieler/718844
2462,86,Leland Archer,Centre-Back,24,Trinidad and Tobago,1.93,-,2018-05-10,College of Charleston,30.11.2020,0.16,https://www.transfermarkt.com/leland-archer/profil/spieler/354580
2463,86,Logan Gdula,Centre-Back,23,United States,1.8,-,2020-02-12,FC Cincinnati,30.11.2020,0.16,https://www.transfermarkt.com/logan-gdula/profil/spieler/637452
2464,86,Rennico Clarke,Centre-Back,24,Jamaica,1.94,-,2020-02-19,Sporting Kansas City II,30.11.2020,0.14,https://www.transfermarkt.com/rennico-clarke/profil/spieler/354653
2465,86,AJ Paterson,Left-Back,24,Grenada,1.88,left,2019-03-07,Without Club,30.11.2020,0.11,https://www.transfermarkt.com/aj-paterson/profil/spieler/562537
2466,86,O'Brian Woodbine,Right-Back,32,Jamaica,1.83,right,2015-03-20,Ottawa Fury FC,30.11.2020,0.16,https://www.transfermarkt.com/obrian-woodbine/profil/spieler/77885
2467,86,Jay Bolt,Right-Back,25,United States,1.7,-,2018-01-25,Without Club,30.11.2020,0.16,https://www.transfermarkt.com/jay-bolt/profil/spieler/509025
2468,86,Kyle Nelson,Right-Back,23,United States,1.88,-,2019-03-07,Wofford Terriers (Wofford College),30.11.2020,0.14,https://www.transfermarkt.com/kyle-nelson/profil/spieler/658570
2469,86,James Cox,Midfielder,19,United States,1.83,-,2019-06-24,Unknown,30.11.2020,0.03,https://www.transfermarkt.com/james-cox/profil/spieler/681456
2470,86,Evan Posnanski,Midfielder,18,United States,m,-,2019-09-24,Wando Warriors (Wando High School),30.11.2020,0.0,https://www.transfermarkt.com/evan-posnanski/profil/spieler/719397
2471,86,Mauro Cichero,Midfielder,24,United States,1.91,-,2020-02-27,Without Club,30.11.2020,0.0,https://www.transfermarkt.com/mauro-cichero/profil/spieler/747724
2472,86,Angelo Kelly-Rosales,Defensive Midfield,27,Honduras,1.73,-,2018-03-16,Without Club,30.11.2020,0.19,https://www.transfermarkt.com/angelo-kelly-rosales/profil/spieler/573980
2473,86,Kierron Mason,Defensive Midfield,21,Trinidad and Tobago,1.88,-,2019-03-08,W Connection,30.11.2020,0.05,https://www.transfermarkt.com/kierron-mason/profil/spieler/489020
2474,86,Robbie Crawford,Central Midfield,27,Scotland,1.8,both,2020-02-04,IFK Mariehamn,30.11.2020,0.22,https://www.transfermarkt.com/robbie-crawford/profil/spieler/133040
2475,86,Vincenzo Candela,Central Midfield,25,Italy,1.72,right,2018-02-20,Llaneros FC,30.11.2020,0.19,https://www.transfermarkt.com/vincenzo-candela/profil/spieler/285943
2476,86,Nico Rittmeyer,Central Midfield,26,United States,1.73,-,2017-03-21,College of Charleston,30.11.2020,0.16,https://www.transfermarkt.com/nico-rittmeyer/profil/spieler/496608
2477,86,Jarad van Schaik,Left Midfield,31,United States,1.85,-,2017-07-17,Without Club,30.11.2020,0.22,https://www.transfermarkt.com/jarad-van-schaik/profil/spieler/180032
2478,86,Kotaro Higashi,Attacking Midfield,30,Japan,1.68,-,2017-03-16,Bonnyrigg White Eagles,30.11.2020,0.19,https://www.transfermarkt.com/kotaro-higashi/profil/spieler/292852
2479,86,Zeiko Lewis,Attacking Midfield,25,Bermuda,1.7,left,2019-02-07,FH Hafnarfjördur,30.11.2020,0.16,https://www.transfermarkt.com/zeiko-lewis/profil/spieler/220574
2480,86,Dante Marini,Attacking Midfield,27,United States,1.6,both,2018-08-10,Without Club,30.11.2020,0.16,https://www.transfermarkt.com/dante-marini/profil/spieler/272851
2481,86,Jesus Ibarra,Forward,22,United States,m,-,2020-02-14,Bodens BK,30.11.2020,0.0,https://www.transfermarkt.com/jesus-ibarra/profil/spieler/650447
2482,86,Ian Svantesson,Left Winger,26,United States,1.98,-,2017-12-12,Tulsa Roughnecks FC,30.11.2020,0.19,https://www.transfermarkt.com/ian-svantesson/profil/spieler/423453
2483,86,Romario Piggott,Right Winger,24,Panama,1.75,right,2019-01-01,Myrtle Beach Mutiny,30.11.2020,0.16,https://www.transfermarkt.com/romario-piggott/profil/spieler/189535
2484,86,Arthur Bosua,Centre-Forward,24,United States,1.93,right,2019-03-08,Without Club,30.11.2020,0.16,https://www.transfermarkt.com/arthur-bosua/profil/spieler/658568
2485,86,Nicque Daley,Centre-Forward,19,Jamaica,1.73,-,2019-03-22,Cavalier SC,30.11.2020,0.11,https://www.transfermarkt.com/nicque-daley/profil/spieler/615371
