players_ID,team_ID,name,position,Age,Nat,Height,foot,dt_joined,prev_team,contract_expires,market_value,player_page
2486,87,Brandon Miller,Goalkeeper,30,United States,1.85,-,2018-01-31,Penn FC,30.11.2020,0.16,https://www.transfermarkt.com/brandon-miller/profil/spieler/211147
2487,87,Austin Pack,Goalkeeper,26,United States,1.88,-,2020-02-10,Pittsburgh Riverhounds SC,30.11.2020,0.11,https://www.transfermarkt.com/austin-pack/profil/spieler/458524
2488,87,Clay Dimick,Defender,25,United States,1.75,-,2019-06-20,Charlotte Eagles,30.11.2020,0.08,https://www.transfermarkt.com/clay-dimick/profil/spieler/680444
2489,87,Owen Barber,Defender,16,United States,m,-,2020-02-24,Carolina Rapids,30.11.2020,0.0,https://www.transfermarkt.com/owen-barber/profil/spieler/718160
2490,87,Hugh Roberts,Centre-Back,27,United States,1.93,right,2019-01-10,Pittsburgh Riverhounds SC,30.11.2020,0.22,https://www.transfermarkt.com/hugh-roberts/profil/spieler/316230
2491,87,Jack Maher,Centre-Back,20,United States,1.88,-,2020-03-06,Nashville SC,30.11.2020,0.08,https://www.transfermarkt.com/jack-maher/profil/spieler/405189
2492,87,Duke Lacroix,Left-Back,26,United States,1.75,-,2020-02-10,Reno 1868 FC,30.11.2020,0.27,https://www.transfermarkt.com/duke-lacroix/profil/spieler/375472
2493,87,Shalom Dutey,Left-Back,22,Togo,m,left,2020-01-01,Without Club,-,0.0,https://www.transfermarkt.com/shalom-dutey/profil/spieler/770497
2494,87,Joel Johnson,Right-Back,27,Liberia,1.81,right,2016-04-06,CD Buñol,30.11.2020,0.22,https://www.transfermarkt.com/joel-johnson/profil/spieler/142194
2495,87,Casey Penland,Midfielder,23,United States,1.83,-,2020-01-24,Greensboro Spartans (University of NC Greensboro),30.11.2020,0.0,https://www.transfermarkt.com/casey-penland/profil/spieler/509597
2496,87,Luke Haakenson,Midfielder,22,United States,m,-,2020-03-06,Nashville SC,30.11.2020,0.0,https://www.transfermarkt.com/luke-haakenson/profil/spieler/749605
2497,87,Joey Skinner,Midfielder,17,United States,m,-,2020-02-24,Carolina Rapids,-,0.0,https://www.transfermarkt.com/joey-skinner/profil/spieler/747113
2498,87,Brunallergene Junior Etou,Defensive Midfield,25,Congo,1.74,left,2020-01-23,Without Club,30.11.2020,0.35,https://www.transfermarkt.com/brunallergene-junior-etou/profil/spieler/592359
2499,87,Kevan George,Central Midfield,30,Trinidad and Tobago,1.87,-,2018-01-29,Jacksonville Armada FC,30.11.2020,0.19,https://www.transfermarkt.com/kevan-george/profil/spieler/213018
2500,87,Oscar Ramsay,Central Midfield,22,New Zealand,1.78,-,2020-01-24,Hofstra Pride (Hofstra University),30.11.2020,0.0,https://www.transfermarkt.com/oscar-ramsay/profil/spieler/739395
2501,87,Jake Areman,Right Midfield,24,United States,1.75,-,2018-03-01,Monmouth Hawks (Monmouth University),30.11.2020,0.14,https://www.transfermarkt.com/jake-areman/profil/spieler/570261
2502,87,Enzo Martínez,Attacking Midfield,29,Uruguay,1.71,right,2018-12-20,Colorado Rapids,30.11.2022,0.35,https://www.transfermarkt.com/enzo-martinez/profil/spieler/206792
2503,87,Rey Ortiz,Attacking Midfield,23,United States,1.65,right,2020-02-28,FC Cincinnati,30.11.2020,0.05,https://www.transfermarkt.com/rey-ortiz/profil/spieler/404319
2504,87,Valentin Sabella,Left Winger,20,United States,1.68,-,2019-06-07,Florida Soccer Soldiers,30.11.2020,0.14,https://www.transfermarkt.com/valentin-sabella/profil/spieler/676731
2505,87,Guido Vadalá,Centre-Forward,23,Argentina,1.69,right,2020-03-02,Club Atlético Boca Juniors,30.11.2020,0.43,https://www.transfermarkt.com/guido-vadala/profil/spieler/343504
2506,87,Dane Kelly,Centre-Forward,29,Jamaica,1.8,-,2020-01-27,Indy Eleven,30.11.2020,0.22,https://www.transfermarkt.com/dane-kelly/profil/spieler/190901
2507,87,Derek Gebhard,Centre-Forward,24,United States,1.83,-,2020-02-11,Oklahoma City Energy FC,30.11.2020,0.16,https://www.transfermarkt.com/derek-gebhard/profil/spieler/401304
2508,87,Tresor Mbuyu,Centre-Forward,23,United States,1.78,-,2020-03-07,Without Club,30.11.2020,0.11,https://www.transfermarkt.com/tresor-mbuyu/profil/spieler/653903
