players_ID,team_ID,name,position,Age,Nat,Height,foot,dt_joined,prev_team,contract_expires,market_value,player_page
2848,106,Alex Mangels,Goalkeeper,26,United States,1.93,-,2019-01-18,Portland Timbers 2,-,0.19,https://www.transfermarkt.com/alex-mangels/profil/spieler/429297
2849,106,Will Dieterich,Goalkeeper,33,United States,1.9,-,2019-03-27,Stjarnan Gardabaer,-,0.05,https://www.transfermarkt.com/will-dieterich/profil/spieler/217653
2850,106,Tim Trilk,Goalkeeper,21,United States,m,-,2020-01-24,Western Illinois Leathernecks (WIU),-,0.0,https://www.transfermarkt.com/tim-trilk/profil/spieler/739798
2851,106,Isaiah Dargan,Defender,24,United States,m,-,2020-01-08,San Francisco Glens,30.11.2020,0.0,https://www.transfermarkt.com/isaiah-dargan/profil/spieler/735694
2852,106,Jason Ramos,Defender,21,United States,m,-,2020-01-01,Cal Poly Pomona Broncos,30.11.2020,0.0,https://www.transfermarkt.com/jason-ramos/profil/spieler/758826
2853,106,Nicholas Amponsah,Centre-Back,22,Ghana,m,-,2019-01-01,Montego Bay United FC,-,0.16,https://www.transfermarkt.com/nicholas-amponsah/profil/spieler/633366
2854,106,Leo Folla,Centre-Back,25,United States,1.9,-,2019-01-09,Lansdowne Bhoys FC ,-,0.11,https://www.transfermarkt.com/leo-folla/profil/spieler/644773
2855,106,Uchenna Uzo,Centre-Back,27,Nigeria,1.8,-,2020-01-11,Pittsburgh Riverhounds SC,30.11.2020,0.08,https://www.transfermarkt.com/uchenna-uzo/profil/spieler/429603
2856,106,Nikolaos Pettas,Right-Back,26,Greece,1.75,right,2020-01-28,APS Zakynthos,30.11.2020,0.0,https://www.transfermarkt.com/nikolaos-pettas/profil/spieler/257258
2857,106,Marky Hernandez,Midfielder,23,United States,1.65,-,2020-01-31,Reno 1868 FC,30.11.2020,0.05,https://www.transfermarkt.com/marky-hernandez/profil/spieler/657722
2858,106,Jamie Dell,Midfielder,26,Canada,1.73,-,2019-04-12,Unknown,-,0.05,https://www.transfermarkt.com/jamie-dell/profil/spieler/372517
2859,106,Ronaldo Pineda,Midfielder,23,United States,m,-,2020-01-19,Park City Red Wolves SC,30.11.2020,0.0,https://www.transfermarkt.com/ronaldo-pineda/profil/spieler/758825
2860,106,Ualefi,Defensive Midfield,26,Brazil,1.73,-,2019-01-01,Barretos Esporte Clube (SP),-,0.19,https://www.transfermarkt.com/ualefi/profil/spieler/421971
2861,106,Travis Nicklaw,Defensive Midfield,26,Guam,1.91,right,2020-01-15,Without Club,30.11.2020,0.05,https://www.transfermarkt.com/travis-nicklaw/profil/spieler/256549
2862,106,Alexi Jaimes,Right Midfield,22,United States,m,-,2019-05-17,Unknown,-,0.05,https://www.transfermarkt.com/alexi-jaimes/profil/spieler/674200
2863,106,Amirgy Pineda,Attacking Midfield,23,United States,1.7,-,2019-02-26,Orange County SC,-,0.14,https://www.transfermarkt.com/amirgy-pineda/profil/spieler/401366
2864,106,Josue Soto,Attacking Midfield,31,United States,1.75,left,2019-01-01,AC Oulu,-,0.11,https://www.transfermarkt.com/josue-soto/profil/spieler/172023
2865,106,Jonathan Ricketts,Forward,22,United States,m,-,2020-01-10,Bryan College Lions (Bryan College),30.11.2020,0.0,https://www.transfermarkt.com/jonathan-ricketts/profil/spieler/735328
2866,106,Ricardo Zacarías,Forward,24,Mexico,1.76,-,2020-01-30,CF La Piedad,30.11.2020,0.0,https://www.transfermarkt.com/ricardo-zacarias/profil/spieler/741104
2867,106,Ricky Ruiz,Forward,23,United States,m,-,2020-01-27,UC Riverside Highlanders,30.11.2020,0.0,https://www.transfermarkt.com/ricky-ruiz/profil/spieler/758827
2868,106,Steven Beattie,Right Winger,31,Ireland,1.78,-,2019-01-01,Cork City FC,-,0.19,https://www.transfermarkt.com/steven-beattie/profil/spieler/182346
2869,106,Abdoulaye Cisse,Right Winger,22,Cote d'Ivoire,1.78,-,2019-05-17,Without Club,-,0.11,https://www.transfermarkt.com/abdoulaye-cisse/profil/spieler/585731
2870,106,Conor Doyle,Centre-Forward,28,Ireland,1.88,-,2019-01-22,Jacksonville Armada FC,-,0.22,https://www.transfermarkt.com/conor-doyle/profil/spieler/158233
2871,106,Eamon Zayed,Centre-Forward,36,Libya,1.88,-,2018-12-01,Charlotte Independence,-,0.11,https://www.transfermarkt.com/eamon-zayed/profil/spieler/16156
2872,106,Greg Hurst,Centre-Forward,23,Scotland,m,-,2019-08-07,Stenhousemuir FC,-,0.11,https://www.transfermarkt.com/greg-hurst/profil/spieler/365032
