players_ID,team_ID,name,position,Age,Nat,Height,foot,dt_joined,prev_team,contract_expires,market_value,player_page
1592,52,Kenneth Kronholm,Goalkeeper,34,United States,1.89,right,2019-05-06,Holstein Kiel,31.12.2021,0.35,https://www.transfermarkt.com/kenneth-kronholm/profil/spieler/18971
1593,52,Bobby Shuttleworth,Goalkeeper,32,United States,1.88,right,2020-01-30,Minnesota United FC,31.12.2021,0.32,https://www.transfermarkt.com/bobby-shuttleworth/profil/spieler/115887
1594,52,Connor Sparrow,Goalkeeper,25,United States,1.88,-,2020-01-20,Nashville SC,31.12.2020,0.19,https://www.transfermarkt.com/connor-sparrow/profil/spieler/430502
1595,52,Gabriel Slonina,Goalkeeper,15,United States,1.93,right,2019-03-08,Chicago Fire Academy,31.12.2022,0.0,https://www.transfermarkt.com/gabriel-slonina/profil/spieler/656316
1596,52,Chris Brady,Goalkeeper,16,United States,1.9,-,2020-03-24,Chicago Fire Academy,31.12.2023,0.0,https://www.transfermarkt.com/chris-brady/profil/spieler/765504
1597,52,Francisco Calvo,Centre-Back,27,Costa Rica,1.8,left,2019-05-03,Minnesota United FC,31.12.2020,0.78,https://www.transfermarkt.com/francisco-calvo/profil/spieler/188470
1598,52,Johan Kappelhof,Centre-Back,29,Netherlands,1.8,right,2016-02-02,FC Groningen,31.12.2021,0.65,https://www.transfermarkt.com/johan-kappelhof/profil/spieler/124888
1599,52,Wyatt Omsberg,Centre-Back,24,United States,1.93,-,2020-02-11,Minnesota United FC,31.12.2021,0.16,https://www.transfermarkt.com/wyatt-omsberg/profil/spieler/562554
1600,52,Mauricio Pineda,Centre-Back,22,United States,m,-,2020-01-17,North Carolina Tar Heels (University of NC),-,0.05,https://www.transfermarkt.com/mauricio-pineda/profil/spieler/345621
1601,52,Nicholas Slonina,Centre-Back,19,United States,1.91,-,2019-12-10,Chicago Fire Academy,31.12.2020,0.05,https://www.transfermarkt.com/nicholas-slonina/profil/spieler/730128
1602,52,Jonathan Bornstein,Left-Back,35,United States,1.75,right,2019-07-22,Maccabi Netanya,31.12.2020,0.32,https://www.transfermarkt.com/jonathan-bornstein/profil/spieler/39454
1603,52,Miguel Ángel Navarro,Left-Back,21,Venezuela,1.75,left,2020-01-27,Deportivo La Guaira,31.12.2022,0.32,https://www.transfermarkt.com/miguel-angel-navarro/profil/spieler/509390
1604,52,Andre Reynolds II,Left-Back,19,United States,1.75,left,2019-01-25,Chicago Fire Academy,-,0.05,https://www.transfermarkt.com/andre-reynolds-ii/profil/spieler/647501
