players_ID,team_ID,name,position,Age,Nat,Height,foot,dt_joined,prev_team,contract_expires,market_value,player_page
461,14,Cleiton,Goalkeeper,22,Brazil,1.9,right,2020-02-20,Clube Atlético Mineiro,31.12.2024,2.59,https://www.transfermarkt.com/cleiton/profil/spieler/468247
462,14,Júlio César,Goalkeeper,35,Brazil,1.85,left,2019-07-01,Red Bull Brasil (SP),31.12.2020,0.35,https://www.transfermarkt.com/julio-cesar/profil/spieler/28502
463,14,Alex Alves,Goalkeeper,33,Brazil,1.91,right,2017-11-27,Without Club,30.11.2020,0.05,https://www.transfermarkt.com/alex-alves/profil/spieler/157117
464,14,Fabrício Bruno,Centre-Back,24,Brazil,1.92,right,2020-02-13,Cruzeiro Esporte Clube,31.12.2020,1.08,https://www.transfermarkt.com/fabricio-bruno/profil/spieler/432773
465,14,Léo Ortiz,Centre-Back,24,Brazil,1.85,right,2019-05-14,Sport Club Internacional,31.12.2024,0.7,https://www.transfermarkt.com/leo-ortiz/profil/spieler/374136
466,14,Leonardo Realpe,Centre-Back,19,Ecuador,1.86,right,2020-01-01,Independiente del Valle,31.12.2024,0.68,https://www.transfermarkt.com/leonardo-realpe/profil/spieler/656409
467,14,Ligger,Centre-Back,31,Brazil,1.86,right,2019-07-01,Red Bull Brasil (SP),31.12.2021,0.22,https://www.transfermarkt.com/ligger/profil/spieler/265837
468,14,Luan Cândido,Left-Back,19,Brazil,1.87,left,2020-01-15,RB Leipzig,30.06.2021,3.89,https://www.transfermarkt.com/luan-candido/profil/spieler/432166
469,14,Edimar,Left-Back,33,Brazil,1.8,left,2019-04-25,São Paulo Futebol Clube,31.12.2021,0.78,https://www.transfermarkt.com/edimar/profil/spieler/74314
470,14,Weverson,Left-Back,19,Brazil,1.85,left,2020-01-09,FC São Paulo B,31.12.2020,0.0,https://www.transfermarkt.com/weverson/profil/spieler/412367
471,14,Aderlan,Right-Back,29,Brazil,1.82,right,2019-04-25,Red Bull Brasil (SP),28.12.2020,0.51,https://www.transfermarkt.com/aderlan/profil/spieler/101506
472,14,Weverton,Right-Back,20,Brazil,m,right,2020-02-06,Cruzeiro Esporte Clube B,31.12.2024,0.11,https://www.transfermarkt.com/weverton/profil/spieler/580572
473,14,Uillian Correia,Defensive Midfield,30,Brazil,1.84,right,2019-04-23,Esporte Clube Vitória,30.04.2021,0.86,https://www.transfermarkt.com/uillian-correia/profil/spieler/257057
474,14,Barreto,Defensive Midfield,24,Brazil,1.75,right,2019-04-25,Criciúma Esporte Clube,31.12.2020,0.78,https://www.transfermarkt.com/barreto/profil/spieler/348262
475,14,Matheus Jesus,Central Midfield,23,Brazil,1.86,left,2020-01-02,Sport Club Corinthians Paulista,31.12.2020,0.97,https://www.transfermarkt.com/matheus-jesus/profil/spieler/435331
476,14,Ricardo Ryller,Central Midfield,26,Brazil,1.84,right,2019-07-01,SC Braga,30.06.2020,0.86,https://www.transfermarkt.com/ricardo-ryller/profil/spieler/349443
477,14,Thonny Anderson,Attacking Midfield,22,Brazil,1.84,right,2020-01-16,Grêmio Foot-Ball Porto Alegrense,31.12.2024,2.05,https://www.transfermarkt.com/thonny-anderson/profil/spieler/561214
478,14,Bruno Tubarão,Attacking Midfield,25,Brazil,m,-,2019-10-02,Red Bull Brasil (SP),31.12.2021,0.59,https://www.transfermarkt.com/bruno-tubarao/profil/spieler/550178
479,14,Artur,Left Winger,22,Brazil,1.68,left,2020-01-16,Sociedade Esportiva Palmeiras,31.12.2024,1.94,https://www.transfermarkt.com/artur/profil/spieler/440658
480,14,Claudinho,Left Winger,23,Brazil,1.7,right,2019-09-19,Associação Atlética Ponte Preta,31.12.2023,0.78,https://www.transfermarkt.com/claudinho/profil/spieler/403315
481,14,Leandrinho,Left Winger,21,Brazil,1.74,right,2020-02-28,SSC Napoli,30.06.2020,0.38,https://www.transfermarkt.com/leandrinho/profil/spieler/351898
482,14,Wesley,Right Winger,24,Brazil,1.75,left,2019-05-28,Coimbra Esporte Clube Ltda (MG),31.12.2021,0.43,https://www.transfermarkt.com/wesley/profil/spieler/374413
483,14,Morato,Right Winger,27,Brazil,1.69,left,2019-04-16,Ituano Futebol Clube (SP),31.12.2022,0.38,https://www.transfermarkt.com/morato/profil/spieler/172857
484,14,Ytalo,Second Striker,32,Brazil,1.79,right,2019-04-22,Red Bull Brasil (SP),31.12.2020,0.35,https://www.transfermarkt.com/ytalo/profil/spieler/70784
485,14,Alerrandro,Centre-Forward,20,Brazil,1.79,right,2020-01-16,Clube Atlético Mineiro,31.12.2024,1.73,https://www.transfermarkt.com/alerrandro/profil/spieler/371996
486,14,Matheus Peixoto,Centre-Forward,24,Brazil,1.9,right,2017-07-07,Esporte Clube Bahia U20,31.03.2021,0.05,https://www.transfermarkt.com/matheus-peixoto/profil/spieler/518361
