players_ID,team_ID,name,position,Age,Nat,Height,foot,dt_joined,prev_team,contract_expires,market_value,player_page
776,24,Edson Mardden,Goalkeeper,28,Brazil,1.9,right,2017-12-13,Criciúma Esporte Clube,-,0.22,https://www.transfermarkt.com/edson-mardden/profil/spieler/348260
777,24,Victor Souza,Goalkeeper,27,Brazil,m,-,2020-01-14,Cuiabá Esporte Clube (MT),-,0.0,https://www.transfermarkt.com/victor-souza/profil/spieler/628522
778,24,Gum,Centre-Back,34,Brazil,1.89,right,2020-02-12,Associação Chapecoense de Futebol,-,0.65,https://www.transfermarkt.com/gumtm/profil/spieler/45591
779,24,Ricardo Thalheimer,Centre-Back,27,Brazil,1.84,right,2020-01-14,Avaí Futebol Clube (SC),-,0.51,https://www.transfermarkt.com/ricardo-thalheimer/profil/spieler/550227
780,24,Xandão,Centre-Back,29,Brazil,1.89,left,2020-01-15,Esporte Clube Bahia,-,0.38,https://www.transfermarkt.com/xandao/profil/spieler/439389
781,24,Ewerton Páscoa,Centre-Back,31,Brazil,1.9,right,2019-04-22,Esporte Clube São Bento (SP),-,0.35,https://www.transfermarkt.com/ewerton-pascoa/profil/spieler/186768
782,24,Thalisson,Centre-Back,21,Brazil,1.84,-,2020-01-14,Coritiba Foot Ball Club,-,0.05,https://www.transfermarkt.com/thalisson/profil/spieler/323876
783,24,Igor,Left-Back,27,Brazil,1.82,left,2019-01-04,Paraná Clube,-,0.35,https://www.transfermarkt.com/igor/profil/spieler/520480
784,24,Hugo,Left-Back,22,Brazil,m,left,2020-01-21,Agremiação Sportiva Arapiraquense (AL),-,0.0,https://www.transfermarkt.com/hugo/profil/spieler/730708
785,24,Léo Príncipe,Right-Back,23,Brazil,1.73,right,2020-01-13,Sport Club Corinthians Paulista,-,0.43,https://www.transfermarkt.com/leo-principe/profil/spieler/407842
786,24,Lucas Mendes,Right-Back,28,Brazil,1.74,right,2020-01-13,Botafogo Futebol Clube (SP),-,0.11,https://www.transfermarkt.com/lucas-mendes/profil/spieler/186823
787,24,Washington Santana,Defensive Midfield,31,Brazil,1.82,right,2020-01-13,Associação Atlética Ponte Preta,-,0.51,https://www.transfermarkt.com/washington-santana/profil/spieler/85308
788,24,Claudinei,Defensive Midfield,31,Brazil,1.78,right,2019-01-10,Coimbra Esporte Clube Ltda (MG),-,0.35,https://www.transfermarkt.com/claudinei/profil/spieler/186579
789,24,Thiaguinho,Central Midfield,23,Brazil,1.8,right,2020-03-17,Sport Club Corinthians Paulista,-,1.19,https://www.transfermarkt.com/thiaguinho/profil/spieler/583064
790,24,Bruno Cosendey,Central Midfield,23,Brazil,1.86,both,2020-01-15,Club de Regatas Vasco da Gama,-,0.22,https://www.transfermarkt.com/bruno-cosendey/profil/spieler/432978
791,24,Carlos Jatoba,Central Midfield,24,Brazil,1.83,left,2020-01-01,Sporting CP,31.12.2020,0.11,https://www.transfermarkt.com/carlos-jatoba/profil/spieler/374089
792,24,Matheus Paquetá,Central Midfield,25,Brazil,1.8,right,2020-03-05,Tombense Futebol Clube (MG),-,0.03,https://www.transfermarkt.com/matheus-paqueta/profil/spieler/647252
793,24,Felipe Menezes,Attacking Midfield,32,Brazil,1.85,right,2018-06-18,Ratchaburi Mitr Phol FC,-,0.57,https://www.transfermarkt.com/felipe-menezes/profil/spieler/53757
794,24,Diego Torres,Attacking Midfield,29,Argentina,1.74,left,2020-03-17,Associação Chapecoense de Futebol,-,0.43,https://www.transfermarkt.com/diego-torres/profil/spieler/142340
795,24,Rafael Longuine,Attacking Midfield,29,Brazil,1.73,-,2020-01-09,Santos FC,31.12.2020,0.35,https://www.transfermarkt.com/rafael-longuine/profil/spieler/214527
796,24,Erik,Attacking Midfield,25,Brazil,1.71,right,2020-01-01,Desportivo Aves,30.06.2022,0.22,https://www.transfermarkt.com/erik/profil/spieler/345861
797,24,Orlando,Attacking Midfield,19,Brazil,m,-,-,-,-,0.0,https://www.transfermarkt.com/orlando/profil/spieler/675530
798,24,Maurinho,Left Winger,30,Brazil,1.73,left,2020-01-03,PT Prachuap FC,-,0.35,https://www.transfermarkt.com/maurinho/profil/spieler/221437
799,24,Dudu,Left Winger,24,Brazil,1.72,right,2020-01-13,Goiás Esporte Clube,-,0.22,https://www.transfermarkt.com/dudu/profil/spieler/432294
800,24,Luidy,Right Winger,23,Brazil,1.67,right,2020-01-01,Sport Club Corinthians Paulista,31.12.2020,0.43,https://www.transfermarkt.com/luidy/profil/spieler/434052
801,24,Dudu,Right Winger,21,Brazil,1.75,-,2017-04-01,Clube de Regatas Brasil (AL) B,-,0.08,https://www.transfermarkt.com/dudu/profil/spieler/532785
802,24,Bill,Right Winger,20,Brazil,1.75,right,2020-04-15,Clube de Regatas do Flamengo U20,-,0.0,https://www.transfermarkt.com/bill/profil/spieler/659886
803,24,Magno Cruz,Centre-Forward,31,Brazil,1.74,right,2020-04-07,Umm Salal Sport Club,-,1.3,https://www.transfermarkt.com/magno-cruz/profil/spieler/109131
804,24,Léo Gamalho,Centre-Forward,34,Brazil,1.88,right,2020-01-14,Criciúma Esporte Clube,-,0.51,https://www.transfermarkt.com/leo-gamalho/profil/spieler/143817
805,24,João Carlos,Centre-Forward,25,Brazil,1.87,right,2020-01-15,Sampaio Corrêa Futebol e Esporte (RJ),-,0.32,https://www.transfermarkt.com/joao-carlos/profil/spieler/550179
