players_ID,team_ID,name,position,Age,Nat,Height,foot,dt_joined,prev_team,contract_expires,market_value,player_page
1042,33,Jefferson,Goalkeeper,27,Brazil,1.89,left,2013-01-01,Clube Náutico Capibaribe B,-,0.16,https://www.transfermarkt.com/jefferson/profil/spieler/261728
1043,33,Marcão,Goalkeeper,28,Brazil,1.95,right,2020-01-10,Grêmio Esportivo Brasil (RS),-,0.05,https://www.transfermarkt.com/marcao/profil/spieler/160188
1044,33,Renan,Goalkeeper,22,Brazil,m,-,2019-12-03,Clube Náutico Capibaribe B,30.11.2021,0.0,https://www.transfermarkt.com/renan/profil/spieler/680554
1045,33,Halls,Goalkeeper,20,Brazil,m,-,2020-02-07,Club de Regatas Vasco da Gama U20,-,0.0,https://www.transfermarkt.com/halls/profil/spieler/734169
1046,33,Ronaldo Alves,Centre-Back,30,Brazil,1.87,right,2020-01-01,Centro Sportivo Alagoano (AL),-,0.59,https://www.transfermarkt.com/ronaldo-alves/profil/spieler/124543
1047,33,Rafael Dumas,Centre-Back,25,Brazil,1.82,left,2020-01-13,Without Club,-,0.32,https://www.transfermarkt.com/rafael-dumas/profil/spieler/395059
1048,33,Fernando Lombardi,Centre-Back,38,Brazil,1.85,right,2019-05-08,Esporte Clube Água Santa (SP),-,0.27,https://www.transfermarkt.com/fernando-lombardi/profil/spieler/254346
1049,33,Rafael Ribeiro,Centre-Back,24,Brazil,1.9,-,2016-01-01,Clube Náutico Capibaribe U19,-,0.08,https://www.transfermarkt.com/rafael-ribeiro/profil/spieler/519867
1050,33,Diego Silva,Centre-Back,27,Brazil,1.87,right,2018-09-21,Salgueiro Atlético Clube (PE),-,0.05,https://www.transfermarkt.com/diego-silva/profil/spieler/305434
1051,33,Camutanga,Centre-Back,26,Brazil,m,-,2019-12-25,Associação Atlética Santa Rita (AL),-,0.0,https://www.transfermarkt.com/camutanga/profil/spieler/607817
1052,33,Itambé,Centre-Back,19,Brazil,m,-,-,-,-,0.0,https://www.transfermarkt.com/itambe/profil/spieler/740406
1053,33,Carlão,Centre-Back,19,Brazil,m,-,-,-,-,0.0,https://www.transfermarkt.com/carlao/profil/spieler/638301
1054,33,Wilian Simões,Left-Back,32,Brazil,1.69,left,2019-06-04,Maringá Futebol Clube (PR),-,0.19,https://www.transfermarkt.com/wilian-simoes/profil/spieler/226593
1055,33,Erick Daltro,Left-Back,27,Brazil,1.8,left,2020-01-13,Joinville Esporte Clube (SC),-,0.11,https://www.transfermarkt.com/erick-daltro/profil/spieler/286264
1056,33,Assis,Left-Back,34,Brazil,1.77,left,2018-06-13,Esporte Clube Novo Hamburgo (RS),-,0.0,https://www.transfermarkt.com/assis/profil/spieler/520486
1057,33,Bryan,Right-Back,23,Brazil,1.76,right,2019-12-06,Without Club,-,0.27,https://www.transfermarkt.com/bryan/profil/spieler/524568
1058,33,Hereda,Right-Back,21,Brazil,1.78,right,-,-,31.12.2022,0.0,https://www.transfermarkt.com/hereda/profil/spieler/634139
1059,33,Thassio,Right-Back,19,Brazil,m,right,-,-,-,0.0,https://www.transfermarkt.com/thassio/profil/spieler/740404
1060,33,Bahia,Right-Back,20,Brazil,m,right,2020-01-01,Clube Náutico Capibaribe U19,-,0.0,https://www.transfermarkt.com/bahia/profil/spieler/737185
1061,33,Josa,Defensive Midfield,35,Brazil,1.81,left,2017-12-13,Figueirense Futebol Clube,-,0.43,https://www.transfermarkt.com/josa/profil/spieler/62652
1062,33,Jhonnatan,Defensive Midfield,28,Brazil,1.74,right,2020-01-14,Santa Cruz Futebol Clube (RN),-,0.35,https://www.transfermarkt.com/jhonnatan/profil/spieler/351255
1063,33,Luanderson,Defensive Midfield,30,Brazil,1.87,right,2020-01-13,Avaí Futebol Clube (SC),-,0.11,https://www.transfermarkt.com/luanderson/profil/spieler/667197
1064,33,Djavan,Defensive Midfield,24,Brazil,1.76,-,2020-02-07,Botafogo Futebol Clube (PB),-,0.08,https://www.transfermarkt.com/djavan/profil/spieler/537691
1065,33,Júnior Brítez,Defensive Midfield,23,Paraguay,m,-,2020-04-08,AA Ponte Preta U20,-,0.0,https://www.transfermarkt.com/junior-britez/profil/spieler/431787
1066,33,Miro,Defensive Midfield,19,Brazil,m,-,-,-,-,0.0,https://www.transfermarkt.com/miro/profil/spieler/740403
1067,33,Luciano,Defensive Midfield,19,Brazil,m,-,-,-,-,0.0,https://www.transfermarkt.com/luciano/profil/spieler/638307
1068,33,Wagninho,Defensive Midfield,20,Brazil,m,-,2018-12-03,Clube Náutico Capibaribe U19,31.12.2022,0.0,https://www.transfermarkt.com/wagninho/profil/spieler/638270
1069,33,Rhaldney,Defensive Midfield,21,Brazil,m,-,2018-12-03,Clube Náutico Capibaribe U19,30.11.2021,0.0,https://www.transfermarkt.com/rhaldney/profil/spieler/638269
1070,33,Jorge Henrique,Left Midfield,38,Brazil,1.69,right,2018-12-12,Figueirense Futebol Clube,-,0.51,https://www.transfermarkt.com/jorge-henrique/profil/spieler/52710
1071,33,Jean Carlos,Attacking Midfield,28,Brazil,1.78,right,2019-07-12,Without Club,31.12.2022,0.27,https://www.transfermarkt.com/jean-carlos/profil/spieler/102574
1072,33,Dadá Belmonte,Attacking Midfield,23,Brazil,1.66,-,2020-04-07,Esporte Clube Água Santa (SP),-,0.0,https://www.transfermarkt.com/dada-belmonte/profil/spieler/546253
1073,33,Lucas Paraíba,Attacking Midfield,21,Brazil,m,-,2018-12-03,Clube Náutico Capibaribe B,-,0.0,https://www.transfermarkt.com/lucas-paraiba/profil/spieler/638268
1074,33,Luís Felipe,Attacking Midfield,19,Brazil,m,-,-,-,-,0.0,https://www.transfermarkt.com/luis-felipe/profil/spieler/638306
1075,33,Matheus Carvalho,Right Winger,28,Brazil,1.77,left,2018-12-05,Without Club,-,0.35,https://www.transfermarkt.com/matheus-carvalho/profil/spieler/180704
1076,33,Erick,Right Winger,22,Brazil,1.73,left,2020-01-01,SC Braga B,30.06.2020,0.32,https://www.transfermarkt.com/erick/profil/spieler/515638
1077,33,Jefferson Nem,Right Winger,24,Brazil,1.66,-,2019-07-01,Guarani Futebol Clube (SP),-,0.32,https://www.transfermarkt.com/jefferson-nem/profil/spieler/402734
1078,33,Wanderson,Right Winger,18,Brazil,m,-,2020-01-10,ABC Futebol Clube (RN) U20,-,0.0,https://www.transfermarkt.com/wanderson/profil/spieler/738546
1079,33,Kieza,Centre-Forward,33,Brazil,1.8,right,2020-01-10,Fortaleza Esporte Clube,-,0.73,https://www.transfermarkt.com/kieza/profil/spieler/112335
1080,33,Guillermo Paiva,Centre-Forward,22,Paraguay,1.81,right,2020-01-17,Olimpia Asunción,-,0.22,https://www.transfermarkt.com/guillermo-paiva/profil/spieler/480422
1081,33,Álvaro,Centre-Forward,22,Brazil,1.85,-,2019-07-05,Sport Club Internacional B,-,0.0,https://www.transfermarkt.com/alvaro/profil/spieler/538225
1082,33,Júlio Rodrigues,Centre-Forward,19,Brazil,m,-,-,-,-,0.0,https://www.transfermarkt.com/julio-rodrigues/profil/spieler/638304
1083,33,Salatiel,Centre-Forward,27,Brazil,m,-,2020-01-14,Sampaio Corrêa Futebol Clube (MA),-,0.0,https://www.transfermarkt.com/salatiel/profil/spieler/369240
