players_ID,team_ID,name,position,Age,Nat,Height,foot,dt_joined,prev_team,contract_expires,market_value,player_page
2182,74,Abraham Rodriguez,Goalkeeper,17,United States,1.75,-,2020-02-21,Colorado Rapids,30.11.2020,0.19,https://www.transfermarkt.com/abraham-rodriguez/profil/spieler/659765
2183,74,Sean Melvin,Goalkeeper,25,Canada,1.93,-,2020-01-06,Vancouver Whitecaps FC,30.11.2020,0.11,https://www.transfermarkt.com/sean-melvin/profil/spieler/256584
2184,74,Andrew Cordes,Goalkeeper,17,United States,1.85,-,2020-04-10,Colorado Rapids Academy,30.11.2020,0.0,https://www.transfermarkt.com/andrew-cordes/profil/spieler/763651
2185,74,Alejandro Padilla,Defender,19,United States,1.91,-,2020-04-10,Colorado Rapids Academy,30.11.2020,0.05,https://www.transfermarkt.com/alejandro-padilla/profil/spieler/674065
2186,74,Abdul Rwatubyaye,Centre-Back,23,Rwanda,1.85,right,2020-02-21,Colorado Rapids,30.11.2020,0.16,https://www.transfermarkt.com/abdul-rwatubyaye/profil/spieler/368580
2187,74,Kris Reaves,Centre-Back,24,United States,1.88,-,2019-02-21,FC Dallas,30.11.2020,0.16,https://www.transfermarkt.com/kris-reaves/profil/spieler/567033
2188,74,Everardo Rubio,Centre-Back,23,Mexico,1.83,left,2020-01-02,Tacoma Defiance,30.11.2020,0.11,https://www.transfermarkt.com/everardo-rubio/profil/spieler/406664
2189,74,Joan Cervós,Left-Back,22,Andorra,1.8,right,2020-01-07,FC Andorra B,30.11.2020,0.05,https://www.transfermarkt.com/joan-cervos/profil/spieler/293170
2190,74,Sebastian Anderson,Right-Back,17,United States,1.75,-,2020-02-21,Colorado Rapids,30.11.2020,0.35,https://www.transfermarkt.com/sebastian-anderson/profil/spieler/504146
2191,74,Jordan Burt,Right-Back,29,United States,1.85,-,2015-02-10,Carolina RailHawks FC,30.11.2020,0.32,https://www.transfermarkt.com/jordan-burt/profil/spieler/321310
2192,74,Adrián Diz,Right-Back,26,Cuba,1.91,right,2020-01-10,Portland Timbers 2,30.11.2020,0.16,https://www.transfermarkt.com/adrian-diz/profil/spieler/247863
2193,74,Logan Dorsey,Midfielder,17,United States,1.8,-,2020-04-10,Colorado Rapids Academy,31.07.2020,0.08,https://www.transfermarkt.com/logan-dorsey/profil/spieler/676644
2194,74,Hiroki Kurimoto,Defensive Midfield,29,Japan,1.8,-,2019-12-20,Fresno FC,30.11.2020,0.16,https://www.transfermarkt.com/hiroki-kurimoto/profil/spieler/261316
2195,74,Will Vint,Defensive Midfield,18,United States,1.88,-,2020-03-06,Colorado Rapids,30.11.2020,0.14,https://www.transfermarkt.com/will-vint/profil/spieler/596219
2196,74,Rony Argueta,Central Midfield,29,United States,1.73,-,2018-12-06,Fresno FC,30.11.2020,0.22,https://www.transfermarkt.com/rony-argueta/profil/spieler/360299
2197,74,Andre Lewis,Attacking Midfield,25,Jamaica,1.72,-,2020-01-09,Portmore United,30.11.2020,0.24,https://www.transfermarkt.com/andre-lewis/profil/spieler/189763
2198,74,Donovan Roux,Attacking Midfield,17,United States,1.78,-,2020-04-10,Colorado Rapids Academy,30.11.2020,0.0,https://www.transfermarkt.com/donovan-roux/profil/spieler/763649
2199,74,Mamadi Camara,Attacking Midfield,25,Canada,1.91,-,2019-12-17,Without Club,30.11.2020,0.0,https://www.transfermarkt.com/mamadi-camara/profil/spieler/644800
2200,74,George Lebese,Left Winger,31,South Africa,1.73,left,2019-12-19,Without Club,30.11.2020,0.27,https://www.transfermarkt.com/george-lebese/profil/spieler/109902
2201,74,Aidan Daniels,Left Winger,21,Canada,1.77,-,2020-01-01,Toronto FC,30.11.2020,0.14,https://www.transfermarkt.com/aidan-daniels/profil/spieler/429460
2202,74,Uvaldo Luna,Second Striker,26,Mexico,1.76,-,2020-01-28,Without Club,30.11.2020,0.49,https://www.transfermarkt.com/uvaldo-luna/profil/spieler/273909
2203,74,Christian Volesky,Centre-Forward,27,United States,1.85,-,2020-01-08,Pittsburgh Riverhounds SC,30.11.2020,0.22,https://www.transfermarkt.com/christian-volesky/profil/spieler/357093
2204,74,Niki Jackson,Centre-Forward,24,United States,1.86,-,2020-02-21,Colorado Rapids,30.11.2020,0.22,https://www.transfermarkt.com/niki-jackson/profil/spieler/544390
2205,74,Austin Dewing,Centre-Forward,23,United States,1.72,-,2019-06-14,Air Force Falcons (US Air Force Academy),30.11.2020,0.14,https://www.transfermarkt.com/austin-dewing/profil/spieler/636593
2206,74,Luke Ferreira,Centre-Forward,24,United States,1.82,right,2020-01-01,FK Jerv,30.11.2020,0.11,https://www.transfermarkt.com/luke-ferreira/profil/spieler/569555
