players_ID,team_ID,name,position,Age,Nat,Height,foot,dt_joined,prev_team,contract_expires,market_value,player_page
1539,50,Eloy Room,Goalkeeper,31,Curacao,1.9,right,2019-07-09,PSV Eindhoven,-,1.03,https://www.transfermarkt.com/eloy-room/profil/spieler/79294
1540,50,Matt Lampson,Goalkeeper,30,United States,1.92,-,2019-11-12,Los Angeles Galaxy,31.12.2020,0.32,https://www.transfermarkt.com/matt-lampson/profil/spieler/210682
1541,50,Andrew Tarbell,Goalkeeper,26,United States,1.9,-,2020-02-19,San Jose Earthquakes,31.12.2020,0.27,https://www.transfermarkt.com/andrew-tarbell/profil/spieler/417349
1542,50,Jonathan Mensah,Centre-Back,29,Ghana,1.88,right,2017-01-03,Anzhi Makhachkala,31.12.2020,0.7,https://www.transfermarkt.com/jonathan-mensah/profil/spieler/110622
1543,50,Vito Wormgoor,Centre-Back,31,Netherlands,1.88,right,2020-01-01,SK Brann,-,0.7,https://www.transfermarkt.com/vito-wormgoor/profil/spieler/45543
1544,50,Josh Williams,Centre-Back,32,United States,1.87,right,2016-12-22,Toronto FC,31.12.2020,0.49,https://www.transfermarkt.com/josh-williams/profil/spieler/163492
1545,50,Aboubacar Keita,Centre-Back,20,United States,1.85,-,2019-01-22,Virginia Cavaliers (University of Virginia),-,0.38,https://www.transfermarkt.com/aboubacar-keita/profil/spieler/638733
1546,50,Milton Valenzuela,Left-Back,21,Argentina,1.7,left,2019-01-01,Club Atlético Newell's Old Boys,-,0.97,https://www.transfermarkt.com/milton-valenzuela/profil/spieler/422401
1547,50,Waylon Francis,Left-Back,29,Costa Rica,1.77,left,2019-02-05,Seattle Sounders FC,31.12.2020,0.57,https://www.transfermarkt.com/waylon-francis/profil/spieler/211587
1548,50,Chris Cadden,Right-Back,23,Scotland,1.83,right,2019-07-23,Motherwell FC,-,0.7,https://www.transfermarkt.com/chris-cadden/profil/spieler/277782
1549,50,Héctor Jiménez,Right-Back,31,United States,1.75,right,2014-01-14,Los Angeles Galaxy,31.12.2020,0.51,https://www.transfermarkt.com/hector-jimenez/profil/spieler/178226
1550,50,Harrison Afful,Right-Back,33,Ghana,1.68,right,2015-07-30,Esperance Tunis,-,0.51,https://www.transfermarkt.com/harrison-afful/profil/spieler/65830
1551,50,Sebastian Berhalter,Midfielder,18,United States,1.75,-,2020-01-17,North Carolina Tar Heels (University of NC),-,0.05,https://www.transfermarkt.com/sebastian-berhalter/profil/spieler/734761
1552,50,Aidan Morris,Midfielder,18,United States,m,-,2020-01-14,Indiana Hoosiers (Indiana University),-,0.05,https://www.transfermarkt.com/aidan-morris/profil/spieler/513968
1553,50,Artur,Defensive Midfield,24,Brazil,1.8,-,2018-01-01,São Paulo Futebol Clube,-,1.73,https://www.transfermarkt.com/artur/profil/spieler/435488
1554,50,Darlington Nagbe,Central Midfield,29,United States,1.75,right,2019-11-13,Atlanta United FC,-,2.16,https://www.transfermarkt.com/darlington-nagbe/profil/spieler/173489
1555,50,Luis Díaz,Right Midfield,21,Costa Rica,1.8,right,2019-07-09,CS Herediano,-,0.57,https://www.transfermarkt.com/luis-diaz/profil/spieler/538984
1556,50,Lucas Zelarayán,Attacking Midfield,27,Argentina,1.72,right,2020-01-01,Tigres UANL,-,5.18,https://www.transfermarkt.com/lucas-zelarayan/profil/spieler/230030
1557,50,Miguel Berry,Forward,22,Spain,1.9,-,2020-01-09,San Diego Toreros (University of San Diego),-,0.05,https://www.transfermarkt.com/miguel-berry/profil/spieler/735115
1558,50,Youness Mokhtar,Left Winger,28,Morocco,1.78,right,2019-07-19,Without Club,-,1.73,https://www.transfermarkt.com/youness-mokhtar/profil/spieler/83946
1559,50,Derrick Etienne Jr.,Left Winger,23,Haiti,1.78,right,2020-02-04,New York Red Bulls,31.12.2020,0.43,https://www.transfermarkt.com/derrick-etienne-jr-/profil/spieler/354763
1560,50,Pedro Santos,Right Winger,32,Portugal,1.73,left,2017-08-08,SC Braga,31.12.2020,2.16,https://www.transfermarkt.com/pedro-santos/profil/spieler/131163
1561,50,Gyasi Zardes,Centre-Forward,28,United States,1.88,both,2018-01-20,Los Angeles Galaxy,-,3.02,https://www.transfermarkt.com/gyasi-zardes/profil/spieler/254230
1562,50,Fanendo Adi,Centre-Forward,29,Nigeria,1.93,right,2020-01-27,FC Cincinnati,-,0.78,https://www.transfermarkt.com/fanendo-adi/profil/spieler/79654
1563,50,Jordan Hamilton,Centre-Forward,24,Canada,1.85,-,2019-07-11,Toronto FC,31.12.2020,0.35,https://www.transfermarkt.com/jordan-hamilton/profil/spieler/294707
