players_ID,team_ID,name,position,Age,Nat,Height,foot,dt_joined,prev_team,contract_expires,market_value,player_page
139,5,Cássio,Goalkeeper,32,Brazil,1.95,right,2012-01-01,Without Club,31.12.2022,2.59,https://www.transfermarkt.com/cassio/profil/spieler/50144
140,5,Walter,Goalkeeper,32,Brazil,1.88,right,2013-05-01,União Agrícola Barbarense FC (SP),31.12.2021,0.51,https://www.transfermarkt.com/walter/profil/spieler/269860
141,5,Matheus Donelli,Goalkeeper,17,Brazil,1.89,-,-,-,31.12.2021,0.49,https://www.transfermarkt.com/matheus-donelli/profil/spieler/708723
142,5,Guilherme Vicentini,Goalkeeper,19,Brazil,1.89,right,2020-02-01,Sport Club Corinthians Paulista U20,31.12.2021,0.0,https://www.transfermarkt.com/guilherme-vicentini/profil/spieler/748527
143,5,Léo Santos,Centre-Back,21,Brazil,1.86,right,2017-01-01,Sport Club Corinthians Paulista B,12.09.2020,5.83,https://www.transfermarkt.com/leo-santos/profil/spieler/351894
144,5,Gil,Centre-Back,32,Brazil,1.92,right,2019-07-03,Shandong Luneng Taishan,31.12.2022,4.32,https://www.transfermarkt.com/giltm/profil/spieler/101469
145,5,Danilo Avelar,Centre-Back,30,Brazil,1.85,left,2019-07-01,Torino FC,31.12.2022,2.16,https://www.transfermarkt.com/danilo-avelar/profil/spieler/140748
146,5,Bruno Méndez,Centre-Back,20,Uruguay,1.84,right,2019-02-28,Montevideo Wanderers,31.12.2023,1.94,https://www.transfermarkt.com/bruno-mendez/profil/spieler/552912
147,5,Pedro Henrique,Centre-Back,24,Brazil,1.88,right,-,-,31.12.2021,0.59,https://www.transfermarkt.com/pedro-henrique/profil/spieler/329720
148,5,Yago,Centre-Back,27,Brazil,1.85,right,2013-05-01,Sport Club Corinthians Paulista B,30.06.2021,0.51,https://www.transfermarkt.com/yago/profil/spieler/184156
149,5,João Victor,Centre-Back,21,Brazil,1.87,right,2019-01-01,Sport Club Corinthians Paulista B,31.07.2022,0.05,https://www.transfermarkt.com/joao-victor/profil/spieler/671145
150,5,Sidcley,Left-Back,26,Brazil,1.76,left,2020-01-08,Dynamo Kyiv,31.12.2020,3.46,https://www.transfermarkt.com/sidcley/profil/spieler/330060
151,5,Lucas Piton,Left-Back,19,Brazil,1.75,left,2019-07-01,Sport Club Corinthians Paulista U20,31.12.2022,0.97,https://www.transfermarkt.com/lucas-piton/profil/spieler/670201
152,5,Carlos Augusto,Left-Back,21,Brazil,1.84,left,-,-,31.12.2021,0.86,https://www.transfermarkt.com/carlos-augusto/profil/spieler/585982
