players_ID,team_ID,name,position,Age,Nat,Height,foot,dt_joined,prev_team,contract_expires,market_value,player_page
1084,34,João Carlos,Goalkeeper,32,Brazil,1.91,right,2020-01-01,Centro Sportivo Alagoano (AL),31.12.2020,0.43,https://www.transfermarkt.com/joao-carlos/profil/spieler/68408
1085,34,Fernando,Goalkeeper,22,Brazil,m,-,2020-02-07,Clube Atlético Mineiro,-,0.05,https://www.transfermarkt.com/fernando/profil/spieler/597588
1086,34,Matheus Nogueira,Goalkeeper,22,Brazil,m,-,-,-,-,0.0,https://www.transfermarkt.com/matheus-nogueira/profil/spieler/636741
1087,34,Anderson Conceição,Centre-Back,30,Brazil,1.88,left,2019-07-03,Umm Salal Sport Club,-,0.38,https://www.transfermarkt.com/anderson-conceicao/profil/spieler/187759
1088,34,Ednei,Centre-Back,29,Brazil,1.89,right,2019-04-25,Botafogo Futebol Clube (SP),-,0.22,https://www.transfermarkt.com/ednei/profil/spieler/178841
1089,34,Hélder Maciel,Centre-Back,29,Brazil,1.9,right,2019-08-29,Luverdense Esporte Clube (MT),-,0.08,https://www.transfermarkt.com/helder-maciel/profil/spieler/133118
1090,34,Lucão,Centre-Back,22,Brazil,m,-,2019-08-30,Clube Atlético Metropolitano (SC),-,0.0,https://www.transfermarkt.com/lucao/profil/spieler/636903
1091,34,Willian Barão,Centre-Back,21,Brazil,1.89,right,2018-05-24,Clube Esportivo Dom Bosco (MT),-,0.0,https://www.transfermarkt.com/willian-barao/profil/spieler/670002
1092,34,Alex Ruan,Left-Back,27,Brazil,1.75,left,2019-04-25,Santa Cruz Futebol Clube (RN),-,0.0,https://www.transfermarkt.com/alex-ruan/profil/spieler/419146
1093,34,Tsunami,Left-Back,24,Brazil,m,left,2019-08-30,Boa Esporte Clube (MG),-,0.0,https://www.transfermarkt.com/tsunami/profil/spieler/639754
1094,34,Felipe Camargo,Left-Back,21,Brazil,m,-,2020-01-23,Avaí Futebol Clube (SC),-,0.0,https://www.transfermarkt.com/felipe-camargo/profil/spieler/688876
1095,34,Auremir,Right-Back,28,Brazil,1.74,right,2020-01-13,Ceará Sporting Club,-,0.7,https://www.transfermarkt.com/auremir/profil/spieler/151505
1096,34,Lenon,Right-Back,30,Brazil,1.77,right,2020-01-13,Guarani Futebol Clube (SP),-,0.43,https://www.transfermarkt.com/lenon/profil/spieler/108621
1097,34,Matheus Barbosa,Defensive Midfield,25,Brazil,1.84,both,2020-03-13,Avaí Futebol Clube (SC),-,0.51,https://www.transfermarkt.com/matheus-barbosa/profil/spieler/181784
1098,34,Ferrugem,Defensive Midfield,32,Brazil,1.82,right,2020-01-13,Clube de Regatas Brasil (AL),-,0.43,https://www.transfermarkt.com/ferrugem/profil/spieler/155351
1099,34,Marino,Defensive Midfield,34,Brazil,1.82,right,2018-10-16,AD São Caetano (SP),-,0.32,https://www.transfermarkt.com/marino/profil/spieler/183893
1100,34,Rinaldo,Defensive Midfield,19,Brazil,m,-,-,-,-,0.0,https://www.transfermarkt.com/rinaldo/profil/spieler/699127
1101,34,Gabriel Pierini,Central Midfield,20,Brazil,m,-,-,-,-,0.0,https://www.transfermarkt.com/gabriel-pierini/profil/spieler/708009
1102,34,Maxwell,Left Midfield,25,Brazil,1.82,right,2020-01-10,Kalmar FF,-,0.22,https://www.transfermarkt.com/maxwell/profil/spieler/357091
1103,34,Élvis,Attacking Midfield,29,Brazil,1.75,right,2020-01-13,Oeste Futebol Clube (SP),-,0.78,https://www.transfermarkt.com/elvis/profil/spieler/76135
1104,34,Rafael Gava,Attacking Midfield,26,Brazil,1.78,right,2020-01-24,FC Paços de Ferreira,31.12.2020,0.22,https://www.transfermarkt.com/rafael-gava/profil/spieler/411563
1105,34,Gabriel Cajuarapa,Attacking Midfield,21,Brazil,m,-,2020-01-17,Sociedade Imperatriz de Desportos (MA),-,0.0,https://www.transfermarkt.com/gabriel-cajuarapa/profil/spieler/681804
1106,34,Real,Attacking Midfield,20,Brazil,m,-,-,-,-,0.0,https://www.transfermarkt.com/real/profil/spieler/699134
1107,34,Raulzinho,Left Winger,19,Brazil,m,-,-,-,-,0.0,https://www.transfermarkt.com/raulzinho/profil/spieler/699129
1108,34,Josiel,Right Winger,21,Brazil,m,-,-,-,-,0.0,https://www.transfermarkt.com/josiel/profil/spieler/689455
1109,34,Willians,Second Striker,31,Brazil,1.82,right,2020-01-13,Clube de Regatas Brasil (AL),-,0.43,https://www.transfermarkt.com/willians/profil/spieler/68845
1110,34,Felipe Alves,Centre-Forward,29,Brazil,1.83,both,2020-01-29,Operário Ferroviário Esporte Clube (PR),-,0.32,https://www.transfermarkt.com/felipe-alves/profil/spieler/192570
