players_ID,team_ID,name,position,Age,Nat,Height,foot,dt_joined,prev_team,contract_expires,market_value,player_page
673,21,Fábio,Goalkeeper,39,Brazil,1.88,right,2005-01-01,Club de Regatas Vasco da Gama,31.12.2020,0.65,https://www.transfermarkt.com/fabio/profil/spieler/22415
674,21,Vitor Eudes,Goalkeeper,21,Brazil,1.94,right,2018-01-01,Cruzeiro Esporte Clube B,-,0.05,https://www.transfermarkt.com/vitor-eudes/profil/spieler/590039
675,21,Vinicius,Goalkeeper,21,Brazil,1.88,right,-,-,31.12.2023,0.05,https://www.transfermarkt.com/vinicius/profil/spieler/530392
676,21,Dedé,Centre-Back,31,Brazil,1.92,right,2013-04-01,Club de Regatas Vasco da Gama,31.12.2021,2.16,https://www.transfermarkt.com/dede/profil/spieler/113094
677,21,Cacá,Centre-Back,21,Brazil,1.85,right,-,-,-,1.94,https://www.transfermarkt.com/caca/profil/spieler/603122
678,21,Léo,Centre-Back,32,Brazil,1.86,right,2010-08-01,Sociedade Esportiva Palmeiras,31.12.2022,1.4,https://www.transfermarkt.com/leotm/profil/spieler/55245
679,21,Ramon,Centre-Back,25,Brazil,1.86,right,2020-03-10,Esporte Clube Vitória,-,0.86,https://www.transfermarkt.com/ramon/profil/spieler/371025
680,21,Marllon,Centre-Back,28,Brazil,1.86,right,2020-03-10,Sport Club Corinthians Paulista,31.12.2020,0.43,https://www.transfermarkt.com/marllon/profil/spieler/166032
681,21,Jonathan Monteiro,Centre-Back,20,Brazil,m,-,-,-,-,0.05,https://www.transfermarkt.com/jonathan-monteiro/profil/spieler/687357
682,21,João Lucas,Left-Back,28,Brazil,1.84,left,2020-01-21,Ceará Sporting Club,-,0.59,https://www.transfermarkt.com/joao-lucas/profil/spieler/346051
683,21,Marcelo Hermes,Left-Back,25,Brazil,1.77,left,2019-01-25,SL Benfica,30.12.2021,0.51,https://www.transfermarkt.com/marcelo-hermes/profil/spieler/348769
684,21,Patrick,Left-Back,22,Brazil,1.77,left,2018-04-07,Tupi Football Club (MG),-,0.22,https://www.transfermarkt.com/patrick/profil/spieler/435170
685,21,Victor Luiz,Left-Back,22,Brazil,1.77,left,2018-01-01,Cruzeiro Esporte Clube B,-,0.11,https://www.transfermarkt.com/victor-luiz/profil/spieler/445102
686,21,Rafael Santos,Left-Back,22,Brazil,1.8,left,-,-,-,0.05,https://www.transfermarkt.com/rafael-santos/profil/spieler/625617
687,21,Jean,Right-Back,33,Brazil,1.7,right,2020-03-06,Sociedade Esportiva Palmeiras,-,1.08,https://www.transfermarkt.com/jean/profil/spieler/69641
688,21,Edílson,Right-Back,33,Brazil,1.77,right,2018-01-02,Grêmio Foot-Ball Porto Alegrense,31.12.2020,0.86,https://www.transfermarkt.com/edilson/profil/spieler/75083
689,21,Machado,Defensive Midfield,24,Brazil,1.74,-,2020-01-23,Grêmio Foot-Ball Porto Alegrense,-,0.22,https://www.transfermarkt.com/machado/profil/spieler/520629
690,21,Adriano,Defensive Midfield,20,Brazil,1.87,-,-,-,-,0.05,https://www.transfermarkt.com/adriano/profil/spieler/687743
691,21,Ariel Cabral,Central Midfield,32,Argentina,1.87,left,2015-08-05,Without Club,31.12.2020,0.86,https://www.transfermarkt.com/ariel-cabral/profil/spieler/53472
692,21,Jadsom,Central Midfield,18,Brazil,1.76,right,2020-01-01,Cruzeiro Esporte Clube B,01.02.2024,0.05,https://www.transfermarkt.com/jadsom/profil/spieler/612162
693,21,Robinho,Right Midfield,32,Brazil,1.7,right,2020-01-01,Sociedade Esportiva Palmeiras,31.12.2021,1.3,https://www.transfermarkt.com/robinho/profil/spieler/75833
694,21,Mauricio,Right Midfield,18,Brazil,1.74,left,2019-12-06,Desportivo Brasil Ltda (SP),31.12.2023,0.73,https://www.transfermarkt.com/mauricio/profil/spieler/678439
695,21,Régis,Attacking Midfield,27,Brazil,1.7,left,2020-04-17,Esporte Clube Bahia,31.12.2020,0.81,https://www.transfermarkt.com/regis/profil/spieler/272554
696,21,Marco Antônio,Attacking Midfield,19,Brazil,1.82,right,-,-,31.12.2022,0.05,https://www.transfermarkt.com/marco-antonio/profil/spieler/371997
697,21,Jhonata Robert,Left Winger,20,Brazil,m,-,2020-01-31,Grêmio Foot-Ball Porto Alegrense B,-,0.0,https://www.transfermarkt.com/jhonata-robert/profil/spieler/711338
698,21,Iván Angulo,Right Winger,21,Colombia,1.79,right,2020-03-16,Sociedade Esportiva Palmeiras,31.12.2020,0.97,https://www.transfermarkt.com/ivan-angulo/profil/spieler/498686
699,21,Everton Felipe,Right Winger,22,Brazil,1.71,right,2020-01-27,São Paulo Futebol Clube,-,0.86,https://www.transfermarkt.com/everton-felipe/profil/spieler/419420
700,21,Judivan,Right Winger,24,Brazil,1.77,right,2015-01-01,Cruzeiro Esporte Clube B,31.12.2020,0.51,https://www.transfermarkt.com/judivan/profil/spieler/344843
701,21,Welinton,Right Winger,20,Brazil,1.85,right,-,-,-,0.05,https://www.transfermarkt.com/welinton/profil/spieler/687361
702,21,Fred,Centre-Forward,36,Brazil,1.85,both,2018-01-01,Clube Atlético Mineiro,31.12.2020,1.3,https://www.transfermarkt.com/fred/profil/spieler/31005
703,21,Marcelo Moreno,Centre-Forward,32,Bolivia,1.83,both,2020-02-16,Shijiazhuang Ever Bright,31.12.2020,0.38,https://www.transfermarkt.com/marcelo-moreno/profil/spieler/54162
704,21,Roberson,Centre-Forward,31,Brazil,1.81,right,2020-01-27,Red Bull Brasil (SP),-,0.32,https://www.transfermarkt.com/roberson/profil/spieler/91846
705,21,Vinicius Popó,Centre-Forward,19,Brazil,1.79,right,2019-01-01,Cruzeiro Esporte Clube B,31.12.2024,0.05,https://www.transfermarkt.com/vinicius-popo/profil/spieler/432170
706,21,Thiago,Centre-Forward,18,Brazil,1.88,right,-,-,-,0.0,https://www.transfermarkt.com/thiago/profil/spieler/739443
