players_ID,team_ID,name,position,Age,Nat,Height,foot,dt_joined,prev_team,contract_expires,market_value,player_page
102,4,Tiago Volpi,Goalkeeper,29,Brazil,1.88,right,2020-01-01,Querétaro FC,31.12.2023,2.59,https://www.transfermarkt.com/tiago-volpi/profil/spieler/227671
103,4,Lucas Perri,Goalkeeper,22,Brazil,1.97,right,2017-01-01,FC São Paulo B,30.04.2022,0.27,https://www.transfermarkt.com/lucas-perri/profil/spieler/352041
104,4,Thiago Couto,Goalkeeper,21,Brazil,1.88,-,2020-01-08,FC São Paulo B,30.06.2022,0.05,https://www.transfermarkt.com/thiago-couto/profil/spieler/546217
105,4,Júnior,Goalkeeper,21,Brazil,m,-,-,-,31.12.2020,0.05,https://www.transfermarkt.com/junior/profil/spieler/650517
106,4,Walce,Centre-Back,21,Brazil,1.88,right,2019-02-19,FC São Paulo B,13.10.2021,1.94,https://www.transfermarkt.com/walce/profil/spieler/574903
107,4,Robert Arboleda,Centre-Back,28,Ecuador,1.87,right,2017-07-05,CD Universidad Católica,25.06.2022,1.84,https://www.transfermarkt.com/robert-arboleda/profil/spieler/139867
108,4,Bruno Alves,Centre-Back,29,Brazil,1.85,right,2017-08-22,Figueirense Futebol Clube,30.06.2023,1.73,https://www.transfermarkt.com/bruno-alves/profil/spieler/177534
109,4,Anderson Martins,Centre-Back,32,Brazil,1.84,right,2018-01-10,Club de Regatas Vasco da Gama,31.12.2020,0.78,https://www.transfermarkt.com/anderson-martins/profil/spieler/68832
110,4,Diego,Centre-Back,20,Brazil,1.84,-,2020-01-07,FC São Paulo B,31.12.2022,0.0,https://www.transfermarkt.com/diego/profil/spieler/546212
111,4,Reinaldo,Left-Back,30,Brazil,1.78,left,2014-01-01,Clube Atlético Penapolense (SP),31.12.2020,3.02,https://www.transfermarkt.com/reinaldo/profil/spieler/225617
112,4,Léo,Left-Back,24,Brazil,1.83,left,2019-01-01,Fluminense Football Club,30.12.2022,1.08,https://www.transfermarkt.com/leotm/profil/spieler/403296
113,4,Juanfran,Right-Back,35,Spain,1.81,right,2019-08-03,Atlético Madrid,14.08.2020,2.16,https://www.transfermarkt.com/juanfran/profil/spieler/16635
114,4,Dani Alves,Right-Back,36,Brazil,1.72,right,2019-08-01,Paris Saint-Germain,31.12.2022,1.73,https://www.transfermarkt.com/dani-alves/profil/spieler/15951
115,4,Igor Vinícius,Right-Back,23,Brazil,1.74,right,2020-01-01,Ituano Futebol Clube (SP),31.12.2022,1.51,https://www.transfermarkt.com/igor-vinicius/profil/spieler/552240
116,4,Luan,Defensive Midfield,20,Brazil,1.75,right,2018-07-01,FC São Paulo B,31.12.2022,2.48,https://www.transfermarkt.com/luan/profil/spieler/574904
117,4,Tchê Tchê,Central Midfield,27,Brazil,1.75,both,2019-03-31,Dynamo Kyiv,31.03.2023,3.78,https://www.transfermarkt.com/tche-tche/profil/spieler/364261
118,4,Liziero,Central Midfield,22,Brazil,1.75,left,2018-01-01,FC São Paulo B,30.04.2023,2.48,https://www.transfermarkt.com/liziero/profil/spieler/401526
119,4,Rodrigo Nestor,Central Midfield,19,Brazil,1.75,right,2020-02-05,FC São Paulo B,19.11.2021,0.0,https://www.transfermarkt.com/rodrigo-nestor/profil/spieler/468304
120,4,Igor Gomes,Attacking Midfield,21,Brazil,1.83,-,2019-01-01,FC São Paulo B,31.03.2023,6.26,https://www.transfermarkt.com/igor-gomes/profil/spieler/553459
121,4,Hernanes,Attacking Midfield,34,Brazil,1.8,both,2019-01-01,Hebei China Fortune,31.12.2021,1.3,https://www.transfermarkt.com/hernanes/profil/spieler/52897
122,4,Shaylon,Attacking Midfield,23,Brazil,1.78,left,2017-01-25,Associação Chapecoense de Futebol,21.01.2022,0.43,https://www.transfermarkt.com/shaylon/profil/spieler/480274
123,4,Gabriel Sara,Attacking Midfield,20,Brazil,1.77,-,2019-06-24,FC São Paulo B,30.04.2023,0.0,https://www.transfermarkt.com/gabriel-sara/profil/spieler/553469
124,4,Jonas Toró,Left Winger,20,Brazil,1.77,left,2019-03-02,FC São Paulo B,31.12.2022,3.89,https://www.transfermarkt.com/jonas-toro/profil/spieler/575375
