players_ID,team_ID,name,position,Age,Nat,Height,foot,dt_joined,prev_team,contract_expires,market_value,player_page
2930,110,Carlos Merancio,Goalkeeper,21,Mexico,1.89,right,2019-02-20,Monarcas Morelia Premier,30.11.2020,0.11,https://www.transfermarkt.com/carlos-merancio/profil/spieler/656433
2931,110,Rafael Guerrero,Goalkeeper,18,United States,m,-,2019-06-12,Crossfire Premier Developmental Academy,-,0.05,https://www.transfermarkt.com/rafael-guerrero/profil/spieler/598623
2932,110,Kienan Weekes,Goalkeeper,24,United States,1.88,-,2019-01-31,Portland Pilots (University of Portland),-,0.03,https://www.transfermarkt.com/kienan-weekes/profil/spieler/650290
2933,110,Charlie Booth,Defender,23,United States,m,-,2020-01-27,Rhode Island Rams (University of Rhode Island),30.11.2020,0.0,https://www.transfermarkt.com/charlie-booth/profil/spieler/728811
2934,110,Roberto Alarcón,Defender,22,Spain,m,-,2020-01-29,RCD Mallorca B,-,0.0,https://www.transfermarkt.com/roberto-alarcon/profil/spieler/763521
2935,110,Niall Logue,Centre-Back,24,Northern Ireland,1.93,-,2020-01-10,Finn Harps,30.11.2020,0.0,https://www.transfermarkt.com/niall-logue/profil/spieler/569328
2936,110,Jonathan Caparelli,Left-Back,24,Argentina,1.77,-,2019-12-01,Chattanooga Red Wolves SC,30.11.2020,0.14,https://www.transfermarkt.com/jonathan-caparelli/profil/spieler/447192
2937,110,José Terrón,Left-Back,29,Spain,1.74,left,2019-02-07,Barreda Balompié,-,0.14,https://www.transfermarkt.com/jose-terron/profil/spieler/66103
2938,110,Elivelton,Left-Back,24,Brazil,1.71,left,2020-03-21,Futebol Clube Cascavel (PR),30.11.2020,0.05,https://www.transfermarkt.com/elivelton/profil/spieler/351043
2939,110,Kody Wakasa,Right-Back,25,United States,1.85,-,2019-01-30,Phoenix Rising FC,-,0.14,https://www.transfermarkt.com/kody-wakasa/profil/spieler/497486
2940,110,Charlie Dennis,Midfielder,24,England,1.88,-,2020-02-05,South Georgia Tormenta FC,30.11.2020,0.19,https://www.transfermarkt.com/charlie-dennis/profil/spieler/563079
2941,110,AJ Valenzuela,Midfielder,21,United States,1.9,-,2020-02-19,San Diego State Aztecs (San Diego State Univ.),30.11.2020,0.0,https://www.transfermarkt.com/aj-valenzuela/profil/spieler/611774
2942,110,Esteban Calvo,Midfielder,22,Costa Rica,1.8,-,2020-03-02,Portland Pilots (University of Portland),-,0.0,https://www.transfermarkt.com/esteban-calvo/profil/spieler/763522
2943,110,Ramone Howell,Defensive Midfield,25,Jamaica,1.8,-,2020-01-01,Phoenix Rising FC,-,0.11,https://www.transfermarkt.com/ramone-howell/profil/spieler/563080
2944,110,Erik Virgen,Defensive Midfield,20,United States,1.75,-,2019-05-18,New Mexico Lobos (University of New Mexico),30.11.2020,0.11,https://www.transfermarkt.com/erik-virgen/profil/spieler/676863
2945,110,Raheem Somersall,Defensive Midfield,22,St. Kitts & Nevis,1.78,-,2019-01-31,FGCU Eagles (Florida Gulf Coast University),30.11.2020,0.08,https://www.transfermarkt.com/raheem-somersall/profil/spieler/488981
2946,110,Luis Martínez,Attacking Midfield,30,Mexico,1.68,-,2019-02-11,Without Club,-,0.08,https://www.transfermarkt.com/luis-martinez/profil/spieler/413739
2947,110,Gio Magaña-Rivera,Attacking Midfield,22,United States,1.7,right,2020-01-14,Portland Pilots (University of Portland),-,0.0,https://www.transfermarkt.com/gio-magana-rivera/profil/spieler/375594
2948,110,Azaad Liadi,Forward,21,United States,m,-,2020-02-12,Georgia Southern Eagles (GSU),30.11.2020,0.0,https://www.transfermarkt.com/azaad-liadi/profil/spieler/744402
2949,110,Josh Coan,Forward,22,United States,1.75,-,2020-03-01,Marquette Golden Eagles (Marquette Uni.),-,0.0,https://www.transfermarkt.com/josh-coan/profil/spieler/763523
2950,110,Darryl Longdon,Forward,22,United States,1.7,-,-,-,-,0.0,https://www.transfermarkt.com/darryl-longdon/profil/spieler/763524
2951,110,Eti Tavares,Left Winger,26,Guinea-Bissau,1.78,-,2019-03-29,Without Club,-,0.14,https://www.transfermarkt.com/eti-tavares/profil/spieler/364610
2952,110,Shak Adams,Left Winger,21,United States,1.7,right,2020-02-27,FGCU Eagles (Florida Gulf Coast University),-,0.0,https://www.transfermarkt.com/shak-adams/profil/spieler/763520
2953,110,Zach Wright,Right Winger,24,United States,1.8,-,2019-03-14,Without Club,-,0.11,https://www.transfermarkt.com/zach-wright/profil/spieler/573936
