players_ID,team_ID,name,position,Age,Nat,Height,foot,dt_joined,prev_team,contract_expires,market_value,player_page
930,29,Sidão,Goalkeeper,37,Brazil,1.88,right,2020-01-21,Goiás Esporte Clube,31.12.2020,0.35,https://www.transfermarkt.com/sidao/profil/spieler/91953
931,29,Rodolfo,Goalkeeper,25,Brazil,1.88,-,2019-10-07,Moto Club de São Luís (MA),-,0.27,https://www.transfermarkt.com/rodolfo/profil/spieler/407599
932,29,Vitor,Goalkeeper,20,Brazil,1.9,right,2018-01-10,Figueirense Futebol Clube U20,31.12.2021,0.11,https://www.transfermarkt.com/vitor/profil/spieler/593071
933,29,Paulo Ricardo,Centre-Back,25,Brazil,1.86,right,2020-01-10,FC Sion,-,0.59,https://www.transfermarkt.com/paulo-ricardo/profil/spieler/330031
934,29,Alemão,Centre-Back,33,Brazil,1.9,right,2018-12-12,Pohang Steelers,31.12.2020,0.51,https://www.transfermarkt.com/alemao/profil/spieler/179020
935,29,Victor Oliveira,Centre-Back,26,Brazil,1.9,right,2020-01-31,Tombense Futebol Clube (MG),-,0.32,https://www.transfermarkt.com/victor-oliveira/profil/spieler/278579
936,29,Mateus Brunetti,Centre-Back,20,Brazil,1.84,left,2019-01-03,Figueirense Futebol Clube U20,-,0.0,https://www.transfermarkt.com/mateus-brunetti/profil/spieler/642983
937,29,Sanchez Costa,Left-Back,24,Brazil,1.78,left,2020-01-10,FC Arouca,30.06.2021,0.0,https://www.transfermarkt.com/sanchez-costa/profil/spieler/375241
938,29,Carlinhos,Left-Back,20,Brazil,m,left,2019-01-01,Três Passos Atlético Clube,-,0.0,https://www.transfermarkt.com/carlinhos/profil/spieler/710905
939,29,Lucas,Right-Back,32,Brazil,1.74,right,2020-01-01,Sociedade Esportiva Palmeiras,31.12.2020,1.51,https://www.transfermarkt.com/lucas/profil/spieler/54308
940,29,Felipe Barros,Right-Back,20,Brazil,m,right,2020-01-21,Tombense Futebol Clube (MG),-,0.0,https://www.transfermarkt.com/felipe-barros/profil/spieler/730773
941,29,Carlos Gabriel,Right-Back,19,Brazil,m,right,-,-,-,0.0,https://www.transfermarkt.com/carlos-gabriel/profil/spieler/739356
942,29,Arouca,Defensive Midfield,33,Brazil,1.71,right,2020-01-13,Without Club,-,0.7,https://www.transfermarkt.com/arouca/profil/spieler/26270
943,29,Christian Sávio,Defensive Midfield,24,Brazil,1.75,-,2019-08-23,América Futebol Clube (MG),-,0.35,https://www.transfermarkt.com/christian-savio/profil/spieler/419720
944,29,Patrick,Defensive Midfield,22,Brazil,1.78,-,-,-,-,0.11,https://www.transfermarkt.com/patrick/profil/spieler/521348
945,29,Elyeser,Defensive Midfield,29,Brazil,1.81,-,2020-01-01,Goiás Esporte Clube,-,0.11,https://www.transfermarkt.com/elyeser/profil/spieler/520092
946,29,Matheus Pereira,Defensive Midfield,23,Brazil,1.84,right,2017-01-01,Figueirense Futebol Clube U20,-,0.05,https://www.transfermarkt.com/matheus-pereira/profil/spieler/521339
947,29,Elias,Defensive Midfield,21,Brazil,1.82,-,2019-01-02,Figueirense Futebol Clube U20,-,0.0,https://www.transfermarkt.com/elias/profil/spieler/642947
948,29,Lucas Henrique,Central Midfield,19,Brazil,m,-,-,-,-,0.0,https://www.transfermarkt.com/lucas-henrique/profil/spieler/739357
949,29,Davi Alves,Central Midfield,18,Brazil,m,-,-,-,-,0.0,https://www.transfermarkt.com/davi-alves/profil/spieler/739355
950,29,Marquinho,Attacking Midfield,33,Brazil,1.82,left,2020-02-03,Club de Regatas Vasco da Gama,-,0.43,https://www.transfermarkt.com/marquinho/profil/spieler/53288
951,29,Matheusinho,Attacking Midfield,22,Brazil,1.65,left,2019-01-02,Figueirense Futebol Clube U20,-,0.11,https://www.transfermarkt.com/matheusinho/profil/spieler/365368
952,29,Everton,Attacking Midfield,23,Brazil,m,-,2020-01-01,Tombense Futebol Clube (MG),-,0.11,https://www.transfermarkt.com/everton/profil/spieler/458251
953,29,Milla,Attacking Midfield,22,Brazil,m,-,-,-,-,0.0,https://www.transfermarkt.com/milla/profil/spieler/636672
954,29,Guilherme,Attacking Midfield,21,Brazil,1.67,-,2019-01-03,Figueirense Futebol Clube U20,-,0.0,https://www.transfermarkt.com/guilherme/profil/spieler/642990
955,29,Vitor Feijão,Right Winger,23,Brazil,1.69,right,2020-01-22,Ceará Sporting Club,-,0.43,https://www.transfermarkt.com/vitor-feijao/profil/spieler/402976
956,29,João Diogo,Right Winger,21,Brazil,1.72,right,2019-02-01,Figueirense Futebol Clube U20,31.12.2021,0.32,https://www.transfermarkt.com/joao-diogo/profil/spieler/670000
957,29,Diego Gonçalves,Right Winger,25,Brazil,1.82,right,2020-01-21,Unknown,-,0.27,https://www.transfermarkt.com/diego-goncalves/profil/spieler/405720
958,29,Éverton Santos,Centre-Forward,33,Brazil,1.76,right,2019-08-28,ATK,-,0.32,https://www.transfermarkt.com/everton-santos/profil/spieler/52820
959,29,Nicholas,Centre-Forward,19,Brazil,m,-,-,-,-,0.0,https://www.transfermarkt.com/nicholas/profil/spieler/739354
