players_ID,team_ID,name,position,Age,Nat,Height,foot,dt_joined,prev_team,contract_expires,market_value,player_page
278,9,Muriel,Goalkeeper,33,Brazil,1.9,left,2019-07-05,Belenenses SAD,31.12.2022,0.7,https://www.transfermarkt.com/muriel/profil/spieler/27349
279,9,Rodolfo,Goalkeeper,29,Brazil,1.89,left,2019-01-02,Oeste Futebol Clube (SP),31.12.2021,0.59,https://www.transfermarkt.com/rodolfo/profil/spieler/102227
280,9,João Lopes,Goalkeeper,24,Brazil,1.88,both,2020-01-27,Associação Portuguesa de Desportos (SP) ,31.12.2021,0.11,https://www.transfermarkt.com/joao-lopes/profil/spieler/547553
281,9,Marcelo,Goalkeeper,17,Brazil,1.89,right,-,-,27.02.2022,0.11,https://www.transfermarkt.com/marcelo/profil/spieler/662334
282,9,Marcos Felipe,Goalkeeper,24,Brazil,1.88,right,2017-07-01,Fluminense Football Club U20,31.07.2022,0.05,https://www.transfermarkt.com/marcos-felipe/profil/spieler/283166
283,9,Nino,Centre-Back,23,Brazil,1.88,right,2020-01-14,Criciúma Esporte Clube,31.12.2022,2.16,https://www.transfermarkt.com/nino/profil/spieler/520454
284,9,Digão,Centre-Back,31,Brazil,1.86,right,2020-01-17,Cruzeiro Esporte Clube,31.12.2022,0.78,https://www.transfermarkt.com/digao/profil/spieler/85942
285,9,Matheus Ferraz,Centre-Back,35,Brazil,1.9,right,2019-01-01,América Futebol Clube (MG),31.12.2020,0.59,https://www.transfermarkt.com/matheus-ferraz/profil/spieler/137159
286,9,Luccas Claro,Centre-Back,28,Brazil,1.8,right,2019-09-19,Without Club,31.12.2020,0.43,https://www.transfermarkt.com/luccas-claro/profil/spieler/175179
287,9,Frazan,Centre-Back,23,Brazil,1.88,-,2017-07-01,Fluminense Football Club U20,31.12.2022,0.35,https://www.transfermarkt.com/frazan/profil/spieler/522979
288,9,Higor Gabriel,Centre-Back,21,Brazil,m,-,-,-,31.12.2020,0.05,https://www.transfermarkt.com/higor-gabriel/profil/spieler/735788
289,9,Egídio,Left-Back,33,Brazil,1.77,left,2020-01-17,Cruzeiro Esporte Clube,31.12.2021,1.08,https://www.transfermarkt.com/egidio/profil/spieler/54419
290,9,Orinho,Left-Back,24,Brazil,1.8,left,2019-09-18,Santos FC,30.06.2020,0.32,https://www.transfermarkt.com/orinho/profil/spieler/525472
291,9,Gilberto,Right-Back,27,Brazil,1.81,right,2020-01-01,ACF Fiorentina,31.07.2022,1.08,https://www.transfermarkt.com/gilberto/profil/spieler/231614
292,9,Igor Julião,Right-Back,25,Brazil,1.75,right,2013-07-01,Fluminense Football Club U20,31.12.2021,0.7,https://www.transfermarkt.com/igor-juliao/profil/spieler/223977
293,9,Daniel,Right-Back,20,Brazil,m,-,-,-,31.12.2020,0.05,https://www.transfermarkt.com/daniel/profil/spieler/735790
294,9,Mateus Nascimento,Midfielder,20,Brazil,m,-,-,-,30.06.2021,0.03,https://www.transfermarkt.com/mateus-nascimento/profil/spieler/519600
295,9,Henrique,Defensive Midfield,34,Brazil,1.8,right,2020-01-24,Cruzeiro Esporte Clube,31.12.2020,1.3,https://www.transfermarkt.com/henrique/profil/spieler/54303
296,9,Húdson,Defensive Midfield,32,Brazil,1.79,right,2020-01-10,São Paulo Futebol Clube,31.12.2020,0.86,https://www.transfermarkt.com/hudson/profil/spieler/54257
297,9,Yuri,Defensive Midfield,25,Brazil,1.82,right,2020-01-09,Santos FC,31.12.2022,0.51,https://www.transfermarkt.com/yuri/profil/spieler/446408
298,9,Caio,Defensive Midfield,21,Brazil,1.87,right,2018-06-07,Londrina Esporte Clube (PR),08.05.2021,0.11,https://www.transfermarkt.com/caio/profil/spieler/565443
299,9,Zé Ricardo,Defensive Midfield,21,Brazil,1.75,right,2019-01-02,Fluminense Football Club U17,22.01.2021,0.05,https://www.transfermarkt.com/ze-ricardo/profil/spieler/600549
