players_ID,team_ID,name,position,Age,Nat,Height,foot,dt_joined,prev_team,contract_expires,market_value,player_page
620,19,Felipe Alves,Goalkeeper,31,Brazil,1.87,left,2019-01-01,Club Athletico Paranaense,31.12.2021,0.59,https://www.transfermarkt.com/felipe-alves/profil/spieler/189682
621,19,Marcelo Boeck,Goalkeeper,35,Brazil,1.91,right,2017-01-01,Associação Chapecoense de Futebol,15.12.2020,0.51,https://www.transfermarkt.com/marcelo-boeck/profil/spieler/27346
622,19,Max Walef,Goalkeeper,26,Brazil,1.81,right,-,-,31.12.2020,0.05,https://www.transfermarkt.com/max-walef/profil/spieler/592336
623,19,Juan Quintero,Centre-Back,25,Colombia,1.84,right,2019-01-19,Deportivo Cali,31.12.2022,0.86,https://www.transfermarkt.com/juan-quintero/profil/spieler/323838
624,19,Jackson,Centre-Back,30,Brazil,1.86,right,2019-08-23,Esporte Clube Bahia,31.12.2020,0.78,https://www.transfermarkt.com/jackson/profil/spieler/193135
625,19,Paulão,Centre-Back,34,Brazil,1.87,right,2020-01-01,Sport Club Internacional,31.12.2020,0.59,https://www.transfermarkt.com/paulao/profil/spieler/128855
626,19,Roger Carvalho,Centre-Back,33,Brazil,1.84,right,2018-01-01,Tombense Futebol Clube (MG),31.12.2020,0.32,https://www.transfermarkt.com/roger-carvalho/profil/spieler/112962
627,19,Joao Paulo,Centre-Back,22,Brazil,m,-,2020-01-13,Paulista Futebol Clube (SP),31.05.2020,0.11,https://www.transfermarkt.com/joao-paulo/profil/spieler/736652
628,19,Carlinhos,Left-Back,33,Brazil,1.68,left,2019-01-01,América Futebol Clube (MG),31.12.2020,0.7,https://www.transfermarkt.com/carlinhos/profil/spieler/55243
629,19,Bruno Melo,Left-Back,27,Brazil,1.83,left,2015-01-04,Quixadá Futebol Clube (CE),31.12.2021,0.51,https://www.transfermarkt.com/bruno-melo/profil/spieler/538230
630,19,Tinga,Right-Back,26,Brazil,1.79,right,2018-01-01,Esporte Clube Bahia,10.12.2021,0.7,https://www.transfermarkt.com/tinga/profil/spieler/273442
631,19,Michel,Defensive Midfield,30,Brazil,1.75,both,2020-01-09,Grêmio Foot-Ball Porto Alegrense,31.12.2020,1.3,https://www.transfermarkt.com/michel/profil/spieler/435186
632,19,Felipe,Defensive Midfield,26,Brazil,1.84,right,2015-03-23,Maranguape FC (CE),31.12.2021,0.73,https://www.transfermarkt.com/felipe/profil/spieler/508930
633,19,Gabriel Dias,Defensive Midfield,25,Brazil,1.83,right,2019-01-15,Sport Club Internacional,31.12.2020,0.65,https://www.transfermarkt.com/gabriel-dias/profil/spieler/336474
634,19,Derley,Defensive Midfield,33,Brazil,1.88,right,2018-01-01,Santa Cruz Futebol Clube (PE),31.12.2020,0.32,https://www.transfermarkt.com/derley/profil/spieler/67889
635,19,Juninho,Central Midfield,34,Brazil,1.74,right,2020-01-07,Esporte Clube Bahia,31.12.2021,0.73,https://www.transfermarkt.com/juninho/profil/spieler/101542
636,19,Nenê Bonilha,Central Midfield,28,Brazil,1.75,right,2019-07-22,Tiburones Rojos de Veracruz,31.12.2020,0.49,https://www.transfermarkt.com/nene-bonilha/profil/spieler/180271
637,19,Geilson,Central Midfield,18,Brazil,m,-,-,-,31.12.2020,0.11,https://www.transfermarkt.com/geilson/profil/spieler/740493
638,19,Mariano Vázquez,Attacking Midfield,27,Argentina,1.74,left,2019-07-05,Asociación Deportivo Pasto,30.06.2021,0.73,https://www.transfermarkt.com/mariano-vazquez/profil/spieler/421396
639,19,Marlon,Attacking Midfield,30,Brazil,1.75,-,2018-05-03,Sampaio Corrêa Futebol Clube (MA),31.12.2020,0.43,https://www.transfermarkt.com/marlon/profil/spieler/538234
640,19,Luiz Henrique,Attacking Midfield,21,Brazil,m,-,2020-03-02,Clube de Regatas do Flamengo U20,-,0.0,https://www.transfermarkt.com/luiz-henrique/profil/spieler/689521
641,19,David,Left Winger,24,Brazil,1.79,right,2020-01-30,Cruzeiro Esporte Clube,31.12.2022,1.3,https://www.transfermarkt.com/david/profil/spieler/373189
642,19,Yuri César,Left Winger,19,Brazil,1.72,right,2020-03-10,Clube de Regatas do Flamengo U20,31.12.2020,0.0,https://www.transfermarkt.com/yuri-cesar/profil/spieler/663585
643,19,Madson,Right Winger,20,Brazil,1.69,left,2020-02-21,Sport Club Corinthians Paulista B,31.12.2020,0.27,https://www.transfermarkt.com/madson/profil/spieler/554300
644,19,Romarinho,Second Striker,26,Brazil,1.68,right,2018-08-08,Globo Futebol Clube RN,31.07.2022,0.78,https://www.transfermarkt.com/romarinho/profil/spieler/267849
645,19,Osvaldo,Second Striker,33,Brazil,1.7,right,2019-02-14,Buriram United,31.12.2021,0.59,https://www.transfermarkt.com/osvaldo/profil/spieler/76191
646,19,Éderson,Second Striker,31,Brazil,1.71,right,2018-07-26,Kashiwa Reysol,31.12.2020,0.49,https://www.transfermarkt.com/ederson/profil/spieler/76470
647,19,Wellington Paulista,Centre-Forward,36,Brazil,1.8,right,2019-03-02,Associação Chapecoense de Futebol,31.12.2020,0.65,https://www.transfermarkt.com/wellington-paulista/profil/spieler/51716
648,19,Edson Cariús,Centre-Forward,31,Brazil,m,-,2020-01-01,Clube de Regatas Brasil (AL),31.12.2021,0.27,https://www.transfermarkt.com/edson-carius/profil/spieler/639285
