players_ID,team_ID,name,position,Age,Nat,Height,foot,dt_joined,prev_team,contract_expires,market_value,player_page
1111,35,Rafael Martins,Goalkeeper,28,Brazil,1.9,right,2020-01-16,Coritiba Foot Ball Club,-,0.05,https://www.transfermarkt.com/rafael-martins/profil/spieler/175172
1112,35,Marcelo,Goalkeeper,19,Brazil,m,-,-,-,-,0.0,https://www.transfermarkt.com/marcelo/profil/spieler/698782
1113,35,Davi,Goalkeeper,17,Brazil,m,-,-,-,-,0.0,https://www.transfermarkt.com/davi/profil/spieler/733337
1114,35,Matheus,Goalkeeper,33,Brazil,m,-,2020-01-03,Esporte Clube Santo André (SP),-,0.0,https://www.transfermarkt.com/matheus/profil/spieler/733338
1115,35,Leandro Camilo,Centre-Back,34,Brazil,1.88,right,2015-05-01,Clube Esportivo Lajeadense (RS),-,0.38,https://www.transfermarkt.com/leandro-camilo/profil/spieler/125464
1116,35,Lázaro,Centre-Back,29,Brazil,1.91,right,2020-01-01,Operário Ferroviário Esporte Clube (PR),-,0.14,https://www.transfermarkt.com/lazaro/profil/spieler/96073
1117,35,Héverton,Centre-Back,32,Brazil,1.9,left,2017-12-06,Cuiabá Esporte Clube (MT),-,0.08,https://www.transfermarkt.com/heverton/profil/spieler/67871
1118,35,Luis Felipe,Centre-Back,28,Brazil,1.89,left,2020-01-01,Associação Ferroviária de Esportes (SP),-,0.0,https://www.transfermarkt.com/luis-felipe/profil/spieler/346139
1119,35,Jacone,Centre-Back,20,Brazil,m,-,-,-,-,0.0,https://www.transfermarkt.com/jacone/profil/spieler/678451
1120,35,Miritz,Centre-Back,17,Brazil,m,-,-,-,-,0.0,https://www.transfermarkt.com/miritz/profil/spieler/740394
1121,35,Bruno Santos,Left-Back,32,Brazil,1.75,left,2018-01-01,AC Goianiense (GO),-,0.14,https://www.transfermarkt.com/bruno-santos/profil/spieler/349317
1122,35,Mateus Mendes,Left-Back,28,Brazil,1.83,left,2020-01-01,Clube Esportivo Lajeadense (RS),-,0.11,https://www.transfermarkt.com/mateus-mendes/profil/spieler/415859
