players_ID,team_ID,name,position,Age,Nat,Height,foot,dt_joined,prev_team,contract_expires,market_value,player_page
65,3,Paulo Victor,Goalkeeper,33,Brazil,1.87,left,2017-07-13,Clube de Regatas do Flamengo,31.12.2022,1.3,https://www.transfermarkt.com/paulo-victor/profil/spieler/67886
66,3,Júlio César,Goalkeeper,33,Brazil,1.91,right,2019-01-03,Fluminense Football Club,31.12.2020,0.86,https://www.transfermarkt.com/julio-cesar/profil/spieler/52647
67,3,Vanderlei,Goalkeeper,36,Brazil,1.95,right,2020-01-18,Santos FC,31.12.2021,0.86,https://www.transfermarkt.com/vanderlei/profil/spieler/68727
68,3,Phelipe,Goalkeeper,21,Brazil,1.85,right,2019-01-01,Grêmio Foot-Ball Porto Alegrense B,31.12.2022,0.11,https://www.transfermarkt.com/phelipe/profil/spieler/608218
69,3,Brenno,Goalkeeper,21,Brazil,1.88,-,2019-01-01,Grêmio Foot-Ball Porto Alegrense B,-,0.05,https://www.transfermarkt.com/brenno/profil/spieler/555016
70,3,Wálter Kannemann,Centre-Back,29,Argentina,1.84,left,2016-07-15,Atlas Guadalajara,31.12.2022,5.18,https://www.transfermarkt.com/walter-kannemann/profil/spieler/145400
71,3,Pedro Geromel,Centre-Back,34,Brazil,1.9,right,2016-01-01,1. FC Köln,31.12.2021,3.02,https://www.transfermarkt.com/pedro-geromel/profil/spieler/32568
72,3,David Braz,Centre-Back,32,Brazil,1.88,right,2019-07-01,Santos FC,31.12.2021,0.86,https://www.transfermarkt.com/david-braz/profil/spieler/53226
73,3,Marcelo Oliveira,Centre-Back,33,Brazil,1.84,left,2015-01-01,Cruzeiro Esporte Clube,31.12.2020,0.78,https://www.transfermarkt.com/marcelo-oliveira/profil/spieler/52844
74,3,Paulo Miranda,Centre-Back,31,Brazil,1.84,right,2018-01-05,Red Bull Salzburg,31.12.2020,0.78,https://www.transfermarkt.com/paulo-miranda/profil/spieler/80499
75,3,Rodrigues,Centre-Back,22,Brazil,1.88,right,2019-08-09,ABC Futebol Clube (RN),31.12.2022,0.32,https://www.transfermarkt.com/rodrigues/profil/spieler/445101
76,3,Ruan,Centre-Back,20,Brazil,1.87,right,2020-01-01,Grêmio Foot-Ball Porto Alegrense B,31.12.2022,0.11,https://www.transfermarkt.com/ruan/profil/spieler/555015
77,3,Bruno Cortez,Left-Back,33,Brazil,1.79,left,2017-01-30,São Paulo Futebol Clube,31.12.2021,1.51,https://www.transfermarkt.com/bruno-cortez/profil/spieler/182216
78,3,Caio Henrique,Left-Back,22,Brazil,1.79,left,2020-01-22,Atlético Madrid B,-,1.3,https://www.transfermarkt.com/caio-henrique/profil/spieler/420064
