players_ID,team_ID,name,position,Age,Nat,Height,foot,dt_joined,prev_team,contract_expires,market_value,player_page
2626,94,Parfait Mandanda,Goalkeeper,30,DR Congo,1.82,-,2020-02-20,RSC Charleroi,30.11.2020,0.38,https://www.transfermarkt.com/parfait-mandanda/profil/spieler/86055
2627,94,Mike Novotny,Goalkeeper,24,United States,1.92,-,2019-01-30,Unknown,30.11.2020,0.08,https://www.transfermarkt.com/mike-novotny/profil/spieler/648776
2628,94,Alex Lara,Defender,21,United States,1.85,-,2019-12-13,"CSUN Matadors (Cal State University, Northridge)",30.11.2020,0.0,https://www.transfermarkt.com/alex-lara/profil/spieler/730127
2629,94,Kevin Politz,Centre-Back,24,United States,1.83,-,2019-12-10,Greenville Triumph SC,30.11.2020,0.19,https://www.transfermarkt.com/kevin-politz/profil/spieler/375568
2630,94,Matheus Silva,Centre-Back,23,Brazil,1.9,left,2020-01-14,Miami FC,30.11.2020,0.14,https://www.transfermarkt.com/matheus-silva/profil/spieler/382033
2631,94,Alex Davey,Centre-Back,25,Scotland,1.91,right,2019-07-12,Dagenham & Redbridge FC,30.11.2020,0.14,https://www.transfermarkt.com/alex-davey/profil/spieler/216574
2632,94,Sam Strong,Centre-Back,23,United States,1.85,-,2019-12-02,Fresno FC,30.11.2020,0.08,https://www.transfermarkt.com/sam-strong/profil/spieler/371827
2633,94,Arthur Rogers,Midfielder,23,England,1.83,-,2019-12-23,Texas–Rio Grande Valley Vaqueros,30.11.2020,0.0,https://www.transfermarkt.com/arthur-rogers/profil/spieler/732253
2634,94,Noah Paravicini,Midfielder,23,United States,m,-,2019-12-18,Napa Valley 1839 FC,30.11.2020,0.0,https://www.transfermarkt.com/noah-paravicini/profil/spieler/719291
2635,94,Aiden Mesias,Midfielder,20,England,m,-,2019-11-25,Without Club,30.11.2020,0.0,https://www.transfermarkt.com/aiden-mesias/profil/spieler/683865
2636,94,Gabriel Torres,Defensive Midfield,23,Brazil,1.78,-,2019-12-09,Chattanooga FC,30.11.2020,0.0,https://www.transfermarkt.com/gabriel-torres/profil/spieler/712141
2637,94,Mads Jörgensen,Central Midfield,21,Denmark,1.88,-,2019-01-03,Boldklubben Marienlyst,30.11.2020,0.16,https://www.transfermarkt.com/mads-jorgensen/profil/spieler/515417
2638,94,Nicky Downs,Central Midfield,24,United States,1.85,-,2019-01-17,Yale Bulldogs (Yale University),30.11.2020,0.16,https://www.transfermarkt.com/nicky-downs/profil/spieler/645901
2639,94,Daniel Barrera,Right Midfield,30,United States,1.7,-,2019-06-12,Cal FC,30.11.2020,0.22,https://www.transfermarkt.com/daniel-barrera/profil/spieler/377112
2640,94,Harry Swartz,Right Midfield,24,United States,1.75,-,2019-05-03,Northeastern Huskies (Northeastern University),30.11.2020,0.16,https://www.transfermarkt.com/harry-swartz/profil/spieler/671710
2641,94,Alfonso Vázquez,Forward,17,United States,m,-,2020-03-11,Unknown,30.11.2020,0.0,https://www.transfermarkt.com/alfonso-vazquez/profil/spieler/751151
2642,94,Dre Deas,Forward,22,United States,1.75,-,2019-12-12,"CSUN Matadors (Cal State University, Northridge)",30.11.2020,0.0,https://www.transfermarkt.com/dre-deas/profil/spieler/730130
2643,94,Tyreke Johnson,Left Winger,21,England,m,-,2020-02-24,Southampton FC U23,30.11.2020,0.0,https://www.transfermarkt.com/tyreke-johnson/profil/spieler/404586
2644,94,Alex Dixon,Right Winger,30,United States,1.73,-,2018-12-18,Oklahoma City Energy FC,30.11.2020,0.27,https://www.transfermarkt.com/alex-dixon/profil/spieler/174924
2645,94,Éver Guzmán,Centre-Forward,32,Mexico,1.72,right,2020-01-09,San Antonio FC,30.11.2020,0.19,https://www.transfermarkt.com/ever-guzman/profil/spieler/54844
2646,94,Mac Steeves,Centre-Forward,25,United States,1.93,-,2019-01-17,Houston Dynamo,30.11.2020,0.14,https://www.transfermarkt.com/mac-steeves/profil/spieler/562538
