players_ID,team_ID,name,position,Age,Nat,Height,foot,dt_joined,prev_team,contract_expires,market_value,player_page
1781,59,Marko Maric,Goalkeeper,24,Croatia,1.91,left,2020-01-13,TSG 1899 Hoffenheim II,-,0.32,https://www.transfermarkt.com/marko-maric/profil/spieler/183793
1782,59,Cody Cropper,Goalkeeper,27,United States,1.91,right,2020-01-24,New England Revolution,-,0.32,https://www.transfermarkt.com/cody-cropper/profil/spieler/170540
1783,59,Michael Nelson,Goalkeeper,25,United States,1.93,-,2018-01-19,SMU Mustangs (Southern Methodist University),31.12.2020,0.11,https://www.transfermarkt.com/michael-nelson/profil/spieler/562558
1784,59,Aljaz Struna,Centre-Back,29,Slovenia,1.91,right,2019-01-01,US Palermo,31.12.2022,0.65,https://www.transfermarkt.com/aljaz-struna/profil/spieler/108119
1785,59,Alejandro Fuenmayor,Centre-Back,23,Venezuela,1.84,right,2018-01-16,Carabobo FC,31.12.2020,0.43,https://www.transfermarkt.com/alejandro-fuenmayor/profil/spieler/309910
1786,59,Víctor Cabrera,Centre-Back,27,Argentina,1.83,-,2019-11-20,Montreal Impact,-,0.43,https://www.transfermarkt.com/victor-cabrera/profil/spieler/353463
1787,59,Maynor Figueroa,Centre-Back,37,Honduras,1.82,left,2019-01-30,FC Dallas,31.12.2020,0.22,https://www.transfermarkt.com/maynor-figueroa/profil/spieler/62240
1788,59,Erik McCue,Centre-Back,19,United States,1.91,-,2019-01-01,Houston Dynamo Academy,-,0.08,https://www.transfermarkt.com/erik-mccue/profil/spieler/629362
1789,59,Adam Lundqvist,Left-Back,26,Sweden,1.75,left,2018-04-26,IF Elfsborg,-,0.65,https://www.transfermarkt.com/adam-lundqvist/profil/spieler/225676
1790,59,Kyle Adams,Left-Back,23,New Zealand,1.77,left,2020-01-25,Rio Grande Valley FC Toros,31.12.2020,0.22,https://www.transfermarkt.com/kyle-adams/profil/spieler/562306
1791,59,Sam Junqua,Left-Back,23,United States,1.83,left,2019-01-11,California Golden Bears (UC Berkeley),31.12.2020,0.16,https://www.transfermarkt.com/sam-junqua/profil/spieler/644781
1792,59,Zarek Valentin,Right-Back,28,Puerto Rico,1.8,right,2019-11-20,Nashville SC,-,0.65,https://www.transfermarkt.com/zarek-valentin/profil/spieler/173492
1793,59,José Bizama,Right-Back,25,Chile,1.81,right,2019-07-11,Huachipato FC,-,0.41,https://www.transfermarkt.com/jose-bizama/profil/spieler/386478
1794,59,Matías Vera,Defensive Midfield,24,Argentina,1.73,-,2019-01-01,Club Atlético San Lorenzo de Almagro,-,1.03,https://www.transfermarkt.com/matias-vera/profil/spieler/368801
1795,59,Darwin Cerén,Defensive Midfield,30,El Salvador,1.77,right,2018-01-19,San Jose Earthquakes,31.12.2020,0.43,https://www.transfermarkt.com/darwin-ceren/profil/spieler/229330
1796,59,Boniek García,Central Midfield,35,Honduras,1.76,right,2012-06-27,CD Olimpia,31.12.2020,0.22,https://www.transfermarkt.com/boniek-garcia/profil/spieler/62241
1797,59,Memo Rodríguez,Left Midfield,24,United States,1.73,-,2017-03-01,Rio Grande Valley FC Toros,31.12.2020,0.81,https://www.transfermarkt.com/memo-rodriguez/profil/spieler/367063
1798,59,Tomás Martínez,Attacking Midfield,25,Argentina,1.72,left,2017-07-17,SC Braga,31.12.2020,1.73,https://www.transfermarkt.com/tomas-martinez/profil/spieler/271438
1799,59,Marcelo Palomino,Attacking Midfield,18,United States,m,-,2020-01-05,Without Club,31.12.2020,0.05,https://www.transfermarkt.com/marcelo-palomino/profil/spieler/469859
1800,59,Tommy McNamara,Left Winger,29,United States,1.75,-,2018-12-20,New York City FC,31.12.2020,0.51,https://www.transfermarkt.com/tommy-mcnamara/profil/spieler/307892
1801,59,Alberth Elis,Right Winger,24,Honduras,1.8,-,2018-01-01,CF Monterrey,-,3.02,https://www.transfermarkt.com/alberth-elis/profil/spieler/281319
1802,59,Niko Hansen,Right Winger,25,Denmark,1.78,-,2019-08-08,Columbus Crew SC,31.12.2020,0.35,https://www.transfermarkt.com/niko-hansen/profil/spieler/482613
1803,59,Mauro Manotas,Centre-Forward,24,Colombia,1.81,right,2015-05-13,Uniautónoma FC,31.12.2021,3.46,https://www.transfermarkt.com/mauro-manotas/profil/spieler/325614
1804,59,Darwin Quintero,Centre-Forward,32,Colombia,1.66,right,2019-11-13,Minnesota United FC,-,1.73,https://www.transfermarkt.com/darwin-quintero/profil/spieler/55666
1805,59,Christian Ramirez,Centre-Forward,29,United States,1.88,right,2019-08-07,Los Angeles FC,31.12.2020,1.08,https://www.transfermarkt.com/christian-ramirez/profil/spieler/236590
1806,59,Ronaldo Peña,Centre-Forward,23,Venezuela,1.84,right,2018-07-10,Caracas FC,-,0.43,https://www.transfermarkt.com/ronaldo-pena/profil/spieler/309487
1807,59,Michael Salazar,Centre-Forward,27,Belize,1.8,-,2019-06-10,Rio Grande Valley FC Toros,31.12.2020,0.27,https://www.transfermarkt.com/michael-salazar/profil/spieler/277353
