players_ID,team_ID,name,position,Age,Nat,Height,foot,dt_joined,prev_team,contract_expires,market_value,player_page
2993,113,Dylan Castanheira,Goalkeeper,24,United States,1.88,-,2020-02-15,Atlanta United 2,30.11.2020,0.14,https://www.transfermarkt.com/dylan-castanheira/profil/spieler/644774
2994,113,Daniel Gagliardi,Goalkeeper,23,United States,m,-,2020-02-15,Vancouver Whitecaps FC,30.11.2020,0.0,https://www.transfermarkt.com/daniel-gagliardi/profil/spieler/735810
2995,113,Ian Fray,Defender,17,United States,m,-,2020-02-15,Inter Miami CF Academy,30.11.2020,0.0,https://www.transfermarkt.com/ian-fray/profil/spieler/744586
2996,113,Modesto Méndez,Defender,-,Cuba,m,-,2020-02-15,FC Pinar del Rio,30.11.2020,0.0,https://www.transfermarkt.com/modesto-mendez/profil/spieler/744587
2997,113,Brian Rosales,Centre-Back,25,Cuba,m,-,2020-02-15,Without Club,30.11.2020,0.03,https://www.transfermarkt.com/brian-rosales/profil/spieler/273928
2998,113,Frank Nodarse,Centre-Back,19,Cuba,m,-,2020-02-15,Unknown,30.11.2020,0.0,https://www.transfermarkt.com/frank-nodarse/profil/spieler/629342
2999,113,Rivaldo Ibarra,Defensive Midfield,20,Cuba,m,-,2020-02-15,Without Club,30.11.2020,0.0,https://www.transfermarkt.com/rivaldo-ibarra/profil/spieler/628726
3000,113,Blaine Ferri,Central Midfield,19,United States,1.73,left,2020-02-15,SpVgg Greuther Fürth II,30.11.2020,0.0,https://www.transfermarkt.com/blaine-ferri/profil/spieler/370978
3001,113,Eduardo Sosa,Attacking Midfield,23,Venezuela,1.73,right,2020-02-15,Columbus Crew SC,30.11.2020,0.22,https://www.transfermarkt.com/eduardo-sosa/profil/spieler/377377
3002,113,Ricky Lopez-Espin,Centre-Forward,24,United States,1.88,-,2020-02-15,Without Club,30.11.2020,0.11,https://www.transfermarkt.com/ricky-lopez-espin/profil/spieler/562497
