players_ID,team_ID,name,position,Age,Nat,Height,foot,dt_joined,prev_team,contract_expires,market_value,player_page
2607,93,Thomas Olsen,Goalkeeper,25,United States,1.93,-,2018-05-04,Without Club,30.11.2020,0.16,https://www.transfermarkt.com/thomas-olsen/profil/spieler/367642
2608,93,Ángel Álvarez,Goalkeeper,22,United States,1.78,-,2018-01-31,Unknown,30.11.2020,0.08,https://www.transfermarkt.com/angel-alvarez/profil/spieler/566372
2609,93,Edward Delgado,Goalkeeper,22,United States,1.9,-,2020-03-04,Westmont College Warriors (Westmont College),30.11.2020,0.0,https://www.transfermarkt.com/edward-delgado/profil/spieler/748991
2610,93,Ramón Del Campo,Centre-Back,26,United States,1.91,-,2019-12-09,Fresno FC,30.11.2020,0.27,https://www.transfermarkt.com/ramon-del-campo/profil/spieler/376594
2611,93,Gabriel Robinson,Centre-Back,25,Guatemala,1.88,-,2019-01-09,L.A. Wolves FC,30.11.2020,0.19,https://www.transfermarkt.com/gabriel-robinson/profil/spieler/644273
2612,93,Jordan Murrell,Centre-Back,27,Canada,1.78,-,2020-01-31,Valour FC,30.11.2020,0.19,https://www.transfermarkt.com/jordan-murrell/profil/spieler/164560
2613,93,Javan Torre,Centre-Back,26,United States,1.89,left,2019-01-09,Without Club,30.11.2020,0.16,https://www.transfermarkt.com/javan-torre/profil/spieler/253787
2614,93,Johnny Fenwick,Centre-Back,25,England,1.88,left,2020-02-28,San Antonio FC,30.11.2020,0.08,https://www.transfermarkt.com/johnny-fenwick/profil/spieler/268452
2615,93,Chancel Ndaye,Centre-Back,21,Burundi,1.8,right,2020-01-01,MFK Vyskov,30.11.2020,0.0,https://www.transfermarkt.com/chancel-ndaye/profil/spieler/568253
2616,93,Mobi Fehr,Defensive Midfield,25,United States,1.82,right,2019-03-01,Without Club,30.11.2020,0.14,https://www.transfermarkt.com/mobi-fehr/profil/spieler/188146
2617,93,Jonathan Levin,Central Midfield,26,Mexico,1.82,-,2019-04-01,Without Club,30.11.2020,0.14,https://www.transfermarkt.com/jonathan-levin/profil/spieler/345547
2618,93,José Carrera,Central Midfield,24,United States,1.64,-,2020-02-28,Celaya FC,30.11.2020,0.0,https://www.transfermarkt.com/jose-carrera/profil/spieler/378483
2619,93,Grant Robinson,Central Midfield,21,United States,1.75,-,2020-03-04,George Mason Patriots (George Mason University),30.11.2020,0.0,https://www.transfermarkt.com/grant-robinson/profil/spieler/678410
2620,93,Bryan de la Fuente,Left Midfield,27,United States,1.8,right,2019-01-09,California United Strikers FC,30.11.2020,0.16,https://www.transfermarkt.com/bryan-de-la-fuente/profil/spieler/160263
2621,93,Junior Sandoval,Attacking Midfield,29,Honduras,1.8,-,2019-04-17,Memphis 901 FC,30.11.2020,0.19,https://www.transfermarkt.com/junior-sandoval/profil/spieler/157026
2622,93,Junior Burgos,Attacking Midfield,31,El Salvador,1.8,right,2020-03-04,Without Club,30.11.2020,0.11,https://www.transfermarkt.com/junior-burgos/profil/spieler/105934
2623,93,Yamikani Chester,Right Winger,25,Malawi,1.8,right,2020-01-01,MFK Vyskov,30.11.2020,0.14,https://www.transfermarkt.com/yamikani-chester/profil/spieler/427891
2624,93,Seku Conneh,Centre-Forward,24,Liberia,1.88,right,2019-12-20,Without Club,30.11.2020,0.27,https://www.transfermarkt.com/seku-conneh/profil/spieler/329975
2625,93,Santiago Echavarría,Centre-Forward,21,Colombia,1.78,-,2019-05-01,Atlético Nacional U20,30.11.2020,0.08,https://www.transfermarkt.com/santiago-echavarria/profil/spieler/672837
