players_ID,team_ID,name,position,Age,Nat,Height,foot,dt_joined,prev_team,contract_expires,market_value,player_page
2722,99,Abraham Romero,Goalkeeper,22,Mexico,1.93,right,2019-01-30,CF Pachuca,30.11.2020,0.22,https://www.transfermarkt.com/abraham-romero/profil/spieler/400197
2723,99,Omar Ontiveros,Centre-Back,24,United States,1.88,-,2019-03-08,Without Club,30.11.2020,0.14,https://www.transfermarkt.com/omar-ontiveros/profil/spieler/381701
2724,99,Isaac Bawa,Right-Back,23,Ghana,1.8,right,2020-01-31,Azusa Pacific Cougars (Azusa Pacific University),30.11.2020,0.03,https://www.transfermarkt.com/isaac-bawa/profil/spieler/593927
2725,99,Mauricio Cuevas,Right-Back,17,United States,1.71,-,2019-04-30,Los Angeles Galaxy Academy,30.11.2020,0.0,https://www.transfermarkt.com/mauricio-cuevas/profil/spieler/670800
2726,99,Carlos Harvey,Defensive Midfield,20,Panama,1.84,right,2019-03-06,Tauro FC,30.11.2020,0.11,https://www.transfermarkt.com/carlos-harvey/profil/spieler/628806
2727,99,Adam Saldana,Central Midfield,18,United States,1.68,-,2019-06-18,Los Angeles Galaxy Academy,30.11.2020,0.0,https://www.transfermarkt.com/adam-saldana/profil/spieler/504207
2728,99,Jorge Hernandez,Right Midfield,19,United States,1.7,-,2019-09-19,"UCI Anteaters (University of California, Irvine)",30.11.2020,0.11,https://www.transfermarkt.com/jorge-hernandez/profil/spieler/503096
2729,99,Adrian Vera,Left Midfield,23,United States,1.72,-,2015-07-20,Los Angeles Galaxy Academy,30.11.2020,0.19,https://www.transfermarkt.com/adrian-vera/profil/spieler/375613
2730,99,Kai Koreniuk,Left Winger,22,Netherlands,1.83,right,2019-03-07,AZ Alkmaar U21,30.11.2020,0.11,https://www.transfermarkt.com/kai-koreniuk/profil/spieler/315141
2731,99,Iván Gutiérrez,Left Winger,22,Mexico,1.71,left,2019-06-03,Deportivo Guadalajara Premier,30.11.2020,0.0,https://www.transfermarkt.com/ivan-gutierrez/profil/spieler/552949
2732,99,Augustine Williams,Centre-Forward,22,Sierra Leone,1.88,-,2019-01-28,Portland Timbers 2,30.11.2020,0.19,https://www.transfermarkt.com/augustine-williams/profil/spieler/454110
2733,99,Mohammed Kamara,Centre-Forward,22,Liberia,1.84,both,2019-08-02,SC Paderborn 07,30.11.2020,0.11,https://www.transfermarkt.com/mohammed-kamara/profil/spieler/637273
