players_ID,team_ID,name,position,Age,Nat,Height,foot,dt_joined,prev_team,contract_expires,market_value,player_page
2687,97,Simon Lefebvre,Goalkeeper,22,France,2.03,right,2020-03-03,Without Club,30.11.2020,0.16,https://www.transfermarkt.com/simon-lefebvre/profil/spieler/386062
2688,97,Colin Miller,Goalkeeper,23,United States,1.9,-,2019-02-28,Providence Friars (Providence College),30.11.2020,0.08,https://www.transfermarkt.com/colin-miller/profil/spieler/655817
2689,97,Robert Dambrot,Defender,25,United States,1.88,-,2019-08-09,Virginia Beach City FC,30.11.2020,0.08,https://www.transfermarkt.com/robert-dambrot/profil/spieler/693595
2690,97,Erumuse Momoh,Defender,23,United States,1.75,-,2020-03-04,Penn Quakers (University of Pennsylvania),30.11.2020,0.0,https://www.transfermarkt.com/erumuse-momoh/profil/spieler/749482
2691,97,Jake Dengler,Defender,20,United States,1.96,-,2020-01-13,Connecticut Huskies (University of Connecticut),30.11.2020,0.0,https://www.transfermarkt.com/jake-dengler/profil/spieler/736654
2692,97,Nelson Martinez,Centre-Back,19,United States,1.75,-,2019-08-01,D.C. United Academy,-,0.11,https://www.transfermarkt.com/nelson-martinez/profil/spieler/513964
2693,97,Shane Wiedt,Centre-Back,24,United States,1.91,-,2019-08-09,Pittsburgh Panthers (University of Pittsburgh),30.11.2020,0.08,https://www.transfermarkt.com/shane-wiedt/profil/spieler/693596
2694,97,Allexon Saravia,Centre-Back,19,El Salvador,1.69,-,2019-07-01,D.C. United Academy,30.11.2020,0.08,https://www.transfermarkt.com/allexon-saravia/profil/spieler/658826
2695,97,Adam Lundegard,Centre-Back,16,United States,1.85,left,2020-01-07,D.C. United Academy,-,0.0,https://www.transfermarkt.com/adam-lundegard/profil/spieler/677835
2696,97,Peabo Doue,Left-Back,28,United States,1.8,left,2019-02-26,North Carolina FC,30.11.2020,0.16,https://www.transfermarkt.com/peabo-doue/profil/spieler/262622
2697,97,Jacob Greene,Right-Back,17,United States,1.7,-,2020-01-07,D.C. United Academy,-,0.08,https://www.transfermarkt.com/jacob-greene/profil/spieler/684181
2698,97,Gabriel Gómez,Midfielder,23,Argentina,m,-,2020-01-28,Without Club,30.11.2020,0.0,https://www.transfermarkt.com/gabriel-gomez/profil/spieler/633743
2699,97,Brandon Williamson,Midfielder,22,United States,1.78,-,2020-02-25,Duke Blue Devils (Duke University),30.11.2020,0.0,https://www.transfermarkt.com/brandon-williamson/profil/spieler/636804
2700,97,Josh Fawole,Midfielder,21,United States,1.85,-,2020-03-06,Without Club,30.11.2020,0.0,https://www.transfermarkt.com/josh-fawole/profil/spieler/678411
2701,97,Jeremy Garay,Defensive Midfield,17,United States,1.75,-,2020-01-07,D.C. United Academy,-,0.08,https://www.transfermarkt.com/jeremy-garay/profil/spieler/684180
2702,97,Ally Nganzi,Defensive Midfield,19,Tanzania,1.8,-,2020-01-24,MFK Vyskov,30.11.2020,0.05,https://www.transfermarkt.com/ally-nganzi/profil/spieler/627088
2703,97,Theodore Ku-DiPietro,Right Midfield,18,United States,1.75,-,2020-01-07,D.C. United Academy,30.11.2020,0.05,https://www.transfermarkt.com/theodore-ku-dipietro/profil/spieler/677832
2704,97,Elvis Amoh,Forward,28,Ghana,1.88,-,2019-07-28,SK Lisen,30.11.2020,0.11,https://www.transfermarkt.com/elvis-amoh/profil/spieler/477506
2705,97,Massimo Ferrin,Forward,21,Canada,1.8,-,2020-02-20,Syracuse Orange (Syracuse University),30.11.2020,0.0,https://www.transfermarkt.com/massimo-ferrin/profil/spieler/638759
2706,97,Christian Sorto,Left Winger,20,United States,1.8,right,2019-06-27,D.C. United Academy,30.11.2020,0.05,https://www.transfermarkt.com/christian-sorto/profil/spieler/682406
2707,97,Michael Gamble,Centre-Forward,26,United States,1.7,-,2020-01-13,Deportes Santa Cruz,30.11.2020,0.19,https://www.transfermarkt.com/michael-gamble/profil/spieler/417618
2708,97,Kairou Amoustapha,Centre-Forward,19,Niger,1.78,-,2020-02-20,ASN Nigelec,30.11.2020,0.0,https://www.transfermarkt.com/kairou-amoustapha/profil/spieler/543560
2709,97,Alioune Ndour,Centre-Forward,19,Senegal,1.88,right,2020-01-07,MFK Vyskov,30.11.2020,0.0,https://www.transfermarkt.com/alioune-ndour/profil/spieler/718643
