players_ID,team_ID,name,position,Age,Nat,Height,foot,dt_joined,prev_team,contract_expires,market_value,player_page
2873,107,Brandon Barnes,Goalkeeper,25,United States,1.91,-,2019-04-02,Without Club,30.11.2020,0.05,https://www.transfermarkt.com/brandon-barnes/profil/spieler/606472
2874,107,Philipp Marceta,Goalkeeper,27,Austria,1.88,both,2020-03-23,SV Heimstetten,30.11.2020,0.03,https://www.transfermarkt.com/philipp-marceta/profil/spieler/122984
2875,107,Connor Tobin,Centre-Back,33,United States,1.88,-,2019-02-04,North Carolina FC,30.11.2020,0.16,https://www.transfermarkt.com/connor-tobin/profil/spieler/107888
2876,107,Jalen Crisler,Centre-Back,25,United States,1.93,-,2020-01-21,Detroit City FC,30.11.2020,0.0,https://www.transfermarkt.com/jalen-crisler/profil/spieler/712651
2877,107,Christian Díaz,Left-Back,29,Mexico,1.73,right,2019-02-18,Unknown,30.11.2020,0.22,https://www.transfermarkt.com/christian-diaz/profil/spieler/126318
2878,107,Carl Schneider,Left-Back,27,United States,1.75,-,2019-02-05,IFK Åmål,30.11.2020,0.08,https://www.transfermarkt.com/carl-schneider/profil/spieler/650276
2879,107,Eli Lockaby,Right-Back,24,United States,1.73,-,2020-02-04,Richmond Kickers,30.11.2020,0.14,https://www.transfermarkt.com/eli-lockaby/profil/spieler/656381
2880,107,Brandon Eaton,Right-Back,25,United States,1.73,-,2019-01-30,Richmond Kickers,30.11.2020,0.11,https://www.transfermarkt.com/brandon-eaton/profil/spieler/511449
2881,107,Gustavo Fernandes,Right-Back,22,United States,1.83,-,2020-03-12,Stony Brook Seawolves (Stony Brook University),30.11.2020,0.0,https://www.transfermarkt.com/gustavo-fernandes/profil/spieler/751222
2882,107,Michael Vang,Midfielder,19,United States,1.73,-,2020-01-16,SU 1º Dezembro,30.11.2020,0.0,https://www.transfermarkt.com/michael-vang/profil/spieler/743177
2883,107,Eric Leonard,Defensive Midfield,24,United States,1.75,-,2019-01-01,Nerang Soccer Club,30.11.2020,0.19,https://www.transfermarkt.com/eric-leonard/profil/spieler/520247
2884,107,Louis Bennett,Defensive Midfield,24,United States,1.75,left,2020-02-07,Memphis 901 FC,30.11.2020,0.08,https://www.transfermarkt.com/louis-bennett/profil/spieler/476421
2885,107,Vital Nizigiyimana,Defensive Midfield,23,Tanzania,1.7,-,2019-02-12,Without Club,30.11.2020,0.03,https://www.transfermarkt.com/vital-nizigiyimana/profil/spieler/652489
2886,107,Josiah Trimmingham,Defensive Midfield,23,Trinidad and Tobago,1.88,-,2020-02-13,Central FC,30.11.2020,0.0,https://www.transfermarkt.com/josiah-trimmingham/profil/spieler/482812
2887,107,Jamael Cox,Central Midfield,28,United States,1.75,-,2019-12-21,FC Tucson,30.11.2020,0.11,https://www.transfermarkt.com/jamael-cox/profil/spieler/261955
2888,107,Don Smart,Right Midfield,32,Jamaica,1.75,-,2019-01-01,Fresno FC,30.11.2020,0.16,https://www.transfermarkt.com/don-smart/profil/spieler/190919
2889,107,Jiro Barriga Toyama,Left Midfield,25,Japan,1.75,-,2019-03-05,FGCU Eagles (Florida Gulf Coast University),30.11.2020,0.11,https://www.transfermarkt.com/jiro-barriga-toyama/profil/spieler/657272
2890,107,Paulo Júnior,Right Winger,31,Brazil,1.68,right,2018-12-10,Penn FC,30.11.2020,0.19,https://www.transfermarkt.com/paulo-junior/profil/spieler/153423
2891,107,J.C. Banks,Centre-Forward,30,United States,1.73,right,2018-12-22,Jacksonville Armada FC,30.11.2020,0.16,https://www.transfermarkt.com/j-c-banks/profil/spieler/187984
2892,107,Wojciech Wojcik,Centre-Forward,27,Poland,1.93,right,2020-01-14,Hartford Athletic,30.11.2020,0.14,https://www.transfermarkt.com/wojciech-wojcik/profil/spieler/307879
