players_ID,team_ID,name,position,Age,Nat,Height,foot,dt_joined,prev_team,contract_expires,market_value,player_page
2303,79,Tim Howard,Goalkeeper,41,United States,1.91,right,2020-03-04,Career break,30.11.2020,0.32,https://www.transfermarkt.com/tim-howard/profil/spieler/4267
2304,79,Jimmy Hague,Goalkeeper,23,United States,1.93,-,2020-01-28,FC Cincinnati,30.11.2020,0.08,https://www.transfermarkt.com/jimmy-hague/profil/spieler/637143
2305,79,Jim Barkei,Goalkeeper,24,United States,1.91,-,2019-04-18,NKU Norse (Northern Kentucky University),30.11.2020,0.03,https://www.transfermarkt.com/jim-barkei/profil/spieler/509919
2306,79,Jackson Morse,Defender,22,United States,1.83,-,2020-03-06,Memphis Tigers (University of Memphis),30.11.2020,0.0,https://www.transfermarkt.com/jackson-morse/profil/spieler/750016
2307,79,Zach Carroll,Centre-Back,26,United States,1.92,right,2020-01-13,Reno 1868 FC,30.11.2020,0.27,https://www.transfermarkt.com/zach-carroll/profil/spieler/417625
2308,79,Liam Doyle,Centre-Back,27,Isle of Man,1.92,-,2019-08-05,Nashville SC,30.11.2020,0.27,https://www.transfermarkt.com/liam-doyle/profil/spieler/430369
2309,79,Marc Burch,Left-Back,35,United States,1.88,left,2019-01-30,Minnesota United FC,30.11.2020,0.16,https://www.transfermarkt.com/marc-burch/profil/spieler/39455
2310,79,Triston Hodge,Left-Back,25,Trinidad and Tobago,1.83,left,2019-01-01,W Connection,30.11.2020,0.11,https://www.transfermarkt.com/triston-hodge/profil/spieler/386383
2311,79,Mark Segbers,Right-Back,24,United States,1.75,right,2020-01-14,Sporting Kansas City II,30.11.2020,0.16,https://www.transfermarkt.com/mark-segbers/profil/spieler/562390
2312,79,Michael Reed,Defensive Midfield,32,United States,1.83,-,2020-01-16,Nashville SC,30.11.2020,0.32,https://www.transfermarkt.com/michael-reed/profil/spieler/224250
2313,79,Dan Metzger,Defensive Midfield,26,United States,1.78,right,2018-12-01,Penn FC,30.11.2020,0.19,https://www.transfermarkt.com/dan-metzger/profil/spieler/253779
2314,79,Jean-Christophe Koffi,Central Midfield,22,Cote d'Ivoire,1.75,-,2020-01-30,New York Red Bulls,30.11.2020,0.19,https://www.transfermarkt.com/jean-christophe-koffi/profil/spieler/615026
2315,79,Leston Paul,Central Midfield,30,Trinidad and Tobago,1.63,right,2018-12-10,Central FC,30.11.2020,0.16,https://www.transfermarkt.com/leston-paul/profil/spieler/123105
2316,79,Raúl González,Right Midfield,25,United States,1.75,-,2018-12-01,Richmond Kickers,30.11.2020,0.14,https://www.transfermarkt.com/raul-gonzalez/profil/spieler/498920
2317,79,Duane Muckette,Left Midfield,24,Trinidad and Tobago,1.77,right,2019-01-08,Central FC,30.11.2020,0.16,https://www.transfermarkt.com/duane-muckette/profil/spieler/354583
2318,79,Jose Baxter,Attacking Midfield,28,England,1.79,right,2020-02-19,Without Club,30.11.2020,0.32,https://www.transfermarkt.com/jose-baxter/profil/spieler/82734
2319,79,Pierre da Silva,Left Winger,21,United States,1.75,right,2019-08-05,Orlando City SC,30.11.2020,0.22,https://www.transfermarkt.com/pierre-da-silva/profil/spieler/315761
2320,79,Matt Hundley,Left Winger,19,United States,1.78,-,2020-02-21,Colorado Rapids,30.11.2020,0.16,https://www.transfermarkt.com/matt-hundley/profil/spieler/637277
2321,79,Keanu Marsh-Brown,Right Winger,27,Guyana,1.81,right,2020-01-17,Newport County,30.11.2020,0.05,https://www.transfermarkt.com/keanu-marsh-brown/profil/spieler/116653
2322,79,Rafa Mentzingen,Second Striker,24,Brazil,1.73,right,2020-01-15,Lansing Ignite FC,30.11.2020,0.19,https://www.transfermarkt.com/rafa-mentzingen/profil/spieler/587391
2323,79,Brandon Allen,Centre-Forward,26,United States,1.85,left,2019-06-26,Tampa Bay Rowdies,30.11.2020,0.27,https://www.transfermarkt.com/brandon-allen/profil/spieler/253740
