players_ID,team_ID,name,position,Age,Nat,Height,foot,dt_joined,prev_team,contract_expires,market_value,player_page
2281,78,Mark Pais,Goalkeeper,28,United States,1.93,-,2019-01-29,Fresno FC,30.11.2020,0.16,https://www.transfermarkt.com/mark-pais/profil/spieler/364644
2282,78,Brian Sylvestre,Goalkeeper,27,Haiti,1.93,-,2020-01-23,Forward Madison FC,30.11.2020,0.16,https://www.transfermarkt.com/brian-sylvestre/profil/spieler/180367
2283,78,Bryant Gammiero,Goalkeeper,26,Venezuela,1.79,right,2019-09-05,Florida Soccer Soldiers,30.11.2020,0.0,https://www.transfermarkt.com/bryant-gammiero/profil/spieler/308786
2284,78,Hassan Ndam,Centre-Back,21,Cameroon,1.93,-,2020-02-01,FC Cincinnati,30.11.2020,0.22,https://www.transfermarkt.com/hassan-ndam/profil/spieler/485529
2285,78,Lawrence Olum,Centre-Back,35,Kenya,1.88,-,2020-01-16,Minnesota United FC,30.11.2020,0.22,https://www.transfermarkt.com/lawrence-olum/profil/spieler/72613
2286,78,Brenton Griffiths,Centre-Back,29,Jamaica,1.9,-,2019-01-20,Reno 1868 FC,30.11.2020,0.14,https://www.transfermarkt.com/brenton-griffiths/profil/spieler/268349
2287,78,Jalen Markey,Centre-Back,25,United States,1.88,-,2019-01-28,Tacoma Defiance,30.11.2020,0.08,https://www.transfermarkt.com/jalen-markey/profil/spieler/617555
2288,78,János Löbe,Left-Back,24,Germany,1.8,left,2020-01-28,New York Red Bulls II,30.11.2020,0.11,https://www.transfermarkt.com/janos-lobe/profil/spieler/156839
2289,78,Marco Franco,Right-Back,28,United States,1.8,-,2019-01-19,Miami FC 2,30.11.2020,0.3,https://www.transfermarkt.com/marco-franco/profil/spieler/307930
2290,78,Brian James,Defensive Midfield,26,United States,1.8,-,2019-01-17,Without Club,30.11.2020,0.22,https://www.transfermarkt.com/brian-james/profil/spieler/429458
2291,78,Lance Rozeboom,Defensive Midfield,30,United States,1.85,-,2019-01-20,Tampa Bay Rowdies,30.11.2020,0.19,https://www.transfermarkt.com/lance-rozeboom/profil/spieler/216477
2292,78,Tomás Granitto,Defensive Midfield,26,El Salvador,1.8,right,2019-01-19,Miami United FC,30.11.2020,0.16,https://www.transfermarkt.com/tomas-granitto/profil/spieler/273892
2293,78,Harrison Heath,Central Midfield,24,England,1.8,right,2019-02-20,Minnesota United FC,30.11.2020,0.14,https://www.transfermarkt.com/harrison-heath/profil/spieler/265998
2294,78,Vincent Bezecourt,Attacking Midfield,26,France,1.7,-,2020-01-21,New York Red Bulls,30.11.2020,0.43,https://www.transfermarkt.com/vincent-bezecourt/profil/spieler/429455
2295,78,Sebastián Velásquez,Attacking Midfield,29,United States,1.7,-,2020-02-05,El Paso Locomotive FC,30.11.2020,0.22,https://www.transfermarkt.com/sebastian-velasquez/profil/spieler/217588
2296,78,Héctor Morales,Attacking Midfield,27,Cuba,1.83,-,2019-02-05,CF Ciudad de Habana,30.11.2020,0.0,https://www.transfermarkt.com/hector-morales/profil/spieler/273916
2297,78,Othello Bah,Forward,25,Liberia,1.7,-,2019-01-01,Chattanooga FC,30.11.2020,0.0,https://www.transfermarkt.com/othello-bah/profil/spieler/735566
2298,78,Miguel González,Left Winger,30,Mexico,1.73,-,2019-02-04,Oklahoma City Energy FC,30.11.2020,0.14,https://www.transfermarkt.com/miguel-gonzalez/profil/spieler/354710
2299,78,Lloyd Sam,Right Winger,35,Ghana,1.73,right,2019-01-19,Without Club,30.11.2020,0.43,https://www.transfermarkt.com/lloyd-sam/profil/spieler/12131
2300,78,Prince Saydee,Right Winger,24,Liberia,1.78,left,2020-01-10,Atlanta SC,30.11.2020,0.0,https://www.transfermarkt.com/prince-saydee/profil/spieler/274154
2301,78,Romario Williams,Centre-Forward,25,Jamaica,1.8,-,2020-01-01,Columbus Crew SC,30.11.2020,0.38,https://www.transfermarkt.com/romario-williams/profil/spieler/189782
2302,78,Mohamed Thiaw,Centre-Forward,25,United States,1.88,-,2019-01-20,San Jose Earthquakes,30.11.2020,0.14,https://www.transfermarkt.com/mohamed-thiaw/profil/spieler/562498
