players_ID,team_ID,name,position,Age,Nat,Height,foot,dt_joined,prev_team,contract_expires,market_value,player_page
1864,62,Tyler Miller,Goalkeeper,27,United States,1.93,-,2020-01-16,Los Angeles FC,31.12.2022,1.08,https://www.transfermarkt.com/tyler-miller/profil/spieler/353479
1865,62,Greg Ranjitsingh,Goalkeeper,26,Trinidad and Tobago,1.88,-,2019-11-25,Orlando City SC,-,0.32,https://www.transfermarkt.com/greg-ranjitsingh/profil/spieler/367436
1866,62,Dayne St Clair,Goalkeeper,22,Canada,1.91,-,2019-01-11,Maryland Terrapins (University of Maryland),30.11.2020,0.11,https://www.transfermarkt.com/dayne-st-clair/profil/spieler/439750
1867,62,Fred Emmings,Goalkeeper,16,Luxembourg,m,-,2020-01-22,Minnesota United FC Academy,-,0.05,https://www.transfermarkt.com/fred-emmings/profil/spieler/739023
1868,62,Ike Opara,Centre-Back,31,United States,1.88,right,2019-01-28,Sporting Kansas City,-,1.3,https://www.transfermarkt.com/ike-opara/profil/spieler/125696
1869,62,Michael Boxall,Centre-Back,31,New Zealand,1.88,right,2017-07-12,SuperSport United,-,0.57,https://www.transfermarkt.com/michael-boxall/profil/spieler/81723
1870,62,Brent Kallman,Centre-Back,29,United States,1.88,-,2017-01-23,Minnesota United FC (NASL),31.12.2020,0.51,https://www.transfermarkt.com/brent-kallman/profil/spieler/226643
1871,62,José Aja,Centre-Back,26,Uruguay,1.91,right,2020-02-14,Unión Española,-,0.43,https://www.transfermarkt.com/jose-aja/profil/spieler/336457
1872,62,Chase Gasper,Left-Back,24,United States,1.83,-,2019-01-11,Maryland Terrapins (University of Maryland),31.12.2020,0.43,https://www.transfermarkt.com/chase-gasper/profil/spieler/336167
1873,62,Romain Métanire,Right-Back,30,Madagascar,1.78,right,2019-01-25,Stade Reims,-,1.51,https://www.transfermarkt.com/romain-metanire/profil/spieler/154209
1874,62,Hassani Dotson,Right-Back,22,United States,1.8,-,2019-01-11,Oregon State Beavers (Oregon State University),31.12.2020,0.59,https://www.transfermarkt.com/hassani-dotson/profil/spieler/636081
1875,62,Osvaldo Alonso,Defensive Midfield,34,Cuba,1.8,right,2019-01-10,Seattle Sounders FC,-,0.43,https://www.transfermarkt.com/osvaldo-alonso/profil/spieler/62810
1876,62,James Musa,Defensive Midfield,28,New Zealand,1.85,left,2020-01-17,Phoenix Rising FC,-,0.3,https://www.transfermarkt.com/james-musa/profil/spieler/135510
1877,62,Jan Gregus,Central Midfield,29,Slovakia,1.89,-,2019-01-01,FC Copenhagen,-,1.73,https://www.transfermarkt.com/jan-gregus/profil/spieler/112317
1878,62,Robin Lod,Central Midfield,27,Finland,1.79,left,2019-07-16,Sporting Gijón,-,1.03,https://www.transfermarkt.com/robin-lod/profil/spieler/173573
1879,62,Jacori Hayes,Central Midfield,24,United States,1.7,-,2020-01-21,FC Dallas,31.12.2020,0.51,https://www.transfermarkt.com/jacori-hayes/profil/spieler/482621
1880,62,Thomás Chacón,Attacking Midfield,19,Uruguay,1.64,right,2019-08-07,Danubio FC,-,1.94,https://www.transfermarkt.com/thomas-chacon/profil/spieler/465676
1881,62,Raheem Edwards,Left Winger,24,Canada,1.72,-,2020-02-11,Chicago Fire,-,0.27,https://www.transfermarkt.com/raheem-edwards/profil/spieler/367429
1882,62,Ethan Finlay,Right Winger,29,United States,1.74,right,2017-08-09,Columbus Crew SC,31.12.2020,0.86,https://www.transfermarkt.com/ethan-finlay/profil/spieler/212949
1883,62,Kevin Molino,Right Winger,29,Trinidad and Tobago,1.8,right,2017-01-27,Orlando City SC,31.12.2020,0.59,https://www.transfermarkt.com/kevin-molino/profil/spieler/123096
1884,62,Marlon Hairston,Right Winger,26,United States,1.83,right,2019-11-13,Houston Dynamo,31.12.2020,0.51,https://www.transfermarkt.com/marlon-hairston/profil/spieler/306401
1885,62,Luis Amarilla,Centre-Forward,24,Paraguay,1.82,right,2020-01-28,Club Atlético Vélez Sarsfield,31.12.2020,1.73,https://www.transfermarkt.com/luis-amarilla/profil/spieler/291658
1886,62,Mason Toye,Centre-Forward,21,United States,1.91,-,2018-01-19,Indiana Hoosiers (Indiana University),-,0.57,https://www.transfermarkt.com/mason-toye/profil/spieler/562388
1887,62,Aaron Schoenfeld,Centre-Forward,30,Israel,1.93,-,2020-02-12,Maccabi Tel Aviv,-,0.32,https://www.transfermarkt.com/aaron-schoenfeld/profil/spieler/218314
1888,62,Noah Billingsley,Centre-Forward,22,New Zealand,1.86,right,2020-01-09,Santa Barbara Gauchos (Uni. of CAL Santa Barbara),-,0.05,https://www.transfermarkt.com/noah-billingsley/profil/spieler/353217
