players_ID,team_ID,name,position,Age,Nat,Height,foot,dt_joined,prev_team,contract_expires,market_value,player_page
1675,55,Evan Bush,Goalkeeper,34,United States,1.88,-,2011-03-11,Crystal Palace Baltimore,31.12.2021,0.51,https://www.transfermarkt.com/evan-bush/profil/spieler/148916
1676,55,Clément Diop,Goalkeeper,26,Senegal,1.85,right,2017-12-13,Los Angeles Galaxy,31.12.2020,0.32,https://www.transfermarkt.com/clement-diop/profil/spieler/190915
1677,55,Jonathan Sirois,Goalkeeper,18,Canada,1.98,-,2020-03-06,Montreal Impact Academy,31.12.2020,0.0,https://www.transfermarkt.com/jonathan-sirois/profil/spieler/749407
1678,55,Rudy Camacho,Centre-Back,29,France,1.86,-,2018-03-22,Waasland-Beveren,31.12.2021,0.43,https://www.transfermarkt.com/rudy-camacho/profil/spieler/170904
1679,55,Joel Waterman,Centre-Back,24,Canada,1.88,-,2020-01-14,Cavalry FC,31.12.2021,0.19,https://www.transfermarkt.com/joel-waterman/profil/spieler/441738
1680,55,Luis Binks,Centre-Back,18,England,1.84,-,2020-02-18,Tottenham Hotspur U18,-,0.11,https://www.transfermarkt.com/luis-binks/profil/spieler/471004
1681,55,Karifa Yao,Centre-Back,19,Canada,1.88,-,2019-06-04,Montreal Impact Academy,31.12.2021,0.11,https://www.transfermarkt.com/karifa-yao/profil/spieler/677677
1682,55,Jukka Raitala,Left-Back,31,Finland,1.81,both,2017-12-13,Los Angeles FC,31.12.2020,0.65,https://www.transfermarkt.com/jukka-raitala/profil/spieler/47785
1683,55,Jorge Corrales,Left-Back,28,Cuba,1.79,left,2019-08-07,Chicago Fire FC,31.12.2020,0.43,https://www.transfermarkt.com/jorge-corrales/profil/spieler/210374
1684,55,Zachary Brault-Guillard,Right-Back,21,Canada,1.71,right,2020-01-25,Olympique Lyon B,31.12.2021,0.49,https://www.transfermarkt.com/zachary-brault-guillard/profil/spieler/395676
1685,55,Rod Fanni,Right-Back,38,France,1.86,right,2019-08-26,Without Club,31.12.2020,0.14,https://www.transfermarkt.com/rod-fanni/profil/spieler/5477
1686,55,Amar Sejdic,Midfielder,23,United States,1.79,-,2019-01-11,Maryland Terrapins (University of Maryland),31.12.2020,0.16,https://www.transfermarkt.com/amar-sejdic/profil/spieler/424993
1687,55,Victor Wanyama,Defensive Midfield,28,Kenya,1.84,right,2020-03-03,Tottenham Hotspur,31.12.2022,7.02,https://www.transfermarkt.com/victor-wanyama/profil/spieler/77760
1688,55,Samuel Piette,Defensive Midfield,25,Canada,1.71,right,2017-08-03,CD Izarra,31.12.2022,1.3,https://www.transfermarkt.com/samuel-piette/profil/spieler/189019
1689,55,Steeven Saba,Defensive Midfield,27,Haiti,1.7,-,2020-02-04,Violette Athletic Club,31.12.2020,0.16,https://www.transfermarkt.com/steeven-saba/profil/spieler/587902
1690,55,Saphir Taider,Central Midfield,28,Algeria,1.8,right,2020-01-01,Bologna FC 1909,31.12.2021,2.16,https://www.transfermarkt.com/saphir-taider/profil/spieler/144779
1691,55,Shamit Shome,Central Midfield,22,Canada,1.75,right,2017-01-13,Generation Adidas,31.12.2020,0.57,https://www.transfermarkt.com/shamit-shome/profil/spieler/423445
1692,55,Emanuel Maciel,Central Midfield,23,Argentina,1.8,left,2020-02-11,Club Atlético San Lorenzo de Almagro,-,0.16,https://www.transfermarkt.com/emanuel-maciel/profil/spieler/666330
1693,55,Romell Quioto,Left Winger,28,Honduras,1.8,right,2019-11-20,Houston Dynamo,31.12.2020,1.3,https://www.transfermarkt.com/romell-quioto/profil/spieler/221907
1694,55,Lassi Lappalainen,Left Winger,21,Finland,1.83,right,2019-07-25,Bologna FC 1909,30.06.2020,0.57,https://www.transfermarkt.com/lassi-lappalainen/profil/spieler/322993
1695,55,Ballou Tabla,Left Winger,21,Canada,1.74,right,2020-01-15,FC Barcelona B,-,0.49,https://www.transfermarkt.com/ballou-tabla/profil/spieler/408886
1696,55,Mathieu Choinière,Left Winger,21,Canada,1.75,-,2018-07-18,Montreal Impact Academy,31.12.2020,0.43,https://www.transfermarkt.com/mathieu-choiniere/profil/spieler/589006
1697,55,Orji Okwonkwo,Right Winger,22,Nigeria,1.78,right,2019-02-12,Bologna FC 1909,31.12.2020,0.97,https://www.transfermarkt.com/orji-okwonkwo/profil/spieler/401935
1698,55,Clement Bayiha,Right Winger,21,Canada,1.74,right,2019-01-01,Ottawa Fury FC,31.12.2020,0.35,https://www.transfermarkt.com/clement-bayiha/profil/spieler/589005
1699,55,Bojan Krkic,Second Striker,29,Spain,1.73,right,2019-08-07,Stoke City,31.12.2020,1.3,https://www.transfermarkt.com/bojan-krkic/profil/spieler/44675
1700,55,Maximiliano Urruti,Centre-Forward,29,Argentina,1.84,right,2018-12-09,FC Dallas,31.12.2020,1.03,https://www.transfermarkt.com/maximiliano-urruti/profil/spieler/193781
1701,55,Anthony Jackson-Hamel,Centre-Forward,26,Canada,1.82,-,2014-08-01,Montreal Impact Academy,31.12.2020,0.43,https://www.transfermarkt.com/anthony-jackson-hamel/profil/spieler/333093
