players_ID,team_ID,name,position,Age,Nat,Height,foot,dt_joined,prev_team,contract_expires,market_value,player_page
1755,58,Matt Turner,Goalkeeper,25,United States,1.91,-,2016-03-03,Fairfield Stags (Fairfield University),-,0.43,https://www.transfermarkt.com/matt-turner/profil/spieler/425306
1756,58,Brad Knighton,Goalkeeper,35,United States,1.87,right,2013-12-11,Vancouver Whitecaps FC,-,0.32,https://www.transfermarkt.com/brad-knighton/profil/spieler/59470
1757,58,Jeff Caldwell,Goalkeeper,24,United States,1.9,-,2019-11-25,New York City FC,31.12.2020,0.16,https://www.transfermarkt.com/jeff-caldwell/profil/spieler/336174
1758,58,Michael Mancienne,Centre-Back,32,England,1.84,right,2018-08-03,Nottingham Forest,31.12.2020,0.51,https://www.transfermarkt.com/michael-mancienne/profil/spieler/38100
1759,58,Antonio Delamea Mlinar,Centre-Back,28,Slovenia,1.86,right,2017-01-25,NK Olimpija Ljubljana,31.12.2020,0.51,https://www.transfermarkt.com/antonio-delamea-mlinar/profil/spieler/87214
1760,58,Henry Kessler,Centre-Back,21,United States,1.93,-,2020-01-09,Virginia Cavaliers (University of Virginia),-,0.05,https://www.transfermarkt.com/henry-kessler/profil/spieler/638732
1761,58,Alexander Büttner,Left-Back,31,Netherlands,1.74,left,2020-01-01,Without Club,-,0.7,https://www.transfermarkt.com/alexander-buttner/profil/spieler/38003
1762,58,Seth Sinovic,Left-Back,33,United States,1.78,right,2019-12-17,Sporting Kansas City,31.12.2020,0.43,https://www.transfermarkt.com/seth-sinovic/profil/spieler/144959
1763,58,Andrew Farrell,Right-Back,28,United States,1.8,right,2013-01-17,Louisville Cardinals (University of Louisville),31.12.2020,0.73,https://www.transfermarkt.com/andrew-farrell/profil/spieler/253616
1764,58,Brandon Bye,Right-Back,24,United States,1.8,-,2018-01-19,Western Michigan Broncos (Western Michigan Uni.),-,0.65,https://www.transfermarkt.com/brandon-bye/profil/spieler/562389
1765,58,Nicolas Firmino,Midfielder,19,Brazil,1.8,-,2019-01-01,New England Revolution Academy,-,0.05,https://www.transfermarkt.com/nicolas-firmino/profil/spieler/636422
1766,58,Damien Rivera,Midfielder,17,United States,1.78,-,2019-11-08,New England Revolution Academy,-,0.05,https://www.transfermarkt.com/damien-rivera/profil/spieler/722649
1767,58,Luis Caicedo,Defensive Midfield,23,Colombia,1.72,right,2019-01-01,Cortuluá,31.12.2020,0.81,https://www.transfermarkt.com/luis-caicedo/profil/spieler/426609
1768,58,Scott Caldwell,Central Midfield,29,United States,1.74,right,2012-12-21,Akron Zips (University of Akron),-,0.57,https://www.transfermarkt.com/scott-caldwell/profil/spieler/228117
1769,58,Wilfried Zahibo,Central Midfield,26,Central African Republic,1.91,right,2018-01-11,Gimnàstic de Tarragona,-,0.57,https://www.transfermarkt.com/wilfried-zahibo/profil/spieler/198529
1770,58,Kelyn Rowe,Central Midfield,28,United States,1.73,-,2019-12-04,Real Salt Lake City,31.12.2020,0.51,https://www.transfermarkt.com/kelyn-rowe/profil/spieler/183118
1771,58,Isaac Angking,Central Midfield,20,United States,m,-,2018-01-02,New England Revolution Academy,31.12.2020,0.11,https://www.transfermarkt.com/isaac-angking/profil/spieler/559599
1772,58,Carles Gil,Attacking Midfield,27,Spain,1.71,left,2019-01-30,Deportivo de La Coruña,31.12.2020,1.73,https://www.transfermarkt.com/carles-gil/profil/spieler/127987
1773,58,Diego Fagúndez,Left Winger,25,Uruguay,1.71,right,2010-11-01,New England Revolution Academy,31.12.2020,1.3,https://www.transfermarkt.com/diego-fagundez/profil/spieler/170100
1774,58,Cristian Penilla,Left Winger,29,Ecuador,1.74,right,2019-01-01,CF Pachuca,31.12.2020,1.08,https://www.transfermarkt.com/cristian-penilla/profil/spieler/212309
1775,58,DeJuan Jones,Left Winger,22,United States,1.75,-,2019-01-11,Michigan State Spartans (MI State University),31.12.2020,0.51,https://www.transfermarkt.com/dejuan-jones/profil/spieler/637146
1776,58,Tajon Buchanan,Right Winger,21,Canada,1.83,-,2019-01-11,Syracuse Orange (Syracuse University),-,0.35,https://www.transfermarkt.com/tajon-buchanan/profil/spieler/638793
1777,58,Gustavo Bou,Centre-Forward,30,Argentina,1.77,right,2019-07-10,Club Tijuana,31.12.2021,3.78,https://www.transfermarkt.com/gustavo-bou/profil/spieler/71608
1778,58,Adam Buksa,Centre-Forward,23,Poland,1.93,left,2020-01-01,Pogon Szczecin,31.12.2022,3.02,https://www.transfermarkt.com/adam-buksa/profil/spieler/267160
1779,58,Teal Bunbury,Centre-Forward,30,United States,1.88,both,2014-02-19,Sporting Kansas City,31.12.2020,0.86,https://www.transfermarkt.com/teal-bunbury/profil/spieler/141217
1780,58,Justin Rennicks,Centre-Forward,21,United States,1.72,-,2019-01-18,Indiana Hoosiers (Indiana University),-,0.19,https://www.transfermarkt.com/justin-rennicks/profil/spieler/368907
