players_ID,team_ID,name,position,Age,Nat,Height,foot,dt_joined,prev_team,contract_expires,market_value,player_page
2346,81,Cody Mizell,Goalkeeper,28,United States,1.83,-,2018-12-01,Tampa Bay Rowdies,30.11.2020,0.19,https://www.transfermarkt.com/cody-mizell/profil/spieler/297422
2347,81,Ben Beaury,Goalkeeper,23,United States,1.78,-,2018-12-19,Charlotte Independence,30.11.2020,0.08,https://www.transfermarkt.com/ben-beaury/profil/spieler/511761
2348,81,Philipp Beigl,Goalkeeper,27,Germany,1.87,right,2020-01-16,Without Club,30.11.2020,0.0,https://www.transfermarkt.com/philipp-beigl/profil/spieler/164439
2349,81,Josh Suggs,Centre-Back,31,United States,1.83,-,2018-12-01,Colorado Springs Switchbacks FC,30.11.2020,0.27,https://www.transfermarkt.com/josh-suggs/profil/spieler/179369
2350,81,Justin Schmidt,Centre-Back,26,United States,1.85,left,2018-12-05,Sacramento Republic FC,30.11.2020,0.22,https://www.transfermarkt.com/justin-schmidt/profil/spieler/482658
2351,81,Rashid Tetteh,Centre-Back,24,Ghana,1.83,-,2019-01-09,High Point Panthers (High Point University),30.11.2020,0.19,https://www.transfermarkt.com/rashid-tetteh/profil/spieler/509580
2352,81,Kalen Ryden,Left-Back,29,United States,1.88,-,2019-12-19,Real Monarchs SLC,30.11.2020,0.32,https://www.transfermarkt.com/kalen-ryden/profil/spieler/354841
2353,81,Austin Yearwood,Left-Back,25,United States,1.83,-,2018-12-01,Richmond Kickers,30.11.2020,0.16,https://www.transfermarkt.com/austin-yearwood/profil/spieler/429270
2354,81,Manny Padilla,Right-Back,24,United States,1.78,-,2019-03-07,Without Club,30.11.2020,0.19,https://www.transfermarkt.com/manny-padilla/profil/spieler/573937
2355,81,David Najem,Right-Back,27,Afghanistan,1.78,right,2020-01-31,Tampa Bay Rowdies,30.11.2020,0.14,https://www.transfermarkt.com/david-najem/profil/spieler/312901
2356,81,Joris Ahlinvi,Midfielder,24,Benin,1.79,-,2020-02-13,FC Cincinnati,30.11.2020,0.0,https://www.transfermarkt.com/joris-ahlinvi/profil/spieler/291215
2357,81,Sam Hamilton,Defensive Midfield,24,United States,1.84,-,2018-12-01,Colorado Rapids,30.11.2020,0.16,https://www.transfermarkt.com/sam-hamilton/profil/spieler/482619
2358,81,Andrew Tinari,Central Midfield,24,United States,1.68,right,2020-02-07,Tampa Bay Rowdies,30.11.2020,0.27,https://www.transfermarkt.com/andrew-tinari/profil/spieler/358855
2359,81,Juan Pablo Guzmán,Central Midfield,31,United States,1.75,-,2018-12-01,Oklahoma City Energy FC,30.11.2020,0.14,https://www.transfermarkt.com/juan-pablo-guzman/profil/spieler/170543
2360,81,Ryan Williams,Central Midfield,23,United States,1.75,-,2019-01-09,Golden Eagles (John Brown University),30.11.2020,0.11,https://www.transfermarkt.com/ryan-williams/profil/spieler/659755
2361,81,Chris Wehan,Left Midfield,26,United States,1.75,-,2019-02-14,San Jose Earthquakes,30.11.2020,0.3,https://www.transfermarkt.com/chris-wehan/profil/spieler/493305
2362,81,Saalih Muhammad,Attacking Midfield,24,United States,1.83,-,2019-02-21,Penn FC,30.11.2020,0.14,https://www.transfermarkt.com/saalih-muhammad/profil/spieler/410583
2363,81,Sammy Sergi,Forward,23,United States,1.88,-,2020-01-16,Xavier Musketeers (Xavier University),30.11.2020,0.0,https://www.transfermarkt.com/sammy-sergi/profil/spieler/737515
2364,81,Amando Moreno,Left Winger,24,United States,1.74,-,2020-01-01,Chicago Fire FC,30.11.2020,0.22,https://www.transfermarkt.com/amando-moreno/profil/spieler/253573
2365,81,Daniel Bruce,Right Winger,23,England,1.68,-,2019-02-27,Charlotte 49ers (UNC Charlotte),30.11.2020,0.11,https://www.transfermarkt.com/daniel-bruce/profil/spieler/637418
2366,81,Devon Sandoval,Centre-Forward,28,United States,1.86,right,2018-12-01,Atlanta United 2,30.11.2020,0.19,https://www.transfermarkt.com/devon-sandoval/profil/spieler/259724
2367,81,David Estrada,Centre-Forward,32,Mexico,1.74,right,2018-12-19,Tacoma Defiance,30.11.2020,0.19,https://www.transfermarkt.com/david-estrada/profil/spieler/140204
2368,81,Romeo Parkes,Centre-Forward,29,Jamaica,1.92,right,2020-01-08,Sligo Rovers,30.11.2020,0.19,https://www.transfermarkt.com/romeo-parkes/profil/spieler/259401
