players_ID,team_ID,name,position,Age,Nat,Height,foot,dt_joined,prev_team,contract_expires,market_value,player_page
2734,100,Kendall McIntosh,Goalkeeper,26,United States,1.8,-,-,-,-,0.27,https://www.transfermarkt.com/kendall-mcintosh/profil/spieler/189890
2735,100,Wallis Lapsley,Goalkeeper,23,United States,1.96,-,2020-03-03,Without Club,30.11.2020,0.0,https://www.transfermarkt.com/wallis-lapsley/profil/spieler/735119
2736,100,Roy Boateng,Defender,24,Ghana,1.88,-,2019-03-08,Without Club,30.11.2020,0.03,https://www.transfermarkt.com/roy-boateng/profil/spieler/644784
2737,100,Preston Kilwien,Centre-Back,23,United States,1.93,left,2019-03-08,FGCU Eagles (Florida Gulf Coast University),30.11.2020,0.14,https://www.transfermarkt.com/preston-kilwien/profil/spieler/657782
2738,100,Joe Fala,Centre-Back,22,United States,2.01,-,2020-03-05,Ramapo Roadrunners (Ramapo College NJ),30.11.2020,0.0,https://www.transfermarkt.com/joe-fala/profil/spieler/749175
2739,100,Edgardo Rito,Right-Back,24,Venezuela,1.74,right,2020-01-01,Yaracuyanos Fútbol Club,30.11.2020,0.19,https://www.transfermarkt.com/edgardo-rito/profil/spieler/308816
2740,100,Caden Clark,Midfielder,16,United States,1.8,-,2020-02-05,Barca Academy (Casa Grande),30.11.2020,0.0,https://www.transfermarkt.com/caden-clark/profil/spieler/742297
2741,100,Barry Sharifi,Midfielder,22,United States,1.78,-,2020-03-05,New York Red Bulls,30.11.2020,0.0,https://www.transfermarkt.com/barry-sharifi/profil/spieler/749172
2742,100,Cherif Dieye,Midfielder,22,Senegal,1.75,-,2020-03-02,Without Club,30.11.2020,0.0,https://www.transfermarkt.com/cherif-dieye/profil/spieler/637659
2743,100,Samad Bounthong,Midfielder,23,United States,1.78,-,2020-03-06,Marist Red Foxes (Marist College),30.11.2020,0.0,https://www.transfermarkt.com/samad-bounthong/profil/spieler/749795
2744,100,Kyle Zajec,Central Midfield,22,United States,1.8,-,2019-03-08,Georgetown Hoyas (Georgetown University),30.11.2020,0.16,https://www.transfermarkt.com/kyle-zajec/profil/spieler/367410
2745,100,Deri Corfe,Forward,22,England,1.83,-,2020-03-06,Without Club,30.11.2020,0.0,https://www.transfermarkt.com/deri-corfe/profil/spieler/735814
2746,100,Sebastian Elney,Centre-Forward,22,United States,1.82,-,2019-03-08,Maryland Terrapins (University of Maryland),30.11.2020,0.11,https://www.transfermarkt.com/sebastian-elney/profil/spieler/345625
2747,100,Omar Sowe,Centre-Forward,19,The Gambia,1.83,-,2019-08-16,New York Red Bulls Academy,30.11.2020,0.05,https://www.transfermarkt.com/omar-sowe/profil/spieler/696603
