players_ID,team_ID,name,position,Age,Nat,Height,foot,dt_joined,prev_team,contract_expires,market_value,player_page
2160,73,C.J. Cochran,Goalkeeper,28,United States,1.93,-,2019-12-20,Fresno FC,30.11.2020,0.27,https://www.transfermarkt.com/c-j-cochran/profil/spieler/367730
2161,73,Cody Laurendi,Goalkeeper,31,Puerto Rico,1.91,left,2016-01-20,Austin Aztex,30.11.2020,0.22,https://www.transfermarkt.com/cody-laurendi/profil/spieler/157017
2162,73,Kyle Ihn,Goalkeeper,25,United States,1.88,-,2020-01-10,Lansing Ignite FC,30.11.2020,0.05,https://www.transfermarkt.com/kyle-ihn/profil/spieler/576567
2163,73,Christian Ibeagha,Centre-Back,30,Nigeria,1.88,-,2018-01-15,North Carolina FC,30.11.2020,0.22,https://www.transfermarkt.com/christian-ibeagha/profil/spieler/216844
2164,73,Atiba Harris,Centre-Back,35,St. Kitts & Nevis,1.94,left,2018-07-10,Murciélagos FC,30.11.2020,0.16,https://www.transfermarkt.com/atiba-harris/profil/spieler/39415
2165,73,Nicolas Taravel,Centre-Back,25,France,1.9,left,2019-01-24,Grenoble Foot 38,30.11.2020,0.14,https://www.transfermarkt.com/nicolas-taravel/profil/spieler/395398
2166,73,Kyle Hyland,Left-Back,29,United States,1.7,left,2016-01-28,Indy Eleven,30.11.2020,0.16,https://www.transfermarkt.com/kyle-hyland/profil/spieler/261684
2167,73,Zachary Ellis-Hayden,Right-Back,28,Canada,1.77,right,2019-12-18,Fresno FC,30.11.2020,0.22,https://www.transfermarkt.com/zachary-ellis-hayden/profil/spieler/423456
2168,73,Joe Amico,Right-Back,25,United States,1.83,-,2020-01-07,Orange County SC,30.11.2020,0.19,https://www.transfermarkt.com/joe-amico/profil/spieler/483017
2169,73,Ray Saari,Defensive Midfield,25,United States,1.68,-,2020-02-03,Sacramento Republic FC,30.11.2020,0.16,https://www.transfermarkt.com/ray-saari/profil/spieler/496853
2170,73,Brad Dunwell,Defensive Midfield,23,United States,1.73,-,2020-01-10,Rio Grande Valley FC Toros,30.11.2020,0.08,https://www.transfermarkt.com/brad-dunwell/profil/spieler/510588
2171,73,Rafael García,Central Midfield,31,United States,1.68,both,2019-01-07,Las Vegas Lights FC,30.11.2020,0.3,https://www.transfermarkt.com/rafael-garcia/profil/spieler/218048
2172,73,Charlie Ward,Central Midfield,25,England,1.73,-,2020-01-14,Ottawa Fury FC,30.11.2020,0.22,https://www.transfermarkt.com/charlie-ward/profil/spieler/259892
2173,73,Cordell Cato,Left Midfield,27,Trinidad and Tobago,1.75,right,2019-01-09,Charlotte Independence,30.11.2020,0.27,https://www.transfermarkt.com/cordell-cato/profil/spieler/155835
2174,73,Arun Basuljevic,Left Midfield,24,United States,1.78,right,2019-12-17,Fresno FC,30.11.2020,0.16,https://www.transfermarkt.com/arun-basuljevic/profil/spieler/375561
2175,73,José Hernández,Attacking Midfield,24,United States,1.6,-,2019-12-19,Los Angeles Galaxy II,30.11.2020,0.16,https://www.transfermarkt.com/jose-hernandez/profil/spieler/367569
2176,73,Kodai Iida,Attacking Midfield,25,Japan,1.72,left,2019-12-18,HFX Wanderers FC,30.11.2020,0.16,https://www.transfermarkt.com/kodai-iida/profil/spieler/654285
2177,73,Tucker Stephenson,Forward,23,United States,1.8,right,2020-01-14,Sporting Kansas City II,30.11.2020,0.05,https://www.transfermarkt.com/tucker-stephenson/profil/spieler/688523
2178,73,Jonathan Brown,Left Winger,30,Wales,1.8,right,2019-06-06,Hartford Athletic,30.11.2020,0.16,https://www.transfermarkt.com/jonathan-brown/profil/spieler/54519
2179,73,Owayne Gordon,Right Winger,28,Jamaica,1.75,-,2019-01-14,Montego Bay United FC,30.11.2020,0.24,https://www.transfermarkt.com/owayne-gordon/profil/spieler/369768
2180,73,Jaime Chávez,Centre-Forward,32,United States,1.81,-,2019-12-19,Fresno FC,30.11.2020,0.32,https://www.transfermarkt.com/jaime-chavez/profil/spieler/321572
2181,73,Frank López,Centre-Forward,25,Cuba,1.75,-,2020-01-13,Los Angeles Galaxy II,30.11.2020,0.27,https://www.transfermarkt.com/frank-lopez/profil/spieler/354564
