players_ID,team_ID,name,position,Age,Nat,Height,foot,dt_joined,prev_team,contract_expires,market_value,player_page
1216,38,Rodrigo Viana,Goalkeeper,30,Brazil,1.82,left,2019-08-08,Botafogo Futebol Clube (SP),-,0.22,https://www.transfermarkt.com/rodrigo-viana/profil/spieler/375811
1217,38,Thiago Braga,Goalkeeper,36,Brazil,1.87,right,2019-01-21,América Futebol Clube (RN),31.12.2020,0.0,https://www.transfermarkt.com/thiago-braga/profil/spieler/20400
1218,38,Matheus,Goalkeeper,24,Brazil,1.9,-,-,-,-,0.0,https://www.transfermarkt.com/matheus/profil/spieler/626699
1219,38,André Luiz,Goalkeeper,23,Brazil,1.9,right,2020-01-16,Toledo Colonia Work (PR),-,0.0,https://www.transfermarkt.com/andre-luiz/profil/spieler/668515
1220,38,Fabrício,Goalkeeper,20,Brazil,m,-,-,-,-,0.0,https://www.transfermarkt.com/fabricio/profil/spieler/723186
1221,38,Henrique,Goalkeeper,20,Brazil,m,-,2020-01-14,AA Ponte Preta U20,-,0.0,https://www.transfermarkt.com/henrique/profil/spieler/736963
1222,38,Bonfim,Centre-Back,28,Brazil,1.88,right,2020-01-14,Kalteng Putra FC,-,0.3,https://www.transfermarkt.com/bonfim/profil/spieler/211300
1223,38,Juan Sosa,Centre-Back,34,Uruguay,1.83,right,2014-12-31,Esporte Clube Novo Hamburgo (RS),08.12.2020,0.0,https://www.transfermarkt.com/juan-sosa/profil/spieler/538262
1224,38,Fernando,Centre-Back,20,Brazil,m,-,-,-,-,0.0,https://www.transfermarkt.com/fernando/profil/spieler/689744
1225,38,Zemarcio,Centre-Back,19,Brazil,m,-,-,-,-,0.0,https://www.transfermarkt.com/zemarcio/profil/spieler/740386
1226,38,Cristhian Aguada,Left-Back,27,Paraguay,1.69,left,2020-01-10,Deportivo Capiatá,-,0.0,https://www.transfermarkt.com/cristhian-aguada/profil/spieler/416036
1227,38,Peixoto,Left-Back,36,Brazil,1.86,left,2017-04-30,Clube Atlético Linense (SP),31.12.2020,0.0,https://www.transfermarkt.com/peixoto/profil/spieler/538255
1228,38,Danilo,Left-Back,28,Brazil,m,left,2020-01-01,América Futebol Clube (RN),-,0.0,https://www.transfermarkt.com/danilo/profil/spieler/628523
1229,38,Sávio,Right-Back,23,Brazil,1.68,right,2020-01-14,Coritiba Foot Ball Club,30.11.2020,0.0,https://www.transfermarkt.com/savio/profil/spieler/554996
1230,38,Jardel,Defensive Midfield,33,Brazil,1.76,right,2018-12-06,Londrina Esporte Clube (PR),08.12.2020,0.05,https://www.transfermarkt.com/jardel/profil/spieler/112478
1231,38,Jorge Jiménez,Defensive Midfield,27,Paraguay,m,-,2020-01-31,Clube Náutico Capibaribe,-,0.0,https://www.transfermarkt.com/jorge-jimenez/profil/spieler/539365
1232,38,Fábio,Defensive Midfield,22,Brazil,m,right,2019-09-19,Ypiranga Futebol Clube (RS),-,0.0,https://www.transfermarkt.com/fabio/profil/spieler/554986
1233,38,Douglas,Defensive Midfield,19,Brazil,m,-,-,-,-,0.0,https://www.transfermarkt.com/douglas/profil/spieler/740380
1234,38,Tomás Bastos,Central Midfield,28,Brazil,1.75,left,2020-01-13,Paysandu Sport Club,-,0.43,https://www.transfermarkt.com/tomas-bastos/profil/spieler/349161
1235,38,Julinho,Left Midfield,33,Brazil,1.84,left,2020-02-19,Avaí Futebol Clube (SC),-,0.27,https://www.transfermarkt.com/julinho/profil/spieler/177545
1236,38,Cleyton,Attacking Midfield,30,Brazil,1.72,right,2020-01-16,Associação Atlética Santa Rita (AL),-,0.49,https://www.transfermarkt.com/cleyton/profil/spieler/236549
1237,38,Rafael Chorão,Attacking Midfield,31,Brazil,1.82,right,2019-04-19,Clube Atlético Bragantino (SP),-,0.16,https://www.transfermarkt.com/rafael-chorao/profil/spieler/163710
1238,38,Régis Potiguar,Attacking Midfield,27,Brazil,1.88,right,2020-01-06,AD São Caetano (SP),-,0.0,https://www.transfermarkt.com/regis-potiguar/profil/spieler/265654
1239,38,Héctor Bustamante,Right Winger,25,Paraguay,1.64,left,2020-01-27,Esporte Clube Novo Hamburgo (RS),-,0.43,https://www.transfermarkt.com/hector-bustamante/profil/spieler/390803
1240,38,Jean Carlo,Right Winger,26,Brazil,1.75,left,2017-06-01,S.E.R. Caxias do Sul (RS),-,0.0,https://www.transfermarkt.com/jean-carlo/profil/spieler/538259
1241,38,Eduardo,Right Winger,31,Brazil,1.76,left,2019-03-06,Red Bull Brasil (SP),31.12.2020,0.0,https://www.transfermarkt.com/eduardo/profil/spieler/614153
1242,38,Douglas Coutinho,Centre-Forward,26,Brazil,1.83,right,2020-01-16,Club Athletico Paranaense,-,0.51,https://www.transfermarkt.com/douglas-coutinho/profil/spieler/269116
1243,38,Schumacher,Centre-Forward,33,Brazil,1.92,left,2016-04-19,Clube Atlético Linense (SP),-,0.0,https://www.transfermarkt.com/schumacher/profil/spieler/44662
1244,38,Lucas Batatinha,Centre-Forward,29,Brazil,1.8,right,-,-,-,0.0,https://www.transfermarkt.com/lucas-batatinha/profil/spieler/537219
1245,38,Jefinho,Centre-Forward,25,Brazil,1.85,right,2020-01-15,Cuiabá Esporte Clube (MT),-,0.0,https://www.transfermarkt.com/jefinho/profil/spieler/663087
1246,38,João Vitor,Centre-Forward,19,Brazil,m,-,-,-,-,0.0,https://www.transfermarkt.com/joao-vitor/profil/spieler/723188
1247,38,Alemão,Centre-Forward,17,Brazil,m,-,-,-,-,0.0,https://www.transfermarkt.com/alemao/profil/spieler/740379
