players_ID,team_ID,name,position,Age,Nat,Height,foot,dt_joined,prev_team,contract_expires,market_value,player_page
2954,111,Austin Aviza,Goalkeeper,23,United States,1.88,-,2020-03-03,Without Club,-,0.0,https://www.transfermarkt.com/austin-aviza/profil/spieler/313571
2955,111,Russell Robles,Goalkeeper,16,United States,m,-,2020-03-03,Orlando City Academy,-,0.0,https://www.transfermarkt.com/russell-robles/profil/spieler/750524
2956,111,Javier Otero,Goalkeeper,17,Spain,m,-,2020-03-03,Orlando City Academy,-,0.0,https://www.transfermarkt.com/javier-otero/profil/spieler/750807
2957,111,Michael Halliday,Defender,17,United States,m,-,2020-03-03,Orlando City Academy,-,0.0,https://www.transfermarkt.com/michael-halliday/profil/spieler/750532
2958,111,Owen Guske,Defender,18,United States,m,-,2020-03-03,Orlando City Academy,-,0.0,https://www.transfermarkt.com/owen-guske/profil/spieler/750534
2959,111,Mason Lamb,Defender,19,United States,m,-,2020-03-03,Orlando City Academy,-,0.0,https://www.transfermarkt.com/mason-lamb/profil/spieler/750535
2960,111,Franklin Carabalí,Centre-Back,23,Ecuador,m,-,2020-03-03,CD América de Quito,-,0.32,https://www.transfermarkt.com/franklin-carabali/profil/spieler/343679
2961,111,Mateo Rodas,Centre-Back,22,Colombia,1.86,-,2020-01-01,Tigres FC,-,0.16,https://www.transfermarkt.com/mateo-rodas/profil/spieler/653667
2962,111,Thomas Williams,Centre-Back,15,United States,m,-,2020-03-03,Orlando City Academy,-,0.0,https://www.transfermarkt.com/thomas-williams/profil/spieler/746834
2963,111,Daniel Rosario,Centre-Back,18,Puerto Rico,m,-,2020-03-03,Orlando City Academy,30.11.2020,0.0,https://www.transfermarkt.com/daniel-rosario/profil/spieler/750533
2964,111,Nick O'Callaghan,Centre-Back,23,United States,1.83,left,2020-03-03,FIU Panthers (Florida International University),-,0.0,https://www.transfermarkt.com/nick-ocallaghan/profil/spieler/752639
2965,111,Juan Pablo Monticelli,Left-Back,22,United States,1.87,left,2020-03-03,Without Club,-,0.0,https://www.transfermarkt.com/juan-pablo-monticelli/profil/spieler/564217
2966,111,Jonathan Rosales,Left-Back,21,El Salvador,1.73,left,2020-03-01,South Florida Bulls (University of South Florida),-,0.0,https://www.transfermarkt.com/jonathan-rosales/profil/spieler/747619
2967,111,Juan Ramos,Right-Back,18,Venezuela,m,right,2020-03-03,Orlando City Academy,-,0.0,https://www.transfermarkt.com/juan-ramos/profil/spieler/750538
2968,111,Teddy Ndje,Midfielder,18,United States,m,-,2020-03-03,Club Atlético Banfield U20,-,0.0,https://www.transfermarkt.com/teddy-ndje/profil/spieler/752640
2969,111,Austin Amer,Defensive Midfield,20,United States,1.85,-,2019-02-20,Barca Academy (Casa Grande),-,0.14,https://www.transfermarkt.com/austin-amer/profil/spieler/654130
2970,111,Raul Aguilera Jr.,Defensive Midfield,20,United States,1.67,-,2020-03-03,North Carolina Tar Heels (University of NC),-,0.0,https://www.transfermarkt.com/raul-aguilera-jr-/profil/spieler/368904
2971,111,Adam Ozeri,Central Midfield,22,United States,1.87,-,2020-03-03,Club Ferro Carril Oeste II,-,0.03,https://www.transfermarkt.com/adam-ozeri/profil/spieler/706679
2972,111,Ignacio Poplawski,Central Midfield,22,Argentina,m,-,2020-01-09,Club Estudiantes de La Plata II,-,0.0,https://www.transfermarkt.com/ignacio-poplawski/profil/spieler/752642
2973,111,Wilfredo Rivera,Left Midfield,16,Puerto Rico,m,-,2020-03-03,Orlando City Academy,30.11.2020,0.0,https://www.transfermarkt.com/wilfredo-rivera/profil/spieler/750537
2974,111,Julian Kennedy,Forward,17,United States,m,-,2020-03-03,Orlando City Academy,-,0.0,https://www.transfermarkt.com/julian-kennedy/profil/spieler/750536
2975,111,Fablo Dos Santos Oliveira,Forward,21,Brazil,m,-,2020-03-03,Barra da Tijuca Futebol Clube (RJ),-,0.0,https://www.transfermarkt.com/fablo-dos-santos-oliveira/profil/spieler/752643
2976,111,Kenji Tanaka De Paula,Right Winger,19,Brazil,m,left,2020-03-03,Orlando City Academy,-,0.0,https://www.transfermarkt.com/kenji-tanaka-de-paula/profil/spieler/750539
2977,111,Aleksandar Gluvačević,Centre-Forward,22,United States,1.95,right,2019-12-29,OFK Vrsac,-,0.0,https://www.transfermarkt.com/aleksandar-gluva%C4%8Devi%C4%87/profil/spieler/752641
