players_ID,team_ID,name,position,Age,Nat,Height,foot,dt_joined,prev_team,contract_expires,market_value,player_page
1151,36,Marcão,Goalkeeper,26,Brazil,1.84,-,2020-01-22,Goiás Esporte Clube,-,0.43,https://www.transfermarkt.com/marcao/profil/spieler/351229
1152,36,Alisson,Goalkeeper,24,Brazil,1.9,-,2019-02-15,Figueirense Futebol Clube,-,0.11,https://www.transfermarkt.com/alisson/profil/spieler/375532
1153,36,Filipe,Goalkeeper,22,Brazil,1.94,right,2020-02-20,Sport Club Corinthians Paulista,31.12.2020,0.05,https://www.transfermarkt.com/filipe/profil/spieler/403346
1154,36,Filipe,Goalkeeper,22,Brazil,1.93,left,2020-01-01,Paraná Clube B,-,0.0,https://www.transfermarkt.com/filipe/profil/spieler/542203
1155,36,Fabrício,Centre-Back,30,Brazil,1.87,left,2019-10-07,Tiburones Rojos de Veracruz,-,0.86,https://www.transfermarkt.com/fabricio/profil/spieler/86917
1156,36,Thales,Centre-Back,27,Brazil,1.86,right,2020-01-16,Sport Club Internacional,-,0.32,https://www.transfermarkt.com/thales/profil/spieler/290500
1157,36,Éverson,Centre-Back,22,Brazil,1.87,left,2020-02-20,Esporte Clube Bahia,-,0.22,https://www.transfermarkt.com/everson/profil/spieler/468253
1158,36,Andre Ribeiro Morosini,Centre-Back,31,Brazil,1.86,right,2018-07-01,Clube Esportivo Dom Bosco (MT),-,0.0,https://www.transfermarkt.com/andre-ribeiro-morosini/profil/spieler/493553
1159,36,Clau,Centre-Back,21,Brazil,m,-,2020-01-01,Paraná Clube B,-,0.0,https://www.transfermarkt.com/clau/profil/spieler/689741
1160,36,Carlos Gabriel,Left-Back,21,Brazil,1.79,left,2020-01-16,Clube Atlético Mineiro,-,0.05,https://www.transfermarkt.com/carlos-gabriel/profil/spieler/589862
1161,36,Juninho,Left-Back,24,Brazil,1.77,-,2018-08-21,Without Club,-,0.0,https://www.transfermarkt.com/juninho/profil/spieler/554947
1162,36,Cristóvam,Right-Back,29,Brazil,1.76,right,2017-05-01,Arapongas Esporte Clube (PR),10.12.2020,0.32,https://www.transfermarkt.com/cristovam/profil/spieler/278402
1163,36,Paulo Henrique,Right-Back,23,Brazil,1.75,right,2020-01-08,Clube Atlético Tubarão (SC),-,0.05,https://www.transfermarkt.com/paulo-henrique/profil/spieler/412594
1164,36,Luan Scapolan,Defensive Midfield,31,Brazil,1.83,right,2019-05-01,Without Club,-,0.59,https://www.transfermarkt.com/luan-scapolan/profil/spieler/144788
1165,36,Kazu,Defensive Midfield,20,Brazil,1.8,right,2020-01-15,Tombense Futebol Clube (MG),31.12.2020,0.38,https://www.transfermarkt.com/kazu/profil/spieler/439651
1166,36,Jhony,Defensive Midfield,23,Brazil,1.78,-,2017-07-01,Paraná Clube U19,-,0.32,https://www.transfermarkt.com/jhony/profil/spieler/468167
1167,36,Keslley,Defensive Midfield,20,Brazil,m,-,2020-02-13,Tombense Futebol Clube (MG),-,0.0,https://www.transfermarkt.com/keslley/profil/spieler/633364
1168,36,Carlos Dias,Defensive Midfield,20,Brazil,m,-,-,-,31.12.2021,0.0,https://www.transfermarkt.com/carlos-dias/profil/spieler/738527
1169,36,Kaio,Central Midfield,25,Brazil,1.73,right,2020-01-13,Grêmio Foot-Ball Porto Alegrense,-,0.11,https://www.transfermarkt.com/kaio/profil/spieler/405727
1170,36,Renan Bressan,Attacking Midfield,31,Belarus,1.82,both,2020-02-03,Cuiabá Esporte Clube (MT),-,0.65,https://www.transfermarkt.com/renan-bressan/profil/spieler/66008
1171,36,Dudu,Attacking Midfield,21,Brazil,1.7,right,2020-01-08,Club de Regatas Vasco da Gama U20,-,0.05,https://www.transfermarkt.com/dudu/profil/spieler/594201
1172,36,Michel Borges,Attacking Midfield,20,Brazil,1.78,right,2020-01-15,Cruzeiro Esporte Clube B,-,0.05,https://www.transfermarkt.com/michel-borges/profil/spieler/625619
1173,36,Thiago Alves,Attacking Midfield,20,Brazil,m,-,2020-01-01,Paraná Clube B,-,0.0,https://www.transfermarkt.com/thiago-alves/profil/spieler/688670
1174,36,Marcelo,Forward,22,Brazil,1.79,right,2020-01-15,Cruzeiro Esporte Clube B,-,0.0,https://www.transfermarkt.com/marcelo/profil/spieler/323890
1175,36,Gustavo Silva,Left Winger,22,Brazil,1.69,right,2020-01-10,Sport Club Corinthians Paulista,31.12.2020,0.05,https://www.transfermarkt.com/gustavo-silva/profil/spieler/636314
1176,36,Raphael Alemão,Right Winger,23,Brazil,1.8,right,-,-,-,0.43,https://www.transfermarkt.com/raphael-alemao/profil/spieler/579354
1177,36,Kennidy,Right Winger,20,Brazil,1.75,right,2020-01-01,Paraná Clube U19,31.12.2020,0.0,https://www.transfermarkt.com/kennidy/profil/spieler/620365
1178,36,Rafael Furtado,Centre-Forward,20,Brazil,1.8,right,-,-,-,0.0,https://www.transfermarkt.com/rafael-furtado/profil/spieler/547943
1179,36,Andrey,Centre-Forward,19,Brazil,1.82,-,2018-08-01,Paraná Clube U19,31.12.2022,0.0,https://www.transfermarkt.com/andrey/profil/spieler/624630
1180,36,Rodrigo Rodrigues,Centre-Forward,23,Brazil,m,-,2020-01-24,ABC Futebol Clube (RN),-,0.0,https://www.transfermarkt.com/rodrigo-rodrigues/profil/spieler/638262
