players_ID,team_ID,name,position,Age,Nat,Height,foot,dt_joined,prev_team,contract_expires,market_value,player_page
2509,88,Tomás Gómez,Goalkeeper,26,United States,1.86,-,2020-03-04,Without Club,30.11.2020,0.22,https://www.transfermarkt.com/tomas-gomez/profil/spieler/253761
2510,88,Danny Vitiello,Goalkeeper,24,United States,1.85,-,2020-02-25,Nashville SC,30.11.2020,0.03,https://www.transfermarkt.com/danny-vitiello/profil/spieler/585908
2511,88,Anthony Mwembia,Goalkeeper,24,France,m,-,2020-01-16,Bowling Green Falcons (Bowling Green State Uni.),30.11.2020,0.0,https://www.transfermarkt.com/anthony-mwembia/profil/spieler/510595
2512,88,Mark Lindström,Defender,24,Sweden,1.91,-,2020-01-16,UNC Wilmington Seahawks (UNC Wilmington),30.11.2020,0.0,https://www.transfermarkt.com/mark-lindstrom/profil/spieler/636990
2513,88,Patrick Bunk-Andersen,Centre-Back,25,Denmark,1.88,-,2020-03-10,Without Club,30.11.2020,0.19,https://www.transfermarkt.com/patrick-bunk-andersen/profil/spieler/335105
2514,88,Dakota Barnathan,Centre-Back,25,United States,1.88,right,2020-03-03,Without Club,30.11.2020,0.16,https://www.transfermarkt.com/dakota-barnathan/profil/spieler/248109
2515,88,Skylar Thomas,Centre-Back,26,Canada,1.93,-,2020-02-25,Valour FC,30.11.2020,0.16,https://www.transfermarkt.com/skylar-thomas/profil/spieler/354907
2516,88,Hunter Ashworth,Centre-Back,22,New Zealand,1.95,-,2020-03-10,Santa Barbara Gauchos (Uni. of CAL Santa Barbara),30.11.2020,0.03,https://www.transfermarkt.com/hunter-ashworth/profil/spieler/400790
2517,88,Xhelil Asani,Left-Back,24,North Macedonia,1.87,left,2020-01-28,SKA Khabarovsk,30.11.2020,0.22,https://www.transfermarkt.com/xhelil-asani/profil/spieler/390956
2518,88,Ryan James,Left-Back,26,Canada,1.76,-,2018-12-01,Nashville SC,30.11.2020,0.22,https://www.transfermarkt.com/ryan-james/profil/spieler/436288
2519,88,Dani Rovira,Left-Back,23,Colombia,1.75,-,2019-03-08,Vermont Catamounts (University of Vermont),30.11.2020,0.08,https://www.transfermarkt.com/dani-rovira/profil/spieler/666874
2520,88,Jordan Dover,Right-Back,25,Guyana,1.73,-,2017-12-19,Rochester Rhinos,30.11.2020,0.22,https://www.transfermarkt.com/jordan-dover/profil/spieler/488393
2521,88,Tony Walls,Right-Back,30,United States,1.75,-,2020-01-15,Chattanooga Red Wolves SC,30.11.2020,0.16,https://www.transfermarkt.com/tony-walls/profil/spieler/220631
2522,88,Danny Griffin,Midfielder,21,United States,1.75,-,2020-03-03,Without Club,30.11.2020,0.0,https://www.transfermarkt.com/danny-griffin/profil/spieler/735817
2523,88,Thomas Vancaeyezeele,Defensive Midfield,25,French Guiana,1.7,-,2018-03-14,Charleston Golden Eagles (Uni. of Charleston),30.11.2020,0.27,https://www.transfermarkt.com/thomas-vancaeyezeele/profil/spieler/573118
2524,88,Kenardo Forbes,Central Midfield,31,Jamaica,1.75,right,2017-12-21,Rochester Rhinos,30.11.2020,0.3,https://www.transfermarkt.com/kenardo-forbes/profil/spieler/212235
2525,88,Anthony Velarde,Right Midfield,24,United States,1.7,-,2019-01-14,Fresno Pacific Sunbirds (Fresno Pacific Uni.),30.11.2020,0.16,https://www.transfermarkt.com/anthony-velarde/profil/spieler/645768
2526,88,Robbie Mertz,Left Midfield,23,United States,1.7,-,2019-03-29,Without Club,30.11.2020,0.16,https://www.transfermarkt.com/robbie-mertz/profil/spieler/636838
2527,88,Lukas Fernandes,Forward,22,United States,1.78,right,2019-12-19,Temple Owls (Temple University),30.11.2020,0.0,https://www.transfermarkt.com/lukas-fernandes/profil/spieler/731451
2528,88,Steevan Dos Santos,Centre-Forward,30,Cape Verde,1.95,right,2019-01-08,Ottawa Fury FC,30.11.2020,0.3,https://www.transfermarkt.com/steevan-dos-santos/profil/spieler/223449
2529,88,Ropapa Mensah,Centre-Forward,22,Ghana,1.85,both,2020-01-29,Nashville SC,30.11.2020,0.19,https://www.transfermarkt.com/ropapa-mensah/profil/spieler/399705
2530,88,Mark Forrest,Centre-Forward,23,England,1.91,-,2019-03-29,Without Club,30.11.2020,0.08,https://www.transfermarkt.com/mark-forrest/profil/spieler/676608
