players_ID,team_ID,name,position,Age,Nat,Height,foot,dt_joined,prev_team,contract_expires,market_value,player_page
2573,91,Jake Leeker,Goalkeeper,24,United States,1.96,right,2019-01-30,Real Monarchs SLC,30.11.2020,0.16,https://www.transfermarkt.com/jake-leeker/profil/spieler/564222
2574,91,Williams Velásquez,Centre-Back,23,Venezuela,1.88,right,2020-03-05,Watford FC U23,30.11.2020,0.32,https://www.transfermarkt.com/williams-velasquez/profil/spieler/428031
2575,91,Jacob Hauser-Ramsey,Centre-Back,24,United States,1.9,-,2020-03-05,Without Club,30.11.2020,0.14,https://www.transfermarkt.com/jacob-hauser-ramsey/profil/spieler/501883
2576,91,Max Ornstil,Centre-Back,26,United States,1.83,-,2017-03-17,Without Club,30.11.2020,0.11,https://www.transfermarkt.com/max-ornstil/profil/spieler/495893
2577,91,Niko de Vera,Left-Back,23,Philippines,1.65,-,2019-01-30,New York Red Bulls II,30.11.2020,0.16,https://www.transfermarkt.com/niko-de-vera/profil/spieler/562495
2578,91,Aedan Stanley,Left-Back,20,United States,1.8,-,2020-03-05,Duke Blue Devils (Duke University),30.11.2020,0.14,https://www.transfermarkt.com/aedan-stanley/profil/spieler/405214
2579,91,Pablo Bonilla,Right-Back,20,Venezuela,1.73,right,2020-01-28,Deportivo La Guaira,30.11.2020,0.38,https://www.transfermarkt.com/pablo-bonilla/profil/spieler/486174
2580,91,Harold Hanson,Right-Back,20,United States,1.75,-,2017-03-17,FC Golden State Force,30.11.2020,0.19,https://www.transfermarkt.com/harold-hanson/profil/spieler/370842
2581,91,Ken Krolicki,Central Midfield,24,Japan,1.78,-,2020-01-15,Montreal Impact,30.11.2020,0.43,https://www.transfermarkt.com/ken-krolicki/profil/spieler/570049
2582,91,Carlos Anguiano,Central Midfield,20,United States,1.73,-,2019-01-30,Timbers Academy,30.11.2020,0.16,https://www.transfermarkt.com/carlos-anguiano/profil/spieler/523683
2583,91,Aaron Molloy,Central Midfield,23,Ireland,1.8,-,2020-03-05,Without Club,30.11.2020,0.0,https://www.transfermarkt.com/aaron-molloy/profil/spieler/428901
2584,91,Jorge Gonzalez,Forward,21,Spain,1.8,-,2020-03-05,Without Club,30.11.2020,0.0,https://www.transfermarkt.com/jorge-gonzalez/profil/spieler/735795
2585,91,Marcus Epps,Right Winger,25,United States,1.83,-,2020-01-15,New York Red Bulls,30.11.2020,0.32,https://www.transfermarkt.com/marcus-epps/profil/spieler/482646
2586,91,Ryan Sierakowski,Right Winger,22,United States,1.85,-,2019-03-01,Portland Timbers,30.11.2020,0.19,https://www.transfermarkt.com/ryan-sierakowski/profil/spieler/509907
2587,91,Giovanni Calixtro,Centre-Forward,19,United States,1.8,-,2020-01-15,Timbers Academy,30.11.2020,0.16,https://www.transfermarkt.com/giovanni-calixtro/profil/spieler/513282
