players_ID,team_ID,name,position,Age,Nat,Height,foot,dt_joined,prev_team,contract_expires,market_value,player_page
1512,49,Jeff Attinella,Goalkeeper,31,United States,1.88,-,2017-01-01,Minnesota United FC,-,0.57,https://www.transfermarkt.com/jeff-attinella/profil/spieler/179323
1513,49,Steve Clark,Goalkeeper,34,United States,1.9,right,2018-08-17,D.C. United,31.12.2020,0.43,https://www.transfermarkt.com/steve-clark/profil/spieler/141704
1514,49,Aljaz Ivacic,Goalkeeper,26,Slovenia,1.88,right,2019-01-18,NK Olimpija Ljubljana,-,0.22,https://www.transfermarkt.com/aljaz-ivacic/profil/spieler/231923
1515,49,Larrys Mabiala,Centre-Back,32,DR Congo,1.89,right,2017-07-10,Kayserispor,-,0.78,https://www.transfermarkt.com/larrys-mabiala/profil/spieler/55366
1516,49,Dario Zuparic,Centre-Back,28,Croatia,1.88,right,2020-01-01,HNK Rijeka,31.12.2021,0.7,https://www.transfermarkt.com/dario-zuparic/profil/spieler/165381
1517,49,Bill Tuiloma,Centre-Back,25,New Zealand,1.82,right,2017-07-26,Olympique Marseille,-,0.7,https://www.transfermarkt.com/bill-tuiloma/profil/spieler/172333
1518,49,Julio Cascante,Centre-Back,26,Costa Rica,1.86,right,2018-01-02,Deportivo Saprissa,-,0.43,https://www.transfermarkt.com/julio-cascante/profil/spieler/194909
1519,49,Jorge Villafaña,Left-Back,30,United States,1.75,left,2018-08-08,Santos Laguna,-,0.86,https://www.transfermarkt.com/jorge-villafana/profil/spieler/59531
1520,49,Marco Farfán,Left-Back,21,United States,1.78,left,2017-01-01,Portland Timbers 2,-,0.27,https://www.transfermarkt.com/marco-farfan/profil/spieler/429443
1521,49,Jorge Moreira,Right-Back,30,Paraguay,1.74,right,2019-02-20,Club Atlético River Plate,30.06.2020,1.3,https://www.transfermarkt.com/jorge-moreira/profil/spieler/139439
1522,49,Chris Duvall,Right-Back,28,United States,1.78,right,2020-02-25,Without Club,-,0.32,https://www.transfermarkt.com/chris-duvall/profil/spieler/307887
1523,49,Blake Bodily,Midfielder,22,United States,1.75,-,2020-01-24,Washington Huskies (University of Washington),31.12.2020,0.11,https://www.transfermarkt.com/blake-bodily/profil/spieler/381026
1524,49,Cristhian Paredes,Central Midfield,21,Paraguay,1.83,-,2020-02-06,CF América,-,0.57,https://www.transfermarkt.com/cristhian-paredes/profil/spieler/401728
1525,49,Diego Chará,Central Midfield,34,Colombia,1.7,right,2011-04-14,Deportes Tolima,-,0.43,https://www.transfermarkt.com/diego-chara/profil/spieler/77163
1526,49,Eryk Williamson,Central Midfield,22,United States,1.75,-,2018-01-23,Maryland Terrapins (University of Maryland),-,0.32,https://www.transfermarkt.com/eryk-williamson/profil/spieler/349706
1527,49,Renzo Zambrano,Central Midfield,25,Venezuela,1.74,right,2019-01-01,Portland Timbers 2,-,0.32,https://www.transfermarkt.com/renzo-zambrano/profil/spieler/236310
1528,49,Diego Váleri,Attacking Midfield,34,Argentina,1.78,right,2013-08-06,Club Atlético Lanús,-,1.94,https://www.transfermarkt.com/diego-valeri/profil/spieler/54588
1529,49,Andrés Flores,Attacking Midfield,29,El Salvador,1.71,left,2018-01-24,New York Cosmos,-,0.49,https://www.transfermarkt.com/andres-flores/profil/spieler/125387
1530,49,Sebastián Blanco,Left Winger,32,Argentina,1.68,both,2017-02-02,Club Atlético San Lorenzo de Almagro,-,2.38,https://www.transfermarkt.com/sebastian-blanco/profil/spieler/54576
1531,49,Yimmi Chará,Right Winger,29,Colombia,1.79,right,2020-01-02,Clube Atlético Mineiro,-,3.78,https://www.transfermarkt.com/yimmi-chara/profil/spieler/165361
1532,49,Andy Polo,Right Winger,25,Peru,1.75,right,2019-01-01,Monarcas Morelia,31.12.2021,0.7,https://www.transfermarkt.com/andy-polo/profil/spieler/189236
1533,49,Dairon Asprilla,Right Winger,27,Colombia,1.78,right,2015-01-01,Atlético Nacional,31.12.2020,0.43,https://www.transfermarkt.com/dairon-asprilla/profil/spieler/260381
1534,49,Marvin Loría,Right Winger,23,Costa Rica,1.75,left,2019-01-01,Deportivo Saprissa,31.12.2020,0.43,https://www.transfermarkt.com/marvin-loria/profil/spieler/298207
1535,49,Tomás Conechny,Second Striker,22,Argentina,1.76,left,2019-07-22,Club Atlético San Lorenzo de Almagro II,31.12.2020,0.78,https://www.transfermarkt.com/tomas-conechny/profil/spieler/401571
1536,49,Jaroslaw Niezgoda,Centre-Forward,25,Poland,1.85,both,2020-01-30,Legia Warszawa,31.12.2023,3.78,https://www.transfermarkt.com/jaroslaw-niezgoda/profil/spieler/269446
1537,49,Felipe Mora,Centre-Forward,26,Chile,1.75,right,2020-01-31,UNAM Pumas,31.12.2020,2.16,https://www.transfermarkt.com/felipe-mora/profil/spieler/176927
1538,49,Jeremy Ebobisse,Centre-Forward,23,United States,1.84,-,2017-01-13,Duke Blue Devils (Duke University),-,0.86,https://www.transfermarkt.com/jeremy-ebobisse/profil/spieler/460529
