players_ID,team_ID,name,position,Age,Nat,Height,foot,dt_joined,prev_team,contract_expires,market_value,player_page
2588,92,Jimmy Slayton,Goalkeeper,21,United States,1.88,-,2020-01-14,Hartford Hawks (University of Hartford),30.11.2020,0.0,https://www.transfermarkt.com/jimmy-slayton/profil/spieler/736966
2589,92,Jeffrey Dewsnup,Goalkeeper,15,United States,1.85,-,-,-,-,0.0,https://www.transfermarkt.com/jeffrey-dewsnup/profil/spieler/746828
2590,92,James Moberg,Centre-Back,26,United States,1.88,-,2016-04-20,Washington Huskies (University of Washington),30.11.2020,0.19,https://www.transfermarkt.com/james-moberg/profil/spieler/446524
2591,92,Taylor Peay,Centre-Back,28,United States,1.9,-,2019-12-06,Louisville City FC,30.11.2020,0.16,https://www.transfermarkt.com/taylor-peay/profil/spieler/307901
2592,92,Michael Wetungu,Centre-Back,22,United States,1.91,-,2020-02-05,Real Salt Lake City,30.11.2020,0.0,https://www.transfermarkt.com/michael-wetungu/profil/spieler/637155
2593,92,Noah Powder,Left-Back,21,Trinidad and Tobago,1.78,-,2019-01-23,Orange County SC,30.11.2020,0.24,https://www.transfermarkt.com/noah-powder/profil/spieler/429454
2594,92,Steve Jasso,Right-Back,19,United States,1.78,-,2019-02-14,Zions Bank Real Academy,30.11.2020,0.16,https://www.transfermarkt.com/steve-jasso/profil/spieler/652626
2595,92,Nicolás Giménez,Right-Back,23,Argentina,1.85,-,2020-02-05,Club Atlético San Martín (Tucumán),30.11.2020,0.0,https://www.transfermarkt.com/nicolas-gimenez/profil/spieler/594668
2596,92,Sam Brown,Midfielder,24,United States,1.8,-,2019-02-27,Real Salt Lake City,30.11.2020,0.08,https://www.transfermarkt.com/sam-brown/profil/spieler/644785
2597,92,Dayonn Harris,Midfielder,22,Canada,1.7,-,2020-02-10,Real Salt Lake City,30.11.2020,0.0,https://www.transfermarkt.com/dayonn-harris/profil/spieler/673961
2598,92,Jack Blake,Defensive Midfield,25,Scotland,1.8,-,2018-12-01,Tampa Bay Rowdies,30.11.2020,0.32,https://www.transfermarkt.com/jack-blake/profil/spieler/195251
2599,92,Ricardo Ávila,Defensive Midfield,23,Panama,1.82,left,2020-01-01,CD Universitario,30.11.2020,0.32,https://www.transfermarkt.com/ricardo-avila/profil/spieler/440384
2600,92,Jordan Pena,Defensive Midfield,19,United States,1.7,-,2019-02-14,Zions Bank Real Academy,30.11.2020,0.11,https://www.transfermarkt.com/jordan-pena/profil/spieler/652625
2601,92,Arturo Rodriguez,Left Midfield,21,United States,1.73,-,2020-02-13,North Texas Soccer Club,30.11.2020,0.32,https://www.transfermarkt.com/arturo-rodriguez/profil/spieler/650286
2602,92,Christopher Bermúdez,Left Midfield,20,United States,1.78,right,2020-01-16,Greenville Triumph SC,30.11.2020,0.16,https://www.transfermarkt.com/christopher-bermudez/profil/spieler/651932
2603,92,Devin Vega,Attacking Midfield,21,Puerto Rico,1.64,right,2020-01-13,Phoenix Rising FC,30.11.2020,0.16,https://www.transfermarkt.com/devin-vega/profil/spieler/354315
2604,92,Damian German,Left Winger,23,United States,1.75,-,2019-01-22,San Diego State Aztecs (San Diego State Univ.),30.11.2020,0.11,https://www.transfermarkt.com/damian-german/profil/spieler/611772
2605,92,Joe Gallardo,Centre-Forward,22,United States,1.71,right,2019-12-05,Richmond Kickers,30.11.2020,0.14,https://www.transfermarkt.com/joe-gallardo/profil/spieler/315260
2606,92,Kyle Coffee,Centre-Forward,24,United States,1.8,-,2019-02-27,Real Salt Lake City,30.11.2020,0.14,https://www.transfermarkt.com/kyle-coffee/profil/spieler/636188
