players_ID,team_ID,name,position,Age,Nat,Height,foot,dt_joined,prev_team,contract_expires,market_value,player_page
2551,90,Sebastián Mora-Mora,Goalkeeper,22,Mexico,1.85,-,2020-03-26,Club Atlético Talleres de Remedios de Escalada,30.11.2020,0.0,https://www.transfermarkt.com/sebastian-mora-mora/profil/spieler/768823
2552,90,Andrew Konstantino,Goalkeeper,24,United States,1.91,-,2020-04-21,SMC Gaels (Saint Mary's College),30.11.2020,0.0,https://www.transfermarkt.com/andrew-konstantino/profil/spieler/768822
2553,90,Yosimar Hernandez,Defender,22,United States,1.75,-,2019-03-07,UC Riverside Highlanders,30.11.2020,0.05,https://www.transfermarkt.com/yosimar-hernandez/profil/spieler/636054
2554,90,Antonio Alfaro,Centre-Back,26,Mexico,1.84,left,2020-01-31,Deportivo Guadalajara,30.11.2020,0.32,https://www.transfermarkt.com/antonio-alfaro/profil/spieler/417616
2555,90,Aleks Berkolds,Centre-Back,24,United States,1.85,-,2020-03-03,Without Club,30.11.2020,0.16,https://www.transfermarkt.com/aleks-berkolds/profil/spieler/657916
2556,90,Thomas Janjigian,Centre-Back,25,United States,1.91,-,2017-03-24,"UCI Anteaters (University of California, Irvine)",30.11.2020,0.16,https://www.transfermarkt.com/thomas-janjigian/profil/spieler/497474
2557,90,Ayrton Statie,Left-Back,25,Curacao,1.76,left,2020-01-14,FC Lienden,30.11.2020,0.0,https://www.transfermarkt.com/ayrton-statie/profil/spieler/276541
2558,90,Brent Richards,Right-Back,29,United States,1.79,-,2017-01-31,Portland Timbers 2,30.11.2020,0.27,https://www.transfermarkt.com/brent-richards/profil/spieler/212312
2559,90,Younes Boudadi,Right-Back,24,Morocco,1.83,right,2020-03-26,Without Club,30.11.2020,0.0,https://www.transfermarkt.com/younes-boudadi/profil/spieler/265512
2560,90,Jared Timmer,Midfielder,23,United States,1.83,-,2020-03-03,Butler Bulldogs (Butler University),30.11.2020,0.0,https://www.transfermarkt.com/jared-timmer/profil/spieler/510590
2561,90,Mouhamed Dabo,Defensive Midfield,24,Senegal,1.76,right,2019-12-06,Pittsburgh Riverhounds SC,30.11.2020,0.19,https://www.transfermarkt.com/mouhamed-dabo/profil/spieler/285919
2562,90,Kevin Partida,Central Midfield,25,United States,1.73,-,2019-12-16,San Jose Earthquakes,30.11.2020,0.14,https://www.transfermarkt.com/kevin-partida/profil/spieler/572968
2563,90,Emilio Ycaza,Central Midfield,22,United States,1.68,-,2020-02-27,South Florida Bulls (University of South Florida),30.11.2020,0.0,https://www.transfermarkt.com/emilio-ycaza/profil/spieler/463355
2564,90,Sam Gleadle,Right Midfield,24,England,1.78,-,2018-02-19,New Mexico Lobos (University of New Mexico),30.11.2020,0.16,https://www.transfermarkt.com/sam-gleadle/profil/spieler/568285
2565,90,Diego Casillas,Left Midfield,25,United States,1.68,-,2020-02-27,Fresno FC,30.11.2020,0.14,https://www.transfermarkt.com/diego-casillas/profil/spieler/659756
2566,90,Sergio Rivas,Attacking Midfield,22,United States,1.8,-,2019-03-20,Without Club,30.11.2020,0.11,https://www.transfermarkt.com/sergio-rivas/profil/spieler/644799
2567,90,Benjamin Kikanovic,Forward,20,United States,1.85,-,2020-01-13,Sacramento State Hornets,30.11.2020,0.0,https://www.transfermarkt.com/benjamin-kikanovic/profil/spieler/736752
2568,90,Christiano François,Right Winger,26,Haiti,1.7,-,2020-01-30,Ottawa Fury FC,30.11.2020,0.3,https://www.transfermarkt.com/christiano-francois/profil/spieler/309512
2569,90,Foster Langsdorf,Centre-Forward,24,United States,1.79,-,2020-01-24,Portland Timbers,30.11.2020,0.35,https://www.transfermarkt.com/foster-langsdorf/profil/spieler/325383
2570,90,Corey Hertzog,Centre-Forward,29,United States,1.83,both,2019-02-13,Saint Louis FC,30.11.2020,0.3,https://www.transfermarkt.com/corey-hertzog/profil/spieler/173487
2571,90,Tucker Bone,Centre-Forward,24,United States,1.8,-,2019-12-09,Colorado Springs Switchbacks FC,30.11.2020,0.14,https://www.transfermarkt.com/tucker-bone/profil/spieler/636596
2572,90,Aidan Apodaca,Centre-Forward,23,United States,1.75,-,2019-03-07,Without Club,30.11.2020,0.14,https://www.transfermarkt.com/aidan-apodaca/profil/spieler/572646
