players_ID,team_ID,name,position,Age,Nat,Height,foot,dt_joined,prev_team,contract_expires,market_value,player_page
2978,112,Joe Rice,Goalkeeper,24,United States,1.93,-,2020-03-03,Without Club,-,0.05,https://www.transfermarkt.com/joe-rice/profil/spieler/663308
2979,112,Keegan Meyer,Goalkeeper,23,United States,1.9,right,2020-02-10,High Point Panthers (High Point University),30.11.2020,0.0,https://www.transfermarkt.com/keegan-meyer/profil/spieler/637071
2980,112,Ryo Shimazaki,Defender,23,Japan,1.75,-,2020-01-16,VCU Rams (Virginia Commonwealth University),30.11.2020,0.0,https://www.transfermarkt.com/ryo-shimazaki/profil/spieler/627176
2981,112,Simon Lekressner,Defender,21,United States,1.73,-,2020-03-03,Without Club,-,0.0,https://www.transfermarkt.com/simon-lekressner/profil/spieler/735120
2982,112,Nick Woodruff,Defender,21,United States,1.85,-,2020-01-07,Michigan State Spartans (MI State University),30.11.2020,0.0,https://www.transfermarkt.com/nick-woodruff/profil/spieler/637145
2983,112,Collin Verfurth,Centre-Back,24,United States,1.94,right,2020-01-07,Loudoun United FC,30.11.2020,0.16,https://www.transfermarkt.com/collin-verfurth/profil/spieler/658003
2984,112,Oskar Bloch,Centre-Back,19,Denmark,1.87,left,2020-03-01,Akademisk Boldklub,30.11.2020,0.0,https://www.transfermarkt.com/oskar-bloch/profil/spieler/403689
2985,112,Ryan Spaulding,Midfielder,21,United States,1.73,-,2020-01-16,North Carolina FC,-,0.03,https://www.transfermarkt.com/ryan-spaulding/profil/spieler/709179
2986,112,Maciel,Midfielder,20,Brazil,1.68,-,2020-01-16,Botafogo Rio de Janeiro U20,30.11.2020,0.0,https://www.transfermarkt.com/maciel/profil/spieler/737380
2987,112,Tiago Mendoca,Defensive Midfield,24,Portugal,1.85,-,2020-01-28,Providence Friars (Providence College),30.11.2020,0.0,https://www.transfermarkt.com/tiago-mendoca/profil/spieler/751774
2988,112,Dennis Ramirez,Defensive Midfield,18,United States,1.8,-,2020-03-11,New England Revolution Academy,30.11.2020,0.0,https://www.transfermarkt.com/dennis-ramirez/profil/spieler/751773
2989,112,Connor Presley,Right Midfield,21,United States,1.8,-,2020-01-07,Loudoun United FC,30.11.2020,0.22,https://www.transfermarkt.com/connor-presley/profil/spieler/531470
2990,112,Mayele Malango,Forward,23,DR Congo,1.85,-,2020-01-07,UMass Lowell River Hawks (Massachusetts Uni.),30.11.2020,0.0,https://www.transfermarkt.com/mayele-malango/profil/spieler/735326
2991,112,Meny Silva,Forward,18,United States,1.73,-,2020-01-21,New England Revolution Academy,30.11.2020,0.0,https://www.transfermarkt.com/meny-silva/profil/spieler/738682
2992,112,Orlando Sinclair,Centre-Forward,22,Costa Rica,1.87,right,2020-01-16,Deportivo Saprissa II,30.11.2020,0.14,https://www.transfermarkt.com/orlando-sinclair/profil/spieler/614412
