players_ID,team_ID,name,position,Age,Nat,Height,foot,dt_joined,prev_team,contract_expires,market_value,player_page
2763,102,Akira Fitzgerald,Goalkeeper,32,United States,1.8,-,2019-02-06,Tampa Bay Rowdies,-,0.14,https://www.transfermarkt.com/akira-fitzgerald/profil/spieler/191921
2764,102,Lee Johnston,Goalkeeper,27,United States,1.91,-,2020-01-22,Without Club,30.11.2020,0.05,https://www.transfermarkt.com/lee-johnston/profil/spieler/431653
2765,102,Matt Broomall,Goalkeeper,26,United States,m,-,2019-03-20,Atlantic City FC,30.11.2020,0.03,https://www.transfermarkt.com/matt-broomall/profil/spieler/670097
2766,102,Ian Antley,Defender,25,United States,m,-,2020-01-17,Unknown,30.11.2020,0.0,https://www.transfermarkt.com/ian-antley/profil/spieler/743183
2767,102,Ivan Magalhães,Centre-Back,26,Brazil,1.86,left,2019-03-19,Without Club,-,0.19,https://www.transfermarkt.com/ivan-magalhaes/profil/spieler/417615
2768,102,Conor Shanosky,Centre-Back,28,United States,1.93,-,2016-09-02,Louisville City FC,-,0.19,https://www.transfermarkt.com/conor-shanosky/profil/spieler/159058
2769,102,Kyle Venter,Centre-Back,29,United States,1.91,right,2020-01-15,FC Tucson,30.11.2020,0.19,https://www.transfermarkt.com/kyle-venter/profil/spieler/307897
2770,102,Wahab Ackwei,Centre-Back,23,Ghana,1.85,right,2019-03-22,Without Club,-,0.16,https://www.transfermarkt.com/wahab-ackwei/profil/spieler/359422
2771,102,Scott Thomsen,Left-Back,26,United States,1.77,left,2018-03-12,Without Club,-,0.16,https://www.transfermarkt.com/scott-thomsen/profil/spieler/413862
2772,102,David Diosa,Left-Back,27,Colombia,1.7,left,2019-12-10,New York Cosmos,30.11.2020,0.05,https://www.transfermarkt.com/david-diosa/profil/spieler/278151
2773,102,Devante Dubose,Right-Back,27,United States,1.78,-,2020-01-01,Oakland Roots SC,30.11.2020,0.16,https://www.transfermarkt.com/devante-dubose/profil/spieler/476290
2774,102,Mutanda Kwesele,Midfielder,34,United States,1.7,-,2020-02-26,Unknown,30.11.2020,0.11,https://www.transfermarkt.com/mutanda-kwesele/profil/spieler/174644
2775,102,Greg Boehme,Midfielder,24,United States,1.73,-,2018-04-13,VCU Rams (Virginia Commonwealth University),-,0.11,https://www.transfermarkt.com/greg-boehme/profil/spieler/578934
2776,102,Luke Pavone,Midfielder,25,United States,1.78,-,2019-03-22,Hapoel Petah Tikva,30.11.2020,0.05,https://www.transfermarkt.com/luke-pavone/profil/spieler/666663
2777,102,Jonathan Bolanos,Midfielder,21,United States,1.78,-,2020-01-27,High Point Panthers (High Point University),30.11.2020,0.0,https://www.transfermarkt.com/jonathan-bolanos/profil/spieler/637080
2778,102,Victor Falck,Midfielder,-,Sweden,1.85,-,2020-01-13,"UCI Anteaters (University of California, Irvine)",30.11.2020,0.0,https://www.transfermarkt.com/victor-falck/profil/spieler/636293
2779,102,Gianluca Cuomo,Defensive Midfield,27,United States,1.88,-,2020-01-20,Philadelphia Fury,30.11.2020,0.16,https://www.transfermarkt.com/gianluca-cuomo/profil/spieler/570453
2780,102,Ryley Kraft,Central Midfield,22,United States,1.73,left,2019-08-23,Without Club,-,0.08,https://www.transfermarkt.com/ryley-kraft/profil/spieler/493278
2781,102,Matt Bolduc,Right Midfield,25,United States,1.73,-,2017-05-17,Without Club,-,0.16,https://www.transfermarkt.com/matt-bolduc/profil/spieler/430348
2782,102,Mutaya Mwape,Attacking Midfield,23,Zambia,1.68,-,2019-01-21,Charlotte Independence,-,0.16,https://www.transfermarkt.com/mutaya-mwape/profil/spieler/570268
2783,102,Amass Amankona,Attacking Midfield,24,Ghana,1.7,-,2019-01-05,Indy Eleven,-,0.08,https://www.transfermarkt.com/amass-amankona/profil/spieler/429595
2784,102,Stanley Alves,Forward,23,United States,1.85,-,2020-01-10,UMass Lowell River Hawks (Massachusetts Uni.),30.11.2020,0.0,https://www.transfermarkt.com/stanley-alves/profil/spieler/735889
2785,102,Emiliano Terzaghi,Centre-Forward,30,Argentina,1.7,-,2020-01-24,Union Villa Krause,30.11.2020,0.3,https://www.transfermarkt.com/emiliano-terzaghi/profil/spieler/193779
2786,102,Charles Boateng,Centre-Forward,22,Ghana,m,-,2019-03-18,West African Football Academy,30.11.2020,0.14,https://www.transfermarkt.com/charles-boateng/profil/spieler/399719
