players_ID,team_ID,name,position,Age,Nat,Height,foot,dt_joined,prev_team,contract_expires,market_value,player_page
2369,82,Kyle Morton,Goalkeeper,26,United States,1.93,-,2019-12-22,Pittsburgh Riverhounds SC,30.11.2020,0.19,https://www.transfermarkt.com/kyle-morton/profil/spieler/492951
2370,82,John Berner,Goalkeeper,29,United States,1.92,right,2020-01-16,Without Club,30.11.2020,0.08,https://www.transfermarkt.com/john-berner/profil/spieler/307902
2371,82,Sam Fink,Centre-Back,26,United States,1.88,-,2017-12-13,Oklahoma City Energy FC,30.11.2020,0.32,https://www.transfermarkt.com/sam-fink/profil/spieler/364970
2372,82,Phanuel Kavita,Centre-Back,27,DR Congo,1.85,-,2018-01-01,Puerto Rico FC,30.11.2020,0.27,https://www.transfermarkt.com/phanuel-kavita/profil/spieler/367392
2373,82,Tobi Adewole,Centre-Back,24,United States,1.88,-,2020-02-06,Pittsburgh Riverhounds SC,30.11.2020,0.22,https://www.transfermarkt.com/tobi-adewole/profil/spieler/481354
2374,82,Daniel Fischer,Left-Back,22,Austria,1.85,left,2019-12-18,Young Harris College,30.11.2020,0.0,https://www.transfermarkt.com/daniel-fischer/profil/spieler/286794
2375,82,Paris Gee,Right-Back,25,Canada,1.8,-,2018-12-29,Tulsa Roughnecks FC,30.11.2020,0.16,https://www.transfermarkt.com/paris-gee/profil/spieler/335382
2376,82,Richard Bryan,Right-Back,24,England,1.78,right,2019-12-18,Detroit City FC,30.11.2020,0.0,https://www.transfermarkt.com/richard-bryan/profil/spieler/611242
2377,82,Todd Wharton,Central Midfield,26,United States,1.83,-,2019-12-10,Portland Timbers 2,30.11.2020,0.32,https://www.transfermarkt.com/todd-wharton/profil/spieler/429306
2378,82,Wal Fall,Central Midfield,27,Germany,1.9,both,2019-12-07,Ottawa Fury FC,30.11.2020,0.24,https://www.transfermarkt.com/wal-fall/profil/spieler/94715
2379,82,Guy Abend,Central Midfield,29,Israel,1.85,-,2018-12-03,Reno 1868 FC,30.11.2020,0.16,https://www.transfermarkt.com/guy-abend/profil/spieler/138164
2380,82,Oscar Umar,Central Midfield,27,Ghana,1.83,-,2018-12-01,Richmond Kickers,30.11.2020,0.16,https://www.transfermarkt.com/oscar-umar/profil/spieler/521072
2381,82,Nikiphoros Vlastos,Central Midfield,20,United States,1.78,-,2019-01-26,Saint Louis FC Academy,30.11.2020,0.05,https://www.transfermarkt.com/nikiphoros-vlastos/profil/spieler/497224
2382,82,Joaquín Rivas,Left Winger,28,El Salvador,1.8,left,2018-12-05,Tulsa Roughnecks FC,30.11.2020,0.22,https://www.transfermarkt.com/joaquin-rivas/profil/spieler/364624
2383,82,Russell Cicerone,Right Winger,25,United States,1.78,-,2018-12-16,FC Cincinnati,30.11.2020,0.19,https://www.transfermarkt.com/russell-cicerone/profil/spieler/495896
2384,82,Kadeem Dacres,Right Winger,28,Jamaica,1.74,-,2017-12-30,FC Cincinnati,30.11.2020,0.19,https://www.transfermarkt.com/kadeem-dacres/profil/spieler/354706
2385,82,Tyler Blackwood,Centre-Forward,28,England,1.88,right,2019-08-14,Sacramento Republic FC,30.11.2020,0.27,https://www.transfermarkt.com/tyler-blackwood/profil/spieler/380916
2386,82,Kyle Greig,Centre-Forward,30,United States,1.88,-,2018-02-21,Vancouver Whitecaps FC,30.11.2020,0.27,https://www.transfermarkt.com/kyle-greig/profil/spieler/266616
2387,82,Mour Samb,Centre-Forward,26,Senegal,1.83,-,2020-01-18,Ottawa Fury FC,30.11.2020,0.19,https://www.transfermarkt.com/mour-samb/profil/spieler/176559
2388,82,Jérémy Gagnon-Laparé,Centre-Forward,25,Canada,1.8,-,2019-12-31,Ottawa Fury FC,30.11.2020,0.19,https://www.transfermarkt.com/jeremy-gagnon-lapare/profil/spieler/299387
