players_ID,team_ID,name,position,Age,Nat,Height,foot,dt_joined,prev_team,contract_expires,market_value,player_page
1274,40,Andrey,Goalkeeper,26,Brazil,1.9,right,2017-10-20,Volta Redonda Futebol Clube (RJ),-,0.11,https://www.transfermarkt.com/andrey/profil/spieler/216572
1275,40,João Gabriel,Goalkeeper,28,Brazil,1.9,right,2020-01-08,Esporte Clube Vitória,-,0.08,https://www.transfermarkt.com/joao-gabriel/profil/spieler/228049
1276,40,Moisés,Goalkeeper,20,Brazil,m,-,-,-,-,0.0,https://www.transfermarkt.com/moises/profil/spieler/698754
1277,40,Victor Lube,Goalkeeper,26,Brazil,m,-,2020-01-06,União Luziense,-,0.0,https://www.transfermarkt.com/victor-lube/profil/spieler/735046
1278,40,Marcão,Centre-Back,24,Brazil,1.88,right,2020-01-06,CS Marítimo,30.06.2020,0.22,https://www.transfermarkt.com/marcao/profil/spieler/552581
1279,40,Paulo Sérgio,Centre-Back,30,Brazil,1.85,right,2018-12-11,Moto Club de São Luís (MA),-,0.05,https://www.transfermarkt.com/paulo-sergio/profil/spieler/240351
1280,40,Lucas Ambiel,Centre-Back,24,Brazil,1.95,right,2019-12-01,Without Club,-,0.0,https://www.transfermarkt.com/lucas-ambiel/profil/spieler/432253
1281,40,Thiago Duchatsch,Centre-Back,23,Brazil,1.89,right,2019-08-01,Tupi Football Club (MG),-,0.0,https://www.transfermarkt.com/thiago-duchatsch/profil/spieler/587699
1282,40,João Victor,Left-Back,25,Brazil,m,-,-,-,-,0.0,https://www.transfermarkt.com/joao-victor/profil/spieler/723211
1283,40,Kellyton,Right-Back,25,Brazil,m,both,2019-12-18,Without Club,-,0.0,https://www.transfermarkt.com/kellyton/profil/spieler/547723
1284,40,Yann,Right-Back,21,Brazil,m,-,-,-,-,0.0,https://www.transfermarkt.com/yann/profil/spieler/639988
1285,40,Everton Silva,Right-Back,26,Brazil,m,right,2019-04-26,Futebol Clube Cascavel (PR),-,0.0,https://www.transfermarkt.com/everton-silva/profil/spieler/681664
1286,40,Ricardo Capanema,Defensive Midfield,35,Brazil,1.67,right,2019-07-17,Parauapebas Futebol Clube (AM),-,0.59,https://www.transfermarkt.com/ricardo-capanema/profil/spieler/265640
1287,40,Abuda,Defensive Midfield,31,Brazil,1.78,right,2020-03-06,Al-Mojzel,-,0.51,https://www.transfermarkt.com/abuda/profil/spieler/228206
1288,40,Everton Dias,Defensive Midfield,29,Brazil,1.83,right,2020-01-01,FC Tsarsko Selo Sofia,-,0.08,https://www.transfermarkt.com/everton-dias/profil/spieler/265833
1289,40,Ramon,Defensive Midfield,32,Brazil,m,-,2019-12-10,Alecrim Futebol Clube (RN),-,0.0,https://www.transfermarkt.com/ramon/profil/spieler/680685
1290,40,Henrique Alves,Defensive Midfield,20,Brazil,m,-,2020-01-23,Unknown,-,0.0,https://www.transfermarkt.com/henrique-alves/profil/spieler/735650
1291,40,Eloir,Central Midfield,32,Brazil,1.82,-,2018-08-24,Maranhão Atlético Clube (MA),-,0.27,https://www.transfermarkt.com/eloir/profil/spieler/346868
1292,40,Ferreira,Right Midfield,33,Brazil,1.8,right,2019-06-28,Campinense Clube (PB),-,0.0,https://www.transfermarkt.com/ferreira/profil/spieler/358575
1293,40,Neto,Attacking Midfield,22,Brazil,m,-,2019-04-24,Pinheiro Atlético Clube (MA),-,0.0,https://www.transfermarkt.com/neto/profil/spieler/669215
1294,40,Roney,Attacking Midfield,28,Brazil,m,-,2020-01-01,Ríver Atlético Clube (PI),-,0.0,https://www.transfermarkt.com/roney/profil/spieler/680298
1295,40,Wescley,Attacking Midfield,25,Brazil,m,-,2019-12-01,São Gonçalo Esporte Clube (RJ),-,0.0,https://www.transfermarkt.com/wescley/profil/spieler/726395
1296,40,Antonio Quiñónez,Forward,23,Ecuador,m,-,2020-01-06,Deportivo Santo Domingo de los Tsachilas,-,0.0,https://www.transfermarkt.com/antonio-quinonez/profil/spieler/411223
1297,40,Luan Ferreira,Left Winger,24,Brazil,1.71,left,2020-01-16,Associação Atlética Santa Rita (AL),-,0.05,https://www.transfermarkt.com/luan-ferreira/profil/spieler/447663
1298,40,Joãozinho,Right Winger,30,Brazil,1.7,right,2020-01-06,Esporte Clube São Bento (SP),-,0.27,https://www.transfermarkt.com/joaozinho/profil/spieler/124541
1299,40,Chaveirinho,Right Winger,28,Brazil,1.68,right,2019-12-01,Without Club,-,0.0,https://www.transfermarkt.com/chaveirinho/profil/spieler/542601
1300,40,Thiago Santos,Centre-Forward,29,Brazil,1.84,-,2020-01-23,Without Club,-,0.22,https://www.transfermarkt.com/thiago-santos/profil/spieler/385648
1301,40,Gustavo Ramos,Centre-Forward,23,Brazil,1.75,right,2019-12-01,Clube do Remo (PA),-,0.11,https://www.transfermarkt.com/gustavo-ramos/profil/spieler/347015
1302,40,Matheus Lima,Centre-Forward,23,Brazil,1.85,right,2019-12-16,Sociedade Imperatriz de Desportos (MA),-,0.0,https://www.transfermarkt.com/matheus-lima/profil/spieler/681715
1303,40,Matheus Weissheimer,Centre-Forward,22,Brazil,m,-,2019-05-01,Unknown,-,0.0,https://www.transfermarkt.com/matheus-weissheimer/profil/spieler/722676
1304,40,Ramon Netto,Centre-Forward,20,Brazil,m,-,2020-03-06,Avaí Futebol Clube (SC) B,-,0.0,https://www.transfermarkt.com/ramon-netto/profil/spieler/750462
