players_ID,team_ID,name,position,Age,Nat,Height,foot,dt_joined,prev_team,contract_expires,market_value,player_page
2002,67,Matt Cardone,Goalkeeper,26,United States,1.91,-,2016-02-12,San Antonio Scorpions FC,30.11.2020,0.19,https://www.transfermarkt.com/matt-cardone/profil/spieler/374179
2003,67,Dayne St Clair,Goalkeeper,22,Canada,1.91,-,2020-02-12,Minnesota United FC,30.11.2020,0.11,https://www.transfermarkt.com/dayne-st-clair/profil/spieler/439750
2004,67,Carlos Mercado,Goalkeeper,20,United States,1.93,-,2020-03-06,IW Cardinals (Uni. of the Incarnate Word),30.11.2020,0.0,https://www.transfermarkt.com/carlos-mercado/profil/spieler/405194
2005,67,Jacob Castro,Defender,16,United States,m,-,2020-03-03,San Antonio FC Academy,-,0.0,https://www.transfermarkt.com/jacob-castro/profil/spieler/748777
2006,67,Sebastian Mercado,Defender,17,United States,1.83,-,2020-03-03,San Antonio FC Academy,-,0.0,https://www.transfermarkt.com/sebastian-mercado/profil/spieler/748784
2007,67,Axel Sjöberg,Centre-Back,29,Sweden,2.01,-,2020-03-06,Columbus Crew SC,30.11.2020,0.35,https://www.transfermarkt.com/axel-sjoberg/profil/spieler/113116
2008,67,Mitchell Taintor,Centre-Back,25,United States,1.85,-,2020-02-19,Sacramento Republic FC,30.11.2020,0.3,https://www.transfermarkt.com/mitchell-taintor/profil/spieler/429461
2009,67,Callum Montgomery,Centre-Back,22,Canada,1.9,-,2020-02-11,FC Dallas,30.11.2020,0.22,https://www.transfermarkt.com/callum-montgomery/profil/spieler/637412
2010,67,Joshua Yaro,Centre-Back,26,United States,1.8,-,2019-01-11,Philadelphia Union,30.11.2020,0.22,https://www.transfermarkt.com/joshua-yaro/profil/spieler/374554
2011,67,Hunter Gorskie,Centre-Back,28,United States,1.8,right,2020-01-02,Loudoun United FC,30.11.2020,0.16,https://www.transfermarkt.com/hunter-gorskie/profil/spieler/267594
2012,67,Josh Ramsey,Centre-Back,17,United States,m,-,2020-03-03,San Antonio FC Academy,30.11.2020,0.0,https://www.transfermarkt.com/josh-ramsey/profil/spieler/726010
2013,67,PC,Left-Back,26,Brazil,1.73,left,2020-01-22,Vancouver Whitecaps FC,30.11.2020,0.32,https://www.transfermarkt.com/pctm/profil/spieler/292221
2014,67,Blake Smith,Left-Back,29,United States,1.79,left,2020-01-01,FC Cincinnati,30.11.2020,0.3,https://www.transfermarkt.com/blake-smith/profil/spieler/255927
2015,67,Ebenezer Ackon,Left-Back,24,Ghana,1.83,-,2019-02-01,Bowling Green Falcons (Bowling Green State Uni.),30.11.2020,0.16,https://www.transfermarkt.com/ebenezer-ackon/profil/spieler/649256
2016,67,Connor Maloney,Right-Back,24,United States,1.67,-,2020-01-06,Columbus Crew SC,30.11.2020,0.27,https://www.transfermarkt.com/connor-maloney/profil/spieler/492054
2017,67,Kai Greene,Right-Back,26,United States,1.83,-,2018-12-06,Rio Grande Valley FC Toros,30.11.2020,0.22,https://www.transfermarkt.com/kai-greene/profil/spieler/429308
2018,67,Leo Torres,Midfielder,16,United States,m,-,2019-02-14,San Antonio FC Academy,30.11.2020,0.0,https://www.transfermarkt.com/leo-torres/profil/spieler/652796
2019,67,Rocky Pérez,Midfielder,16,United States,1.8,-,2020-03-03,San Antonio FC Academy,-,0.0,https://www.transfermarkt.com/rocky-perez/profil/spieler/687587
2020,67,Santiago Viera,Defensive Midfield,21,Uruguay,1.76,right,2020-01-15,Liverpool FC Montevideo,30.11.2020,0.32,https://www.transfermarkt.com/santiago-viera/profil/spieler/421190
2021,67,Zachary Herivaux,Central Midfield,24,Haiti,1.86,right,2020-01-24,New England Revolution,30.11.2020,0.19,https://www.transfermarkt.com/zachary-herivaux/profil/spieler/354752
2022,67,Jesús Enríquez,Left Midfield,22,United States,1.7,-,2020-01-03,Rio Grande Valley FC Toros,30.11.2020,0.19,https://www.transfermarkt.com/jesus-enriquez/profil/spieler/427192
2023,67,Cristian Parano,Attacking Midfield,20,Argentina,m,left,2019-01-31,Club Atletico San Martin (SJ) U19,30.11.2020,0.19,https://www.transfermarkt.com/cristian-parano/profil/spieler/578756
2024,67,Hayden Partain,Attacking Midfield,25,United States,1.73,-,2020-01-14,Sacramento Republic FC,30.11.2020,0.16,https://www.transfermarkt.com/hayden-partain/profil/spieler/526682
2025,67,Jose Gallegos,Attacking Midfield,18,United States,1.76,-,2020-02-27,San Antonio FC Academy,30.11.2022,0.11,https://www.transfermarkt.com/jose-gallegos/profil/spieler/670144
2026,67,Fabrizio Bernal,Attacking Midfield,16,United States,1.83,-,2020-03-03,San Antonio FC Academy,-,0.0,https://www.transfermarkt.com/fabrizio-bernal/profil/spieler/748785
2027,67,Tabort Etaka Preston,Left Winger,21,Cameroon,1.75,right,2020-03-04,MFK Vyskov,30.11.2020,0.16,https://www.transfermarkt.com/tabort-etaka-preston/profil/spieler/490768
2028,67,Gonzalo Di Renzo,Right Winger,24,Argentina,1.87,both,2020-01-23,Club Atlético Lanús,30.11.2020,0.32,https://www.transfermarkt.com/gonzalo-di-renzo/profil/spieler/358425
2029,67,Luis Solignac,Centre-Forward,29,Argentina,1.84,right,2020-01-31,Without Club,30.11.2020,0.65,https://www.transfermarkt.com/luis-solignac/profil/spieler/252144
2030,67,Ignacio Bailone,Centre-Forward,26,Argentina,1.9,left,2020-02-06,Club Atlético Chacarita Juniors,30.11.2020,0.32,https://www.transfermarkt.com/ignacio-bailone/profil/spieler/302136
