players_ID,team_ID,name,position,Age,Nat,Height,foot,dt_joined,prev_team,contract_expires,market_value,player_page
2410,84,Jon Kempin,Goalkeeper,27,United States,1.85,right,2020-03-06,Columbus Crew SC,30.11.2020,0.27,https://www.transfermarkt.com/jon-kempin/profil/spieler/161010
2411,84,Jake Fenlason,Goalkeeper,27,United States,1.84,-,2020-02-08,Saint Louis FC,30.11.2020,0.16,https://www.transfermarkt.com/jake-fenlason/profil/spieler/423457
2412,84,Amal Knight,Goalkeeper,26,Jamaica,1.91,-,2020-02-01,University of the West Indies (JAM),30.11.2020,0.0,https://www.transfermarkt.com/amal-knight/profil/spieler/509496
2413,84,Joe Greenspan,Centre-Back,27,United States,1.98,-,2019-12-23,Pittsburgh Riverhounds SC,30.11.2020,0.24,https://www.transfermarkt.com/joe-greenspan/profil/spieler/355585
2414,84,Emrah Klimenta,Centre-Back,29,Montenegro,1.85,both,2019-12-14,Reno 1868 FC,30.11.2020,0.22,https://www.transfermarkt.com/emrah-klimenta/profil/spieler/207242
2415,84,Grant Stoneman,Centre-Back,24,United States,1.85,-,2020-02-13,Lansing Ignite FC,30.11.2020,0.19,https://www.transfermarkt.com/grant-stoneman/profil/spieler/510592
2416,84,Edwin Lara,Left-Back,20,Mexico,1.75,left,2020-03-06,Club León II,30.11.2020,0.22,https://www.transfermarkt.com/edwin-lara/profil/spieler/315771
2417,84,Elijah Martin,Left-Back,23,United States,1.68,-,2020-02-13,Fresno FC,30.11.2020,0.16,https://www.transfermarkt.com/elijah-martin/profil/spieler/313712
2418,84,Jack Metcalf,Right-Back,28,England,1.73,-,2020-02-08,Atlanta United 2,30.11.2020,0.22,https://www.transfermarkt.com/jack-metcalf/profil/spieler/129068
2419,84,Eric Ávila,Right-Back,32,United States,1.77,right,2019-12-17,Birmingham Legion FC,30.11.2020,0.19,https://www.transfermarkt.com/eric-avila/profil/spieler/71100
2420,84,Sal Zizzo,Right-Back,33,United States,1.8,right,2019-12-11,Career break,30.11.2020,0.0,https://www.transfermarkt.com/sal-zizzo/profil/spieler/54326
2421,84,Suleiman Samura,Midfielder,22,Sierra Leone,1.65,-,2020-02-13,Fresno FC,30.11.2020,0.14,https://www.transfermarkt.com/suleiman-samura/profil/spieler/677040
2422,84,Beverly Makangila,Midfielder,20,DR Congo,1.8,-,2020-01-09,FC Saint Eloi Lupopo,30.11.2020,0.0,https://www.transfermarkt.com/beverly-makangila/profil/spieler/735723
2423,84,Collin Martin,Central Midfield,25,United States,1.8,right,2020-02-05,Minnesota United FC,30.11.2020,0.14,https://www.transfermarkt.com/collin-martin/profil/spieler/253777
2424,84,Charlie Adams,Central Midfield,25,England,1.68,left,2020-02-05,FC Pinzgau Saalfelden,30.11.2020,0.0,https://www.transfermarkt.com/charlie-adams/profil/spieler/186592
2425,84,Raúl Mendiola,Right Midfield,25,Mexico,1.73,-,2020-01-13,Reno 1868 FC,30.11.2020,0.24,https://www.transfermarkt.com/raul-mendiola/profil/spieler/267322
2426,84,Jerome Mbekeli,Right Midfield,21,Cameroon,1.75,-,2020-01-08,MFK Vyskov,30.11.2020,0.14,https://www.transfermarkt.com/jerome-mbekeli/profil/spieler/652782
2427,84,Yair Jaen,Left Midfield,23,Panama,1.7,left,2020-01-13,Costa del Este FC,30.11.2020,0.0,https://www.transfermarkt.com/yair-jaen/profil/spieler/489007
2428,84,Carlos Álvarez,Attacking Midfield,29,United States,1.78,-,2020-02-08,Loudoun United FC,30.11.2020,0.22,https://www.transfermarkt.com/carlos-alvarez/profil/spieler/244147
2429,84,Morgan Hackworth,Attacking Midfield,23,United States,1.8,-,2020-02-05,Memphis 901 FC,30.11.2020,0.14,https://www.transfermarkt.com/morgan-hackworth/profil/spieler/637352
2430,84,Tumi Moshobane,Left Winger,25,South Africa,1.78,-,2020-01-13,Lansing Ignite FC,30.11.2020,0.16,https://www.transfermarkt.com/tumi-moshobane/profil/spieler/652627
2431,84,Francis Atuahene,Left Winger,23,Ghana,1.75,-,2020-03-06,FC Dallas,30.11.2020,0.11,https://www.transfermarkt.com/francis-atuahene/profil/spieler/510591
2432,84,Irvin Parra,Centre-Forward,26,United States,1.85,right,2019-12-20,Las Vegas Lights FC,30.11.2020,0.27,https://www.transfermarkt.com/irvin-parra/profil/spieler/214520
2433,84,Qudus Lawal,Centre-Forward,24,Nigeria,1.78,-,2020-02-01,Fresno FC,30.11.2020,0.19,https://www.transfermarkt.com/qudus-lawal/profil/spieler/367566
2434,84,Ashley Nazira,Centre-Forward,24,Mauritius,1.85,right,2020-01-08,Entente Boulet Rouge SC,30.11.2020,0.0,https://www.transfermarkt.com/ashley-nazira/profil/spieler/662090
